key,0,1,2,3,4
#,MKDSupportJob,LevelUnlock,Icon,Name,Description
offset,12,13,8,0,4
Int32,UInt8,UInt8,Int32,String,String
0,0,0,-1,"",""
1,1,4,82201,"防护效果提高","<hex:024804F201F403><hex:024904F201F503>防护<hex:0249020103><hex:0248020103>的效果量提高到90%"
2,1,5,82202,"祈祷效果提高","<hex:024804F201F403><hex:024904F201F503>祈祷<hex:0249020103><hex:0248020103>的恢复力提高到5000"
3,2,3,82203,"狂怒效果提高","为自身附加<hex:024804F201F403><hex:024904F201F503>肉斩骨断<hex:0249020103><hex:0248020103>状态<hex:02100103><hex:024804F201F403><hex:024904F201F503>肉斩骨断<hex:0249020103><hex:0248020103>持续时间内受到的伤害越高，一击的威力越高<hex:02100103><hex:024804F201F803><hex:024904F201F903>持续时间：<hex:0249020103><hex:0248020103>15秒"
4,3,4,82204,"踢击效果提高","<hex:024804F201F403><hex:024904F201F503>踢击<hex:0249020103><hex:0248020103>的效果量提高到7%"
5,3,6,82205,"踢击效果提高II","<hex:024804F201F403><hex:024904F201F503>踢击<hex:0249020103><hex:0248020103>的效果量提高到9%"
6,4,3,82206,"狙击效果提高","<hex:024804F201F403><hex:024904F201F503>狙击<hex:0249020103><hex:0248020103>的效果量提高到30%，并且攻击必定命中"
7,4,5,82207,"狙击效果提高II","<hex:024804F201F403><hex:024904F201F503>狙击<hex:0249020103><hex:0248020103>的效果量提高到50%，并且攻击必定命中"
8,5,5,82208,"居合斩效果提高","居合斩的威力提高到500，即死的几率提高到10%"
9,6,2,82209,"歌吟效果提高","歌吟的效果量会随吟游诗人的辅助职业等级提升而提升"
10,12,6,82212,"开锁","可以开启迷宫中上锁的门"
11,9,5,82211,"炮击效果提高","发动炮击时，有5%的几率即死目标"
12,7,5,82210,"铃铛效果提高","<hex:024804F201F403><hex:024904F201F503>战斗之铃<hex:0249020103><hex:0248020103>的效果量提高至5%<hex:02100103><hex:024804F201F403><hex:024904F201F503>休憩之铃<hex:0249020103><hex:0248020103>的恢复力提高至3000"
13,16,5,82213,"先发制人","进入战斗状态后，对自身附加<hex:024804F201F403><hex:024904F201F503>先发制人<hex:0249020103><hex:0248020103>状态<hex:02100103><hex:024804F201F803><hex:024904F201F903>先发制人效果：<hex:0249020103><hex:0248020103>自身的自动攻击间隔、战技与魔法的咏唱及复唱时间缩短<hex:02100103><hex:024804F201F803><hex:024904F201F903>持续时间：<hex:0249020103><hex:0248020103>25秒"
14,19,4,82214,"魔跳跃效果提高","魔跳跃的威力提到500，受伤减轻的效果量变为90%"
15,21,1,82215,"魔学习I","可习得魔导弹和魔水流吐息<hex:02100103><hex:024804F201F803><hex:024904F201F903>魔导弹效果：<hex:0249020103><hex:0248020103>35%几率对目标造成等同于当前体力75%的伤害，仅对部分敌人有效<hex:02100103><hex:024804F201F803><hex:024904F201F903>魔水纹吐息效果：<hex:0249020103><hex:0248020103>对目标及其周围的敌人发动无属性范围魔法攻击"
16,21,2,82216,"魔学习II","可习得魔烈风和魔强力守护<hex:02100103><hex:024804F201F803><hex:024904F201F903>魔烈风效果：<hex:0249020103><hex:0248020103>对目标发动风属性魔法攻击<hex:02100103><hex:024804F201F803><hex:024904F201F903>魔强力守护效果：<hex:0249020103><hex:0248020103>一定时间内，令自身和周围队员所受到的伤害减轻20％"
17,21,3,82217,"魔学习III","可习得魔白风<hex:02100103><hex:024804F201F803><hex:024904F201F903>魔白风效果：<hex:0249020103><hex:0248020103>恢复自身及周围队员的体力，恢复量等同于自身当前的体力量<hex:02100103>习得魔烈风后可习得魔暴风<hex:02100103><hex:024804F201F803><hex:024904F201F903>魔暴风效果：<hex:0249020103><hex:0248020103>对目标及其周围的敌人发动风属性范围魔法攻击"
18,22,6,82218,"连续咏唱","发动有咏唱时间的魔法时，对自身附加<hex:024804F201F403><hex:024904F201F503>连续咏唱<hex:0249020103><hex:0248020103>状态<hex:02100103><hex:024804F201F803><hex:024904F201F903>持续时间：<hex:0249020103><hex:0248020103>15秒<hex:02100103><hex:024804F201F803><hex:024904F201F903>连续咏唱效果：<hex:0249020103><hex:0248020103>下次咏唱魔法不需要咏唱时间<hex:02100103>若在持续时间中发动自动攻击或能力之外的技能，会立即解除连续咏唱状态"
19,0,24,82219,"随机应变","在无法转换职业或战斗状态中也可以切换辅助职业"
