key,0,1,2,3,4,5,6,7,8,9,10,11,12
#,TopImage,BottomImage,FontColor,,,,UnlockCondition,,,,Category,,Name
offset,4,8,22,23,24,25,12,14,16,18,26,20,0
Int32,Int32,Int32,UInt8,UInt8,UInt8,UInt8,UInt16,UInt16,UInt16,UInt16,UInt8,UInt16,String
0,196001,196251,0,0,0,0,1,0,0,0,0,0,"Nichts"
1,196002,196252,1,0,0,0,1,0,0,0,1,3,"Schwarz (transparent)"
2,196003,196253,1,0,0,0,1,0,0,0,1,1,"Graustufen"
3,196004,196254,1,0,0,0,1,0,0,0,1,2,"Violettstufen"
4,196005,196255,2,0,0,0,1,0,0,0,1,5,"Elfenbein"
5,196006,196256,1,0,0,0,1,0,0,0,1,9,"Speer"
6,196007,196257,1,0,0,0,1,0,0,0,1,10,"Klassisch"
7,196008,196258,2,0,0,0,1,0,0,0,1,7,"Holzbrett"
8,196009,196259,1,0,0,0,1,0,0,0,1,4,"Blau (transparent)"
9,196010,196260,1,0,0,0,1,0,0,0,1,6,"Holzmuster"
10,196011,196261,1,0,0,0,1,0,0,0,1,8,"Pergament"
11,196101,0,1,0,0,0,319,0,0,0,4,2500,"Schatten von Bahamut (fatal)"
12,196102,0,1,0,0,0,320,0,0,0,4,2501,"Heldenlied von Ultima (fatal)"
13,196103,0,1,0,0,0,321,0,0,0,4,2502,"Alexander (fatal)"
14,196104,0,1,0,0,0,322,0,0,0,4,2503,"Drachenkrieg (fatal)"
15,196216,196466,1,0,0,0,344,0,0,0,3,2315,"Aufträge der Omikron"
16,196012,196262,1,0,0,0,347,0,0,0,7,22,"Musik"
17,196013,196263,1,0,0,0,1,0,0,0,1,23,"Fernöstlich"
18,196014,196264,1,0,0,0,346,0,0,0,9,1000,"Deko-Tape: Limsa Lominsa"
19,196015,196265,1,0,0,0,346,0,0,0,9,1001,"Deko-Tape: Gridania"
20,196016,196266,1,0,0,0,346,0,0,0,9,1002,"Deko-Tape: Ul'dah"
21,196212,196462,1,0,0,0,429,0,0,0,3,2311,"Aufträge der Pixies"
22,196213,196463,1,0,0,0,430,0,0,0,3,2312,"Aufträge der Qitari"
23,196214,196464,1,0,0,0,431,0,0,0,3,2313,"Aufträge der Zwerge"
24,196215,196465,1,0,0,0,432,0,0,0,3,2314,"Aufträge der Arkasodara"
25,196217,196467,1,0,0,0,433,0,0,0,3,2316,"Aufträge der Loporrit"
26,196105,0,1,0,0,0,434,0,0,0,4,2504,"Omega (fatal)"
27,196210,196460,1,0,0,0,524,0,0,0,3,2308,"Aufträge der Kojin"
28,196209,196459,2,0,0,0,525,0,0,0,3,2309,"Aufträge der Ananta"
29,196211,196461,1,0,0,0,526,0,0,0,3,2310,"Aufträge der Namazuo"
30,196106,0,1,0,0,0,523,0,0,0,7,3950,"10. Jubiläum"
31,196107,0,1,0,0,0,529,0,0,0,8,2347,"Fischer auf großer Fahrt"
32,196108,0,1,0,0,0,530,0,0,0,8,2348,"Kapitalbeschaffung"
33,196109,196351,1,0,0,0,531,0,0,0,8,2350,"Mahjong-Profi"
34,196206,196456,1,0,0,0,567,0,0,0,3,2305,"Aufträge der Vanu Vanu"
35,196207,196457,1,0,0,0,568,0,0,0,3,2306,"Aufträge der Gnath"
36,196208,196458,1,0,0,0,569,0,0,0,3,2307,"Aufträge der Mogrys"
37,196113,0,1,0,0,0,572,0,0,0,3,2252,"Mythen Eorzeas"
38,196112,0,1,0,0,0,573,0,0,0,3,2250,"Tatarus Wohlstandsmanufaktur"
39,196110,0,2,0,0,0,570,0,0,0,8,2351,"Khloes Abenteueralbum"
40,196111,0,1,0,0,0,571,0,0,0,8,2352,"Traumtafel"
41,196114,0,1,0,0,0,575,0,0,0,7,3951,"Stolperville 1"
42,196115,0,1,0,0,0,576,0,0,0,7,3952,"Stolperville 2"
43,196116,0,1,0,0,0,577,0,0,0,7,3953,"Stolperville 3"
44,196117,0,1,0,0,0,607,0,0,0,7,3954,"Yo-kai Watch"
45,196204,196454,1,0,0,0,694,0,0,0,3,2302,"Aufträge der Kobolde"
46,196202,196452,1,0,0,0,695,0,0,0,3,2301,"Aufträge der Sylphen"
47,196201,196451,1,0,0,0,696,0,0,0,3,2300,"Aufträge der Amalj'aa"
48,196205,196455,2,0,0,0,697,0,0,0,3,2303,"Aufträge der Sahagin"
49,196203,196453,1,0,0,0,698,0,0,0,3,2304,"Aufträge der Ixal"
50,196062,0,1,0,0,0,701,0,0,0,9,1036,"Tuliyollal 1"
51,196063,0,1,0,0,0,702,0,0,0,9,1037,"Tuliyollal 2"
52,196064,0,1,0,0,0,699,0,0,0,9,1038,"Lösung Neun 1"
53,196065,0,2,0,0,0,700,0,0,0,9,1039,"Lösung Neun 2"
54,196218,196468,1,0,0,0,767,0,0,0,3,2317,"Aufträge der Pelupelu"
55,196054,0,1,0,0,0,768,0,0,0,9,1020,"Ishgard 1"
56,196072,0,1,0,0,0,769,0,0,0,9,1021,"Ishgard 2"
57,196055,0,2,0,0,0,770,0,0,0,9,1022,"Frohehalde 1"
58,196073,0,1,0,0,0,771,0,0,0,9,1023,"Frohehalde 2"
59,196056,0,1,0,0,0,772,0,0,0,9,1024,"Kugane 1"
60,196068,0,2,0,0,0,773,0,0,0,9,1025,"Kugane 2"
61,196057,0,1,0,0,0,774,0,0,0,9,1026,"Rhalgrs Wacht 1"
