key,0,1
#,Image,Description
offset,4,0
Int32,Int32,String
0,0,""
1,86801,"<hex:0248020803><hex:0249020403>Die Bozja-Südfront ist ein Inhalt mit besonderen Regeln und Spielmechaniken.<hex:02100103>Bitte lies die folgenden Erklärungen sorgfältig durch, bevor du dich ins Gefecht gegen die IV. Kaiserliche Legion stürzt!<hex:0249020103><hex:0248020103>"
2,86801,"<hex:0248020803><hex:0249020403>■ Es findet eine Anpassung auf Stufe 80 statt!<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Der Inhalt kann mit jedem Job ab Stufe 71 betreten werden. Der Job wird dann auf Stufe 80 angepasst. Auch die Ausrüstung wird auf eine passende Gegen<hex:02160103>stands<hex:02160103>stufe angehoben.<hex:02100103><hex:02100103><hex:0248020F03>※Mit Betreten werden alle Jobkommandos bis Stufe 80 freigeschaltet.<hex:0248020103>"
3,86802,"<hex:0248020803><hex:0249020403>■ Sammle Frontwissen und steigere deinen Widerstandsrang!<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Der Widerstandsrang ist eine besondere Spielmechanik für die Südfront. Steigere ihn mit Frontwissen, das in besonderen Ereignissen (Scharmützeln und kritischen Gefechten) gesammelt werden kann. Je besser du abschneidest, desto mehr Frontwissen erhältst du.<hex:02100103><hex:02100103><hex:0248020F03>※ Frontwissen wird nicht nur durch das Besiegen von Gegnern erworben. Beachte außerdem, dass du es erst bei Abschluss des Ereignisses erhältst.<hex:0248020103>"
4,86802,"Sprich mit dem Strategieoffizier im Lager, wenn du genügend Frontwissen gesammelt hast. Er wird deinen Widerstandsrang anheben.<hex:02100103><hex:02100103>Mit steigendem Widerstandsrang schaltest du neue Kampfgebiete und Aufträge frei.<hex:02100103><hex:02100103><hex:0248020F03>※ Vergiss nicht, dich beim Strategieoffizier zu melden! Sonst wird dein Rang nicht angehoben, auch wenn du genug Frontwissen gesammelt hast!<hex:0248020103>"
5,86802,"<hex:0248020803><hex:0249020403>■ Sammle Routine für deinen Job!<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Scharmützel und kritische Gefechte sind außerdem eine gute Gelegenheit, Routine für den Stufenaufstieg deines Jobs zu erwerben. Der Stufenaufstieg geschieht wie gewohnt automatisch, wenn du ausreichend Routine gesammelt hast."
