key,0
#,Text
offset,0
Int32,String
0,""
1,""
2,""
3,""
4,""
5,""
6,""
7,""
8,""
9,""
10,""
11,""
12,""
13,""
14,""
15,""
16,""
17,""
18,""
19,""
20,""
21,""
22,""
23,""
24,""
25,""
26,""
27,""
28,""
29,"Domanisches Mahjong für Anfänger"
30,"1. Einführung"
31,"Domanisches Mahjong ist ein Spiel für vier Spieler. Die folgende Einführung deckt die grundlegenden Regeln ab."
32,"2. Was ist domanisches Mahjong?"
33,"In domanischem Mahjong versuchen Spieler, als Erste eine vollständige Hand aus 14 Ziegeln zu bilden, wobei die erhaltenen Punkte von der Schnelligkeit und der Schwierigkeit der Hand abhängen.<hex:02100103>Spieler beginnen mit 13 Ziegeln und ziehen in jeder Runde einen neuen Ziegel. Anschließend müssen sie einen Ziegel ablegen; entweder den neuen Ziegel oder einen Ziegel aus ihrer Hand. Dann ist der Spieler rechts am Zug und der Ablauf wiederholt sich bis zum Ende der Hand.<hex:02100103><hex:02100103>Der Spieler, der zuerst eine vollständige Hand gebildet hat, erhält Punkte. Es werden insgesamt acht Hände in einem kompletten Spiel und vier Hände in einem schnellen Spiel gespielt, und der Spieler mit den meisten Punkten gewinnt.<hex:02100103>Hier ist ein Beispiel für eine vollständige Hand:"
34,"Die 14 Ziegel bilden <hex:024804F201FA03><hex:024904F201FB03>vier Gruppen aus 3 Ziegeln und ein Paar aus identischen Ziegeln<hex:0249020103><hex:0248020103>. Eine Gruppe aus Ziegeln wird „Figur“ genannt, und die verschiedenen Arten von Figuren werden in dieser Einführung erläutert. Die Kombination aus Figuren bestimmt die Schwierigkeit der Hand und die erhaltenen Punkte beim Sieg.<hex:02100103><hex:02100103>"
35,"3. Die Ziegel"
36,"Mahjongziegel bestehen aus Farbziegeln und Bildziegeln.<hex:02100103><hex:02100103>■ Farbziegel<hex:02100103>Es gibt drei Farben, von denen jede von 1 bis 9 durchnummerierte Ziegel hat.<hex:02100103>"
37,"■ Bildziegel<hex:02100103>Es gibt zwei Arten von Bildziegeln: die vier Windziegel und die drei Drachenziegel. Anders als die Farbziegel haben diese keine bestimmte Reihenfolge und können daher keine Folgen bilden. Figuren können nur durch gleiche Ziegel gebildet werden."
38,"Es gibt 34 verschiedene Ziegel und vier von jedem Ziegel, sodass insgesamt 136 vorhanden sind.<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>Spieler versuchen, vor allen anderen Spielern eine vollständige Hand aus 14 Ziegeln zu bilden und so viele Punkte wie möglich zu erhalten.<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>"
39,"4. Figuren bilden"
40,"■ Folgen<hex:02100103>Farbziegel können Folgen wie 2, 3, 4 oder 4, 5, 6 bilden, solange alle Ziegel die gleiche Farbe haben. Folgen wie 8, 9, 1 oder 9, 1 ,2 sind jedoch nicht zulässig."
41,"■ Drillinge<hex:02100103>Farbziegel und Bildziegel können zudem Drillinge aus identischen Ziegeln bilden."
42,"Eine vollständige Hand besteht aus 14 Ziegeln und benötigt vier Figuren und ein Paar.<hex:02100103><hex:02100103>※ Es gibt spezielle Kombinationen, auf die diese Regel nicht zutrifft, aber Anfänger sollten sich zunächst auf die grundlegenden Hände fokussieren.<hex:02100103>"
43,"5. Spielablauf"
44,"Jeder der vier Spieler beginnt mit 13 Ziegeln und der automatisch gewählte Spielleiter macht den ersten Zug.<hex:02100103>Dieser Spieler nimmt einen neuen Ziegel auf und wählt einen Ziegel zum Ablegen. Dies kann entweder der neue Ziegel sein, oder ein Ziegel aus der Hand des Spielers.<hex:02100103>Sobald dieser Spieler einen Ziegel abgelegt hat, ist der Spieler rechts von ihm am Zug. Dieser Vorgang wiederholt sich bis zum Ende der Hand."
45,"Die Hand endet, wenn ein Spieler eine vollständige Hand ausruft. Die Hand endet auch, wenn alle Ziegel aufgenommen wurden, ohne dass ein Spieler eine vollständige Hand ausgerufen hat."
46,"Beim Start einer neuen Hand wird der Spieler rechts vom Spielleiter zum neuen Spielleiter. Eine Runde besteht in einem kompletten Spiel aus acht Händen. Im Laufe einer Runde hat jeder Spieler also zweimal die Rolle des Spielleiters. In einem schnellen Spiel werden vier Hände gespielt und jeder Spieler ist entsprechend einmal Spielleiter. Der Spieler mit der höchsten Punktzahl am Ende der Runde ist der Gewinner.<hex:02100103><hex:02100103>"
47,"6. Punkte für eine vollständige Hand"
48,"Jeder Spieler beginnt das Spiel mit 25.000 Punkten, die sich beim Ausrufen einer vollständigen Hand erhöhen. Allerdings können Punkte auch abgezogen werden, wenn ein anderer Spieler eine vollständige Hand ausruft.<hex:02100103><hex:02100103>Eine vollständige Hand kann auf zwei Arten gebildet werden:<hex:02100103>"
49,"1. Tsumo: Wenn ein Ziegel aufgenommen wird<hex:02100103>Wenn eine vollständige Hand mit einem vom Spieler aufgenommenem Ziegel gebildet wird, wird der Punktwert berechnet und jeder der anderen drei Spieler muss diese Punktekosten bezahlen.<hex:02100103>Wenn der Spielleiter eine vollständige Hand ausruft, erhöht sich der Punktwert um 50 %.<hex:02100103>Wenn der Spielleiter einen anderen Spieler bezahlen muss, muss er den doppelten Punktwert bezahlen."
50,"2. Ron: Wenn ein anderer Spieler einen Ziegel ablegt<hex:02100103>Wenn ein Spieler einen Ziegel ablegt, mit dem ein anderer Spieler eine vollständige Hand bilden kann, muss nur der Spieler, der den Ziegel abgelegt hat, bezahlen.<hex:02100103>Wenn der Spielleiter auf diese Art eine vollständige Hand bildet, ist der Punktwert um 50 % erhöht. Wenn der Spielleiter den Ziegel abgelegt hat, wird jedoch nur die übliche Menge bezahlt."
