key,0,1,2,3
#,Name,Description,Icon,FCRank
offset,0,4,8,10
Int32,String,String,UInt16,UInt8
0,"","",0,0
1,"Gesellschaftstruhe","Gewährt Zugriff auf die Ge<hex:02160103>sell<hex:02160103>schaftstruhe.",64301,1
2,"Wappen entwerfen","Erlaubt die Gestaltung des Ge<hex:02160103>sell<hex:02160103>schaftswappens.",64302,2
3,"Wappen anbringen","Erlaubt das Anbringen des Ge<hex:02160103>sell<hex:02160103>schaftswappens an der Ausrüstung.",64303,4
4,"Gesellschaftskommandos","Erlaubt das Nutzen von Ge<hex:02160103>sell<hex:02160103>schaftskommandos.",64304,5
5,"Truhenvergrößerung","Erweitert die Fächer der Ge<hex:02160103>sell<hex:02160103>schaftstruhe auf insgesamt drei.",64305,3
6,"Neue Wappen","Vergrößert das Angebot an Mustern für die Wappengestaltung.",64306,7
7,"Kommandoerweiterung","Erweitert die maximale Anzahl aktivierter und gestapelter Ge<hex:02160103>sell<hex:02160103>schaftskommandos.",64307,8
8,"Grundstücke kaufen","Ermöglicht den Kauf von Grundstücken in Abenteurer<hex:02160103>wohn<hex:02160103>gebieten.",64308,6
9,"Truhenvergrößerung","Erweitert die Fächer der Ge<hex:02160103>sell<hex:02160103>schaftstruhe auf insgesamt vier.",64305,9
10,"Kommandoerweiterung","Erweitert die maximale Anzahl gestapelter Ge<hex:02160103>sell<hex:02160103>schaftskommandos.",64307,10
11,"Truhenvergrößerung","Erweitert die Fächer der Ge<hex:02160103>sell<hex:02160103>schaftstruhe auf insgesamt fünf.",64305,11
12,"Kommandoerweiterung","Erweitert die maximale Anzahl gestapelter Ge<hex:02160103>sell<hex:02160103>schaftskommandos.",64307,12
13,"Kommandoerweiterung","Erweitert die maximale Anzahl gestapelter Ge<hex:02160103>sell<hex:02160103>schaftskommandos.",64307,13
