key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,Model,Style,Icon,,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Description,Name
offset,24,34,28,32,0,16,4,17,18,19,20,21,8,12
Int32,UInt32,Int16,Int32,UInt16,String,Int8,String,Int8,Int8,Int8,Int8,Int8,String,String
0,0,-1,0,0,"",0,"",0,0,1,0,0,"",""
1,71037,0,200049,0,"oval[a] Brille",3,"oval[a] Brillen",1,0,1,1,0,"Ungefärbtes Gesichtsaccessoire","Ovale Brille"
2,136573,0,200053,0,"oval[a] Brille[p] - Silber",3,"oval[a] Brillen[p] - Silber",1,0,1,1,0,"Silbernes Gesichtsaccessoire","Ovale Brille - Silber"
3,202109,0,200052,0,"oval[a] Brille[p] - Gold",3,"oval[a] Brillen[p] - Gold",1,0,1,1,0,"Goldenes Gesichtsaccessoire","Ovale Brille - Gold"
4,267645,0,200054,0,"oval[a] Brille[p] - Schwarz",3,"oval[a] Brillen[p] - Schwarz",1,0,1,1,0,"Schwarzes Gesichtsaccessoire","Ovale Brille - Schwarz"
5,333181,0,200059,0,"oval[a] Brille[p] - Weiß",3,"oval[a] Brillen[p] - Weiß",1,0,1,1,0,"Weißes Gesichtsaccessoire","Ovale Brille - Weiß"
6,398717,0,200050,0,"oval[a] Brille[p] - Grau",3,"oval[a] Brillen[p] - Grau",1,0,1,1,0,"Graues Gesichtsaccessoire","Ovale Brille - Grau"
7,464253,0,200057,0,"oval[a] Brille[p] - Rot",3,"oval[a] Brillen[p] - Rot",1,0,1,1,0,"Rotes Gesichtsaccessoire","Ovale Brille - Rot"
8,529789,0,200056,0,"oval[a] Brille[p] - Blau",3,"oval[a] Brillen[p] - Blau",1,0,1,1,0,"Blaues Gesichtsaccessoire","Ovale Brille - Blau"
9,595325,0,200060,0,"oval[a] Brille[p] - Grün",3,"oval[a] Brillen[p] - Grün",1,0,1,1,0,"Grünes Gesichtsaccessoire","Ovale Brille - Grün"
10,660861,0,200051,0,"oval[a] Brille[p] - Messing",3,"oval[a] Brillen[p] - Messing",1,0,1,1,0,"Messingfarbenes Gesichtsaccessoire","Ovale Brille - Messing"
11,726397,0,200055,0,"oval[a] Brille[p] - Violett",3,"oval[a] Brillen[p] - Violett",1,0,1,1,0,"Violettes Gesichtsaccessoire","Ovale Brille - Violett"
12,791933,0,200058,0,"oval[a] Brille[p] - Braun",3,"oval[a] Brillen[p] - Braun",1,0,1,1,0,"Braunes Gesichtsaccessoire","Ovale Brille - Braun"
13,71038,1,200085,0,"getönt[a] Brille",3,"getönt[a] Brillen",1,0,1,1,0,"Ungefärbtes Gesichtsaccessoire","Getönte Brille"
14,136574,1,200089,0,"getönt[a] Brille[p] - Silber",3,"getönt[a] Brillen[p] - Silber",1,0,1,1,0,"Silbernes Gesichtsaccessoire","Getönte Brille - Silber"
15,202110,1,200088,0,"getönt[a] Brille[p] - Gold",3,"getönt[a] Brillen[p] - Gold",1,0,1,1,0,"Goldenes Gesichtsaccessoire","Getönte Brille - Gold"
16,267646,1,200090,0,"getönt[a] Brille[p] - Schwarz",3,"getönt[a] Brillen[p] - Schwarz",1,0,1,1,0,"Schwarzes Gesichtsaccessoire","Getönte Brille - Schwarz"
17,333182,1,200095,0,"getönt[a] Brille[p] - Weiß",3,"getönt[a] Brillen[p] - Weiß",1,0,1,1,0,"Weißes Gesichtsaccessoire","Getönte Brille - Weiß"
18,398718,1,200086,0,"getönt[a] Brille[p] - Grau",3,"getönt[a] Brillen[p] - Grau",1,0,1,1,0,"Graues Gesichtsaccessoire","Getönte Brille - Grau"
