key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
#,Vision,Objective,PreviousObjective,,,,,,,,,,,,,,,,,,,,
offset,0,4,8,18,23,28,19,24,29,20,25,30,21,26,31,22,27,32,33,14,16,12,34
Int32,String,String,String,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,Int16,Int16,UInt16,UInt8
0,"","","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
1,"Meilenstein: Strandhütte bauen","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Mit Miaurizius sprechen<hex:021402EC03><hex:021302EC03>","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
2,"Meilenstein: Strandhütte bauen","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Noch einmal mit Miaurizius sprechen<hex:021402EC03><hex:021302EC03>","Mit Miaurizius sprechen",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
3,"Meilenstein: Strandhütte bauen","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Im Sammeln-Modus Material sammeln<hex:02100103>Miaurizius Bericht erstatten<hex:021402EC03>","Nochmals mit Miaurizius sprechen",2,2,3,3,2,4,0,3,1,255,0,0,255,0,0,1,0,0,0,0
4,"Meilenstein: Strandhütte bauen","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Eine Steinaxt über das Pionierswerk basteln<hex:02100103>Miaurizius Bericht erstatten<hex:021402EC03><hex:021302EC03>","Im Sammeln-Modus Material sammeln und Miaurizius Bericht erstatten",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
5,"Meilenstein: Strandhütte bauen","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Material sammeln und eine Strandhütte bauen<hex:021402EC03><hex:021302EC03>","Eine Steinaxt basteln und Miaurizius Bericht erstatten",10,10,11,0,10,1,11,5,12,3,5,4,8,5,9,0,0,0,0,0
6,"Meilenstein: Strandhütte bauen","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Miaurizius Bericht erstatten<hex:021402EC03><hex:021302EC03>","Material sammeln und eine Strandhütte bauen",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
7,"Meilenstein: Feldfrüchte anbauen","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Mit Miaurizius sprechen<hex:021402EC03><hex:021302EC03>","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
8,"Meilenstein: Feldfrüchte anbauen","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Feldolin bitten, das Land zu roden<hex:021402EC03><hex:021302EC03>","Mit Miaurizius sprechen",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
9,"Meilenstein: Feldfrüchte anbauen","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Mit Feldolin sprechen<hex:021402EC03><hex:021302EC03>","Feldolin bitten, das Land zu roden",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
10,"Meilenstein: Feldfrüchte anbauen","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Im Säen-Modus Feldfrüchte pflanzen<hex:021402EC03><hex:021302EC03>","Mit Feldolin sprechen",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,-240,112,40,0
11,"Meilenstein: Feldfrüchte anbauen","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Im Gießen-Modus die Felder wässern<hex:021402EC03><hex:021302EC03>","Im Säen-Modus Feldfrüchte pflanzen",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,-240,112,40,0
12,"Meilenstein: Feldfrüchte anbauen","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Feldolin Bericht erstatten<hex:021402EC03><hex:021302EC03>","Im Gießen-Modus die Felder wässern",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
13,"Meilenstein: Weidetiere halten","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Mit Miaurizius sprechen<hex:021402EC03><hex:021302EC03>","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
14,"Meilenstein: Weidetiere halten","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Thierobald bitten, das Land zu roden<hex:021402EC03><hex:021302EC03>","Mit Miaurizius sprechen",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
15,"Meilenstein: Weidetiere halten","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Mit Thierobald sprechen<hex:021402EC03><hex:021302EC03>","Thierobald bitten, das Land zu roden",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
16,"Meilenstein: Weidetiere halten","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Im Fangen-Modus ein Tier einfangen<hex:021402EC03><hex:021302EC03>","Mit Thierobald sprechen",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,300,-252,600,0
17,"Meilenstein: Weidetiere halten","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Mit Thierobald sprechen<hex:021402EC03><hex:021302EC03>","Im Fangen-Modus ein Tier einfangen",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
18,"Meilenstein: Weidetiere halten","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Im Füttern-Modus ein Weidetier füttern<hex:021402EC03><hex:021302EC03>","Mit Thierobald sprechen",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,-292,148,40,0
