key,0,1
#,,
offset,0,4
Int32,String,String
0,"",""
1,"",""
2,"",""
3,"",""
4,"Verringerte Schwierigkeit","Die folgenden Änderungen wurden an epischen Inhalten vorgenommen:<hex:02100103>- Keine Speicherung des Fortschritts für einzelne Inhalte.<hex:02100103>- Die Option „Fortschritt“ ist nicht länger verfügbar.<hex:02100103>- Bei Abschluss erscheinen immer zwei Schatztruhen.<hex:02100103>- Kein Wochenlimit für Gegenstände aus Schatztruhen.<hex:02100103>"
5,"Suchkriterien","<hex:024804F201FA03><hex:024904F201FB03>Suchkriterien<hex:0249020103><hex:0248020103><hex:02100103>Das Suchkriterium „Abgeschlossen“ ist erst verfügbar, wenn der Inhalt einmal abgeschlossen wurde.<hex:02100103><hex:02100103><hex:024804F201FA03><hex:024904F201FB03>Ziel<hex:0249020103><hex:0248020103><hex:02100103>Das Ziel „Raid abschließen“ ist nur verfügbar, wenn die wöchentliche Vergütung noch nicht erhalten wurde.<hex:02100103><hex:02100103><hex:024804F201FA03><hex:024904F201FB03>Fokus der Übung<hex:0249020103><hex:0248020103><hex:02100103>Dies ist nur verfügbar, wenn „Raid üben“ als „Ziel“ ausgewählt ist. Durch die Wahl eines Übungsfokus werden keine Phasen übersprungen.<hex:02100103><hex:02100103>Die Registrierung wird abgebrochen, wenn der Zeitpunkt für die Zurücksetzung des Wochenlimits überschritten ist."
6,"Spielfortschritt","Der Fortschritt in den neuesten epischen Raids wird an bestimmten Stellen gespeichert, um ein späteres Weiterspielen zu ermöglichen.<hex:02100103><hex:02100103>Der Fortschritt wird jeweils am <hex:020603120303><hex:020945DDFF08>Sonntag<hex:FF07>Montag<hex:FF09>Dienstag<hex:FF09>Mittwoch<hex:FF0B>Donnerstag<hex:FF08>Freitag<hex:FF08>Samstag<hex:03> um <hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>:00 Uhr (Erdenzeit) zurückgesetzt.<hex:02100103>"
7,"Vergütung","Spieler, die weiter fortgeschritten sind als der Gruppenanführer, erhalten für bereits abgeschlossene Abschnitte keine Vergütung.<hex:02100103><hex:02100103>Die Anzahl der erscheinenden Schatztruhen kann sich also von Gruppe zu Gruppe unterscheiden.<hex:02100103>　・0 Spieler = 1 Schatztruhe<hex:02100103>　・1-4 Spieler = 1 Schatztruhe<hex:02100103>　・5 oder mehr = Keine Schatztruhen<hex:02100103> <hex:02100103>In Gruppen von 1-8 Spielern, die über die Raid-Suche zu<hex:02160103>sammen<hex:02160103>gestellt wurden, können die Belohnungen je nach Spielfortschritt der Spieler abweichen."
8,"Rollenverteilung","In Gruppen, die über die Raid-Suche zu<hex:02160103>sammen<hex:02160103>gestellt wurden, können zwei Spieler nicht den gleichen Job spielen, es sei denn, es liegen besondere Bedingungen vor.<hex:02100103>Es gibt drei Arten von Angreifern (Nahkampf, physischer Fernkampf, magischer Fernkampf) und „Nicht festgelegt“.<hex:02100103><hex:02100103>Ist das Ziel des Raids „Raid abschließen“, dann müssen die Jobs unter „Nicht festgelegt“ andere sein, als die in den anderen drei Kategorien. Ist das Ziel des Raids „Raid üben“, dann dürfen die Jobs frei gewählt werden.<hex:02100103><hex:02100103>Bei epischen Inhalten sind nur Gruppen zugelassen, <hex:024804F201FA03><hex:024904F201FB03>die über jeweils einen Heiler der Kategorien „Primär-Heiler“ und „Barriere-Heiler“ verfügen.<hex:0249020103><hex:0248020103><hex:02100103>・ Primär-Heiler: Weißmagier, Astrologe<hex:02100103>※ Jobs, die den Fokus auf das Heilen von Grup<hex:02160103>pen<hex:02160103>mit<hex:02160103>gliedern haben.<hex:02100103>・ Barriere-Heiler: Gelehrter, Weiser<hex:02100103>※ Jobs, die neben dem Heilen von Grup<hex:02160103>pen<hex:02160103>mit<hex:02160103>gliedern auch Schaden von diesen abwenden und schützende Barriere-Effekte nutzen können.<hex:02100103><hex:02100103>"
9,"Spielfortschritt in Gruppen","Der Startpunkt bestimmt sich nach dem Fortschritt des Gruppenanführers. Alle Mitglieder können von diesem Punkt aus teilnehmen. Der Fortschritt von Mitgliedern, die weiter als der Anführer fortgeschritten sind, wird nicht überschrieben."
10,"Inhaltssuche","Über die <hex:024804F201FA03><hex:024904F201FB03>Inhaltssuche<hex:0249020103><hex:0248020103> kannst du ganz einfach bestimmte Dungeons gemeinsam mit anderen Spielern erleben.<hex:02100103>Interagiere hierfür mit dem Eingangsportal und wähle „Mit anderen Spielern betreten“, um die Inhaltssuche zu öffnen."
11,"Registrierung für einen Inhalt","Als Erstes wählst du einen Inhalt aus der Liste und dann <hex:024804F201FA03><hex:024904F201FB03>Teilnehmen<hex:0249020103><hex:0248020103>. Damit bist du für diesen Spielinhalt registriert und die Suche nach passenden Mitstreitern wird gestartet.<hex:02100103><hex:02100103>※ Wenn ein <hex:024804F201FA03><hex:024904F201FB03>Schloss<hex:0249020103><hex:0248020103>-Icon angezeigt wird, ist dieser Inhalt für dich noch nicht zugänglich."
12,"Status der Inhaltssuche","Sobald du in der Inhaltssuche registriert bist, kannst du den Status der Suche für diesen Inhalt (Grup<hex:02160103>pen<hex:02160103>mit<hex:02160103>glieder und Server-Status) ansehen, indem du im <hex:024804F201F403><hex:024904F201F503>Hauptmenü<hex:0249020103><hex:0248020103> unter <hex:024804F201FA03><hex:024904F201FB03>Spielinhalte<hex:0249020103><hex:0248020103> die Inhaltssuche auswählst."
13,"Das Bestätigungsfenster","Sobald genügend Mitspieler gefunden wurden, wird ein Bestätigungsfenster angezeigt. Wähle dort <hex:024804F201FA03><hex:024904F201FB03>Teilnehmen<hex:0249020103><hex:0248020103>, sobald du bereit bist.<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>Solltest du den Inhalt nicht innerhalb des angezeigten Zeitlimits betreten, musst du mit der Inhaltsauswahl von vorn anfangen.<hex:0249020103><hex:0248020103>"
14,"Verfügbare Dungeons","Mit dem Fortschreiten deines Abenteuers steigt die Anzahl der verfügbaren Inhalte in der Inhaltssuche und im Inhaltshelfer.<hex:02100103>Inhalte, die du bereits abgeschlossen hast, kannst du beliebig oft wiederholen, indem du sie im <hex:024804F201F403><hex:024904F201F503>Hauptmenü<hex:0249020103><hex:0248020103> unter <hex:024804F201FA03><hex:024904F201FB03>Spielinhalte<hex:0249020103><hex:0248020103> in der Inhaltssuche oder im Inhaltshelfer erneut auswählst."
15,"Die Gewölbesuche nutzen","Das Unstete und Kuriose Gewölbe kannst du entweder betreten, indem du mit einem entsprechenden NPC sprichst, oder aber die <hex:024804F201F403><hex:024904F201F503>Gewölbesuche<hex:0249020103><hex:0248020103> (Hauptmenü → Spielinhalte) nutzt.<hex:02100103><hex:02100103>In der Gewölbesuche werden alle Informationen zur Teilnahme angezeigt. Auch kannst du hier diverse Einstellungen vornehmen, ehe du einen Inhalt betrittst."
