key,0
#,TextOutput
offset,0
Int32,String
0,""
1,"Feststehender Ausdruck, der nur in „Crystalline Conflict“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Hallo!<hex:021C020103><hex:021B020203><hex:021302EC03>"
2,"Feststehender Ausdruck, der nur in „Crystalline Conflict“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Gutes Spiel!<hex:021C020103><hex:021B020203><hex:021302EC03>"
3,"Feststehender Ausdruck, der nur in „Crystalline Conflict“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Danke!<hex:021C020103><hex:021B020203><hex:021302EC03>"
4,"Feststehender Ausdruck, der nur in „Crystalline Conflict“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Gut gemacht!<hex:021C020103><hex:021B020203><hex:021302EC03>"
5,"Variabler Ausdruck, der nur in „The Feast“ zur Verfügung steht.<hex:02100103>Verwendet den Namen und die Re<hex:02160103>ak<hex:02160103>ti<hex:02160103>vie<hex:02160103>rungs<hex:02160103>zeit von dem Kommando, das als <hex:024804F201F403><hex:024904F201F503>Ergänzendes Kommando<hex:0249020103><hex:0248020103> in Slot 1 angelegt ist.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>[Ergänzendes PvP-Kommando 1] bereit!<hex:021C020103><hex:021B020203><hex:021302EC03><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>[Ergänzendes PvP-Kommando 1] in xx Sekunden bereit!<hex:021C020103><hex:021B020203><hex:021302EC03>"
6,"Variabler Ausdruck, der nur in „Crystalline Conflict“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>[Job-Name] Limitrausch bereit!<hex:021C020103><hex:021B020203><hex:021302EC03><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>[Job-Name] Limitrausch bei xx %!<hex:021C020103><hex:021B020203><hex:021302EC03>"
7,"Feststehender Ausdruck, der nur in „The Feast“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Ich hebe das Offensiv-Depot aus!<hex:021C020103><hex:021B020203><hex:021302EC03>"
8,"Feststehender Ausdruck, der nur in „The Feast“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Ich hebe das Defensiv-Depot aus!<hex:021C020103><hex:021B020203><hex:021302EC03>"
9,"Feststehender Ausdruck, der nur in „The Feast“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Ich hebe das Adrenalin-Depot aus!<hex:021C020103><hex:021B020203><hex:021302EC03>"
10,"Feststehender Ausdruck, der nur in „The Feast“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Ich hebe das Wolfsherz-Depot aus!<hex:021C020103><hex:021B020203><hex:021302EC03>"
11,"Feststehender Ausdruck, der nur in „The Feast“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Ich greife den Verteidiger an!<hex:021C020103><hex:021B020203><hex:021302EC03>"
12,"Feststehender Ausdruck, der nur in „The Feast“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Ich greife den Heiler an!<hex:021C020103><hex:021B020203><hex:021302EC03>"
13,"Feststehender Ausdruck, der nur in „The Feast“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Ich greife den Nahkämpfer an!<hex:021C020103><hex:021B020203><hex:021302EC03>"
14,"Feststehender Ausdruck, der nur in „The Feast“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Ich greife den Fernkämpfer an!<hex:021C020103><hex:021B020203><hex:021302EC03>"
15,"Feststehender Ausdruck, der nur in „The Feast“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Ich schalte den Verteidiger aus!<hex:021C020103><hex:021B020203><hex:021302EC03>"
16,"Feststehender Ausdruck, der nur in „The Feast“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Ich schalte den Heiler aus!<hex:021C020103><hex:021B020203><hex:021302EC03>"
17,"Feststehender Ausdruck, der nur in „The Feast“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Ich schalte den Nahkämpfer aus!<hex:021C020103><hex:021B020203><hex:021302EC03>"
18,"Feststehender Ausdruck, der nur in „The Feast“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Ich schalte den Fernkämpfer aus!<hex:021C020103><hex:021B020203><hex:021302EC03>"
19,"Feststehender Ausdruck, der nur in „The Feast“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Ich sammle die Medaillen auf!<hex:021C020103><hex:021B020203><hex:021302EC03>"
20,"Feststehender Ausdruck, der nur in „The Feast“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Holt die Medaillen!<hex:021C020103><hex:021B020203><hex:021302EC03>"
21,"Feststehender Ausdruck, der nur in „Crystalline Conflict“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Zum Angriff!<hex:021C020103><hex:021B020203><hex:021302EC03>"
22,"Feststehender Ausdruck, der nur in „Crystalline Conflict“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Neu formieren!<hex:021C020103><hex:021B020203><hex:021302EC03>"
23,"Variabler Ausdruck, der nur in „Crystalline Conflict“ zur Verfügung steht.<hex:02100103>Zeigt die verbleibenden Magiepunkte als Prozentwert an.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>MP auf xx %!<hex:021C020103><hex:021B020203><hex:021302EC03>"
24,"Variabler Ausdruck, der nur in „The Feast“ zur Verfügung steht.<hex:02100103>Zeigt die verbleibenden Taktikpunkte als Prozentwert an.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>TP auf xx %!<hex:021C020103><hex:021B020203><hex:021302EC03>"
25,"Variabler Ausdruck, der nur in „Crystalline Conflict“ zur Verfügung steht.<hex:02100103>Verwendet das anvisierte Ziel.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Ich greife den [Job-Name] an!<hex:021C020103><hex:021B020203><hex:021302EC03>"
26,"Variabler Ausdruck, der nur in „Crystalline Conflict“ zur Verfügung steht.<hex:02100103>Verwendet das anvisierte Ziel.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Ich halte den [Job-Name] auf!<hex:021C020103><hex:021B020203><hex:021302EC03>"
27,"Variabler Ausdruck, der nur in „The Feast“ zur Verfügung steht.<hex:02100103>Verwendet den Namen und die Re<hex:02160103>ak<hex:02160103>ti<hex:02160103>vie<hex:02160103>rungs<hex:02160103>zeit von dem Kommando, das als <hex:024804F201F403><hex:024904F201F503>Ergänzendes Kommando<hex:0249020103><hex:0248020103> in Slot 2 angelegt ist.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>[Ergänzendes PvP-Kommando 2] bereit!<hex:021C020103><hex:021B020203><hex:021302EC03><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>[Ergänzendes PvP-Kommando 2] in xx Sekunden bereit!<hex:021C020103><hex:021B020203><hex:021302EC03>"
28,"Variabler Ausdruck, der nur in „The Feast“ zur Verfügung steht.<hex:02100103>Verwendet das anvisierte Ziel und zeigt einen Countdown-Zähler über ihm an.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Konzentriert euch auf den [Job-Name]!<hex:021C020103><hex:021B020203><hex:021302EC03>"
29,"Fester Ausdruck, der nur in „The Feast“ zur Verfügung steht.<hex:02100103>Verwendet das anvisierte Ziel.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Konzentrierten Angriff beenden!<hex:021C020103><hex:021B020203><hex:021302EC03>"
30,"Feststehender Ausdruck, der nur in „Crystalline Conflict“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Tut mir leid!<hex:021C020103><hex:021B020203><hex:021302EC03>"
31,"Feststehender Ausdruck, der nur in „Crystalline Conflict“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Ich presche vor!<hex:021C020103><hex:021B020203><hex:021302EC03>"
32,"Feststehender Ausdruck, der nur in „Crystalline Conflict“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Ich falle zurück!<hex:021C020103><hex:021B020203><hex:021302EC03>"
33,"Variabler Ausdruck, der nur in „Crystalline Conflict“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>[Job-Name] Ich eskortiere jetzt den Kristall!<hex:021C020103><hex:021B020203><hex:021302EC03>"
34,"Feststehender Ausdruck, der nur in „Crystalline Conflict“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Eskortiert den Kristall!<hex:021C020103><hex:021B020203><hex:021302EC03>"
35,"Variabler Ausdruck, der nur in „Crystalline Conflict“ zur Verfügung steht.<hex:02100103>Verwendet das anvisierte Ziel.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Ich decke den [Job-Name]!<hex:021C020103><hex:021B020203><hex:021302EC03>"
36,"Variabler Ausdruck, der nur in „Crystalline Conflict“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>[Job-Name] führt den Limitrausch aus!<hex:021C020103><hex:021B020203><hex:021302EC03>"
37,"Feststehender Ausdruck, der nur in „Crystalline Conflict“ zur Verfügung steht.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Versammeln!<hex:021C020103><hex:021B020203><hex:021302EC03>"
38,"Variabler Ausdruck, der nur in „Crystalline Conflict“ zur Verfügung steht.<hex:02100103>Verwendet die Re<hex:02160103>ak<hex:02160103>ti<hex:02160103>vie<hex:02160103>rungs<hex:02160103>zeit von Purifikation.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Purifikation bereit!<hex:021C020103><hex:021B020203><hex:021302EC03><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Purifikation in xx Sekunden bereit!<hex:021C020103><hex:021B020203><hex:021302EC03>"
39,"Variabler Ausdruck, der nur in „Crystalline Conflict“ zur Verfügung steht.<hex:02100103>Verwendet die Re<hex:02160103>ak<hex:02160103>ti<hex:02160103>vie<hex:02160103>rungs<hex:02160103>zeit von Wehr.<hex:02100103><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Wehr bereit!<hex:021C020103><hex:021B020203><hex:021302EC03><hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>Wehr in xx Sekunden bereit!<hex:021C020103><hex:021B020203><hex:021302EC03>"
