key,0,1,2,3,4,5,6,7,8,9,10
#,Type,,Range,,EObj,,,Objective,,,
offset,28,29,30,31,16,20,24,0,4,8,12
Int32,UInt8,UInt8,UInt8,Int8,UInt32,UInt32,UInt32,String,String,String,String
0,0,0,0,-1,0,0,0,"","","",""
1,0,0,0,0,0,0,0,"","","",""
2,0,0,0,0,0,0,0,"","","",""
3,0,0,0,0,0,0,0,"","","",""
4,0,0,0,0,0,0,0,"","","",""
5,0,0,0,0,0,0,0,"","","",""
6,0,0,0,0,0,0,0,"","","",""
7,0,0,0,0,0,0,0,"","","",""
8,0,0,0,0,0,0,0,"","","",""
9,0,0,0,0,0,0,0,"","","",""
10,6,0,0,-1,0,0,0,"","Hier Kommandozentrale Haillenarte. An das eingetroffene Luftschiff: Willkommen auf dem Diadem!","Das Haus Haillenarte bittet die Besatzung des Luftschiffs, bei der Evaluierung vorhandener Ressourcen zu assistieren. Sammelt dazu Rohstoffproben nach eigenem Ermessen.","Das Haus zahlt im Gegenzug natürlich eine fürstliche Belohnung. Auf gute Zusammenarbeit!"
11,6,0,0,-1,0,0,0,"","Hier Kommandozentrale Haillenarte. Wir bestätigen den Abschluss der ersten Etappe der Probengewinnung.","Die ersten Ergebnisse sehen viel<hex:02160103>ver<hex:02160103>sprechend aus. Viel Erfolg bei der nächsten Etappe!",""
12,6,0,0,-1,0,0,0,"","Hier Kommandozentrale Haillenarte. Wir bestätigen den Abschluss der zweiten Etappe der Probengewinnung.","Eure Ausbeute kann sich sehen lassen. Bringt jetzt den Einsatz zu Ende!",""
13,9,0,0,-1,2007594,0,8,"Überladene Feuerkristalle sammeln","Hier Kommandozentrale Haillenarte. An das eingetroffene Luftschiff: Willkommen auf dem Diadem!","Das Haus Haillenarte bittet die Besatzung des Luftschiffs, überladene Elementarkristalle zu beschaffen. Ich übermittle die Koordinaten ...","Im Übrigen habe ich nichts dagegen, wenn ihr euch auch um andere Aufgaben kümmert. Wir können jede Hilfe gebrauchen!"
14,9,0,0,-1,2007597,0,8,"Überladene Was<hex:02160103>ser<hex:02160103>kris<hex:02160103>tal<hex:02160103>le sammeln","Hier Kommandozentrale Haillenarte. An das eingetroffene Luftschiff: Willkommen auf dem Diadem!","Das Haus Haillenarte bittet die Besatzung des Luftschiffs, überladene Elementarkristalle zu beschaffen. Ich übermittle die Koordinaten ...","Im Übrigen habe ich nichts dagegen, wenn ihr euch auch um andere Aufgaben kümmert. Wir können jede Hilfe gebrauchen!"
15,9,0,0,-1,2007595,0,8,"Überladene Erdkristalle sammeln","Hier Kommandozentrale Haillenarte. An das eingetroffene Luftschiff: Willkommen auf dem Diadem!","Das Haus Haillenarte bittet die Besatzung des Luftschiffs, überladene Elementarkristalle zu beschaffen. Ich übermittle die Koordinaten ...","Im Übrigen habe ich nichts dagegen, wenn ihr euch auch um andere Aufgaben kümmert. Wir können jede Hilfe gebrauchen!"
