key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
#,Name,Description,Icon,,MaxStacks,ClassJobCategory,StatusCategory,HitEffect,VFX,LockMovement,,LockActions,LockControl,Transfiguration,IsGaze,CanDispel,InflictedByActor,IsPermanent,PartyListPriority,CanIncreaseRewards,NoLogVfx,,ParamModifier,ParamEffect,CanStatusOff,Log,IsFcBuff,,Invisibility,TargetType,Flags,Flag2,,,,
offset,0,4,8,20,21,22,23,24,16,33,33,33,33,33,33,33,33,34,25,26,34,34,12,27,34,18,34,32,34,28,29,30,34,34,35,31
Int32,String,String,UInt32,UInt8,UInt8,UInt8,UInt8,UInt8,UInt16,PackedBool0,PackedBool1,PackedBool2,PackedBool3,PackedBool4,PackedBool5,PackedBool6,PackedBool7,PackedBool0,UInt8,UInt8,PackedBool1,PackedBool2,Int32,UInt8,PackedBool3,UInt16,PackedBool4,Int8,PackedBool5,UInt8,UInt8,UInt8,PackedBool6,PackedBool7,PackedBool0,UInt8
0,"","",0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,0,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
1,"Stein","Die Versteinerung des Körpers verhindert das Ausführen jeglicher Kommandos.",215001,85,0,1,2,6,1,True,False,True,False,False,False,False,False,False,100,0,False,False,0,0,False,0,False,0,False,0,32,0,True,False,False,0
2,"Betäubung","Betäubte Sinne verhindern das Ausführen jeglicher Kommandos.",215004,0,0,1,2,3,2,True,False,True,False,False,False,True,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
3,"Schlaf","Tiefschlaf verhindert das Ausführen jeglicher Kommandos.",215013,1,0,1,2,2,3,True,False,True,False,False,False,True,False,False,100,0,False,False,0,0,False,0,False,0,False,0,3,0,True,False,False,0
4,"Benommenheit","Benommenheit verhindert das Ausführen jeglicher Kommandos. ",215003,1,0,1,2,8,0,True,False,True,False,False,False,False,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
5,"Amnesie","Talente können nicht eingesetzt werden.",215015,0,0,1,2,15,0,False,False,False,False,False,False,True,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
6,"Pacem","Waf<hex:02160103>fen<hex:02160103>fer<hex:02160103>tig<hex:02160103>kei<hex:02160103>ten können nicht eingesetzt werden.",215017,0,0,1,2,14,0,False,False,False,False,False,False,True,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
