key,0,1,2,3,4,5
#,,,,,,
offset,0,16,4,8,12,14
Int32,String,UInt8,UInt32,UInt32,UInt16,UInt16
0,"Eine Stellarmission abschließen.",1,1,0,50,0
1,"Drei verschiedene Arten von Stellarmissionen abschließen.",1,3,0,75,1
2,"Eine Goldwertung erzielen.",1,1,0,75,2
3,"Eine Notfallmission abschließen.",1,1,0,50,3
4,"Einen Mecha-Einsatz abschließen.",1,1,0,100,4
5,"Sich am Kosmo-Glück versuchen.",1,1,0,50,5
6,"10 Stellarmissionen auf dem Mond abschließen.",2,10,1,300,6
7,"50 Stellarmissionen auf dem Mond abschließen.",2,50,1,450,7
8,"100 Stellarmissionen auf dem Mond abschließen.",2,100,1,900,8
9,"500 Stellarmissionen auf dem Mond abschließen.",2,500,1,1500,9
10,"10 verschiedene Arten von Stellarmissionen auf dem Mond abschließen.",2,10,1,300,10
11,"50 verschiedene Arten von Stellarmissionen auf dem Mond abschließen.",2,50,1,900,11
12,"100 verschiedene Arten von Stellarmissionen auf dem Mond abschließen.",2,100,1,2400,12
13,"In 10 verschiedenen Arten von Stellarmissionen auf dem Mond eine Goldwertung erzielen.",2,10,1,300,13
14,"In 50 verschiedenen Arten von Stellarmissionen auf dem Mond eine Goldwertung erzielen.",2,50,1,900,14
15,"In 100 verschiedenen Arten von Stellarmissionen auf dem Mond eine Goldwertung erzielen.",2,100,1,2400,15
16,"Eine Notfallmission auf dem Mond abschließen.",2,1,2,500,16
17,"10 Notfallmissionen auf dem Mond abschließen.",2,10,2,1000,17
18,"30 Notfallmissionen auf dem Mond abschließen.",2,30,2,3000,18
19,"Als Pilot einen Mecha-Einsatz auf dem Mond abschließen.",2,1,1,1500,22
20,"Als Pilot 5 Mecha-Einsätze auf dem Mond abschließen.",2,5,1,3000,23
21,"Als Pilot 10 Mecha-Einsätze auf dem Mond abschließen.",2,10,1,4500,24
22,"Als Bodenunterstützung 5 Mecha-Einsätze auf dem Mond abschließen.",2,5,1,300,25
23,"Als Bodenunterstützung 20 Mecha-Einsätze auf dem Mond abschließen.",2,20,1,900,26
24,"Als Bodenunterstützung 50 Mecha-Einsätze auf dem Mond abschließen.",2,50,1,2100,27
25,"Auf dem Mond 3 verschiedene Klasse D-Stellarmissionen für Zimmerer abschließen.",2,3,3,50,28
26,"Auf dem Mond 4 verschiedene Klasse C-Stellarmissionen für Zimmerer abschließen.",2,4,3,100,29
27,"Auf dem Mond 3 verschiedene Klasse B-Stellarmissionen für Zimmerer mit Goldwertung abschließen.",2,3,3,200,30
28,"Auf dem Mond 3 verschiedene Klasse D-Stellarmissionen für Grobschmiede abschließen.",2,3,7,50,31
29,"Auf dem Mond 4 verschiedene Klasse C-Stellarmissionen für Grobschmiede abschließen.",2,4,7,100,32
30,"Auf dem Mond 3 verschiedene Klasse B-Stellarmissionen für Grobschmiede mit Goldwertung abschließen.",2,3,7,200,33
31,"Auf dem Mond 3 verschiedene Klasse D-Stellarmissionen für Plattner abschließen.",2,3,11,50,34
32,"Auf dem Mond 4 verschiedene Klasse C-Stellarmissionen für Plattner abschließen.",2,4,11,100,35
33,"Auf dem Mond 3 verschiedene Klasse B-Stellarmissionen für Plattner mit Goldwertung abschließen.",2,3,11,200,36
34,"Auf dem Mond 3 verschiedene Klasse D-Stellarmissionen für Goldschmiede abschließen.",2,3,15,50,37
35,"Auf dem Mond 4 verschiedene Klasse C-Stellarmissionen für Goldschmiede abschließen.",2,4,15,100,38
36,"Auf dem Mond 3 verschiedene Klasse B-Stellarmissionen für Goldschmiede mit Goldwertung abschließen.",2,3,15,200,39
37,"Auf dem Mond 3 verschiedene Klasse D-Stellarmissionen für Gerber abschließen.",2,3,19,50,40
38,"Auf dem Mond 4 verschiedene Klasse C-Stellarmissionen für Gerber abschließen.",2,4,19,100,41
39,"Auf dem Mond 3 verschiedene Klasse B-Stellarmissionen für Gerber mit Goldwertung abschließen.",2,3,19,200,42
40,"Auf dem Mond 3 verschiedene Klasse D-Stellarmissionen für Weber abschließen.",2,3,23,50,43
41,"Auf dem Mond 4 verschiedene Klasse C-Stellarmissionen für Weber abschließen.",2,4,23,100,44
42,"Auf dem Mond 3 verschiedene Klasse B-Stellarmissionen für Weber mit Goldwertung abschließen.",2,3,23,200,45
43,"Auf dem Mond 3 verschiedene Klasse D-Stellarmissionen für Alchemisten abschließen.",2,3,27,50,46
44,"Auf dem Mond 4 verschiedene Klasse C-Stellarmissionen für Alchemisten abschließen.",2,4,27,100,47
45,"Auf dem Mond 3 verschiedene Klasse B-Stellarmissionen für Alchemisten mit Goldwertung abschließen.",2,3,27,200,48
