key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
#,StageFull,Stage,IndexText2,IndexText,IndexNpc,LodestoneRank,,,,,Thumbnail,,,,,,,,,,,,,,,,
offset,0,4,8,12,16,40,55,36,41,38,20,32,24,28,42,43,44,45,46,47,48,49,50,51,52,53,54
Int32,String,String,String,String,String,UInt8,PackedBool0,UInt16,UInt8,UInt16,UInt32,Int32,UInt32,UInt32,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8
0,"","","","","",0,False,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Mondtor-Station: Erweiterung I in Planung<hex:02100103> <hex:024804F2023B03><hex:024904F2023C03>Schließe Stellarmissionen ab!","Mondtor-Station: Erweiterung I - In Planung","Wir sammeln momentan alle nötigen Materialien, um die Mondtor-Station zu erweitern! Jede einzelne Stellarmission hilft dabei, diesem Ziel näher zu kommen!","Bald ist es so weit! Wir sammeln momentan alle nötigen Materialien, um die Mondtor-Station zu erweitern! Wir sind für jede Unterstützung dankbar!","Searchingway",0,False,158,1,0,241001,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
2,"Mondtor-Station: Erweiterung I in Vorbereitung<hex:02100103><hex:024804F2023B03><hex:024904F2023C03>Bereite dich auf das Projekt vor!","Mondtor-Station: Erweiterung I - In Vorbereitung","Für die Erweiterung der Mondtor-Station ist gerade ein Gemeinschaftsprojekt in Vorbereitung. Wir hoffen, dass sich so viele Unterstützer wie möglich daran beteiligen werden!","Für die Erweiterung der Mondtor-Station ist gerade ein Gemeinschaftsprojekt in Vorbereitung. Hilf doch bitte auch mit!","Searchingway",0,False,158,2,0,241001,1451,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
3,"Mondtor-Station: Erweiterung I im Gange<hex:02100103><hex:024804F2023B03><hex:024904F2023C03>Beteilige dich am Projekt!","Mondtor-Station: Erweiterung I - Im Gange","Für die Erweiterung der Mondtor-Station ist ein Gemeinschaftsprojekt im Gange! Wir können jede freie Hand gebrauchen!","Für die Erweiterung der Mondtor-Station ist ein Gemeinschaftsprojekt im Gange! Wir können jede freie Hand gebrauchen!","Searchingway",0,False,158,3,0,241001,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
4,"Mondtor-Station: Basislager Beta fertiggestellt<hex:02100103><hex:024804F2023B03><hex:024904F2023C03>Unterstütze weiter die Erkundung!","Mondtor-Station: Basislager Beta - Fertiggestellt","Die Erweiterung der Mondtor-Station ist fertig! Das sollte der Erkundung einen ordentlichen Schwung verpassen. Danke für die hoppeltastische Hilfe!","Die Erweiterung der Mondtor-Station ist fertig! Danke für die hoppeltastische Hilfe!","Searchingway",1,False,158,4,0,241002,1406,18,0,6,0,2,3,0,0,0,0,0,0,0,0,0
5,"Kosmozapper: Bauunterstützung I in Planung<hex:02100103> <hex:024804F2023B03><hex:024904F2023C03>Schließe Stellarmissionen ab!","Kosmozapper: Bauunterstützung I - In Planung","Wir sammeln gerade Materialien, um ein ganz tolles Fortbewegungsmittel in der Nähe der Station zu bauen: den Kosmozapper! Jede einzelne Stellarmission hilft dabei, diesem Ziel näher zu kommen!","Wir bauen ein ganz tolles Fortbewegungsmittel in die Nähe der Station: den Kosmozapper! Gerade werden noch Materialien gesammelt, wobei wir für jede Unterstützung dankbar sind!","Searchingway",1,False,158,5,0,241003,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
6,"Kosmozapper: Bauunterstützung I in Vorbereitung<hex:02100103><hex:024804F2023B03><hex:024904F2023C03>Bereite dich auf das Projekt vor!","Kosmozapper: Bauunterstützung I - In Vorbereitung","Für die Errichtung des Kosmozappers ist gerade ein Gemeinschaftsprojekt in Vorbereitung. Wir hoffen, dass sich so viele Unterstützer wie möglich daran beteiligen werden!","Für die Errichtung des Kosmozappers ist gerade ein Gemeinschaftsprojekt in Vorbereitung. Hilf doch bitte auch mit!","Searchingway",1,False,158,6,0,241003,1451,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
