key,0
#,Text
offset,0
Int32,String
0,""
1,"Missionsziel abgeschlossen!"
2,"Alle Missionsziele abgeschlossen!"
3,"[Nur in der Kosmo-Erkundung verwendbar]"
4,"Scheint, als hättest du die Forschung für <hex:02280EFF09>ClassJob<hex:E8020103> vollständig beendet!<hex:02100103>Dann musst du jetzt wohl ganz geduldig warten, bis es mehr gibt, was?"
5,"Die Forschung für <hex:02280EFF09>ClassJob<hex:E8020103> macht gewaltige Fortschritte. Melde dich bitte bei der Kosmo-Forschung zur Einreichung der Daten!"
6,"Der Fortschritt der Datenanalyse deiner Forschung als <hex:02280EFF09>ClassJob<hex:E8020103> sieht wie folgt aus!"
7,"Das muss hier ... und dies muss dort ... Ja, genau!<hex:02100103>Aber heißt das dann, dass das hier da hinten hin muss ...?!"
8,"Die Forschungsmodule, die wir hier benutzen, haben wir uns übrigens ganz dreist von der Magieakademie abgeschaut, hehe ..."
9,"Je weiter die Kosmo-Forschung fortschreitet, desto praktischere Werkzeuge werden verfügbar!"
10,"Komplizierte Forschung benötigt noch kompliziertere Daten.<hex:02100103>Unser Erfolg hängt von deinem Können ab!"
11,"Forschung auf unter<hex:02160103>schied<hex:02160103>lichen Forschungsgebieten voranzutreiben, steigert die Effizienz im Gesamtbild!"
12,"<knister>...as zum...<rausch>...ie Verbin...o schlech...<rausch>"
13,"Die natürlichen Ressourcen auf Phaenna sind überaus faszinierend!<hex:02100103>Das wird unserer Forschung sicher einen ordentlichen Schub geben!"
14,"Die Pflanzen hier weisen komplett einzigartige Strukturen auf! Unter dem Mikroskop ist ihr Glitzern besonders schön anzusehen!"
15,"Wir haben versucht, das gigantische Loch im Kapselgrund zu vermessen. Und scheinbar geht es unter den Kugeln einfach unendlich weiter<hex:021D0103>... Pass also auf, da ja nicht reinzufallen!"
16,"Im geschmolzenen Zustand strahlt das Glas aus dem Fusingway-Schlund zwar feuerrot, aber wenn es abkühlt und verhärtet, schillert es auch in anderen Farben!"
17,"Reserviert für „<hex:02280AFF05>Fate<hex:E8020103>“ "
18,""
19,""
20,""
21,""
22,""
