key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,Type,,,,,,,,,,,,,
offset,34,28,32,0,20,4,21,22,23,24,25,8,12,16
Int32,UInt8,UInt32,UInt16,String,Int8,String,Int8,Int8,Int8,Int8,Int8,String,String,String
0,0,0,0,"",0,"",0,0,1,0,0,"","",""
1,1,243001,98,"Gürtel[p] der Vitalität",4,"Gürtel[p] der Vitalität",2,0,1,0,0,"Gürtel der Vitalität","Maximal-LP + 20 %","Erhöht die Maximal-LP."
2,1,243002,35,"Opferring",4,"Opferringe",2,0,1,0,0,"Opferring","Belebt dich bei Kampfunfähigkeit wieder und opfert dafür die gerufene Bestie. Wirkt nur, wenn eine Bestie gerufen ist.","Opfert die Bestie, um den Bestienbändiger wiederzubeleben."
3,1,243003,175,"Ring[p] der Heilung",4,"Ringe[p] der Heilung",2,0,1,0,0,"Ring der Heilung","Regeneriert nach Kämpfen 25<hex:021D0103>% der Maximal-LP.","Regeneriert nach Kämpfen LP."
4,1,243004,35,"Arzneibeutel",4,"Arzneibeutel",2,0,1,0,0,"Arzneibeutel","Gewährt beim Rasten im Zelt einen zufälligen Bestien-Heiltrank.","Gewährt beim Rasten einen Bestien-Heiltrank."
5,1,243005,56,"verhext[a] Hut",4,"verhext[a] Hüte",2,0,1,0,0,"Verhexter Hut","Magische Verwundbarkeit - 10<hex:021D0103>%","Verringert erlittenen magischen Schaden."
6,1,243006,63,"Stahlrüstung",3,"Stahlrüstungen",1,0,1,1,0,"Stahlrüstung","Physische Verwundbarkeit - 15<hex:021D0103>%","Verringert erlittenen physischen Schaden."
7,1,243007,190,"Krone[p] der Wildheit",3,"Krone[p] der Wildheit",1,0,1,1,0,"Krone der Wildheit","Ausgeteilter physischer Schaden + 10<hex:021D0103>%<hex:02100103>Kritische Trefferrate + 3<hex:021D0103>%<hex:02100103>※ Effekt wirkt auch auf die gerufene Bestie.","Erhöht den ausgeteilten physischen Schaden und die kritische Trefferrate (auch bei der Bestie)."
8,1,243008,190,"Stab[p] der Weisheit",4,"Stäbe[p] der Weisheit",2,0,1,0,0,"Stab der Weisheit","Ausgeteilter magischer Schaden + 20<hex:021D0103>%<hex:02100103>※ Effekt wirkt auch auf die gerufene Bestie.","Erhöht den ausgeteilten magischen Schaden (auch bei der Bestie)."
9,1,243009,174,"Kraftreif",4,"Kraftreife",2,0,1,0,0,"Kraftreif","Ausgeteilter physischer Schaden + 12<hex:021D0103>%<hex:02100103>Ausweichrate + 3<hex:021D0103>%","Erhöht den ausgeteilten physischen Schaden und die Ausweichrate."
10,1,243010,84,"verdreht[a] Stirnband",4,"verdreht[a] Stirnbänder",2,0,1,2,0,"Verdrehtes Stirnband","Ausgeteilter physischer Schaden + 5<hex:021D0103>%<hex:02100103>Physische Verwundbarkeit - 5<hex:021D0103>%","Erhöht den ausgeteilten physischen Schaden und verringert den ausgeteilten magischen Schaden."
11,1,243011,174,"grün[a] Barett",4,"grün[a] Barette",2,0,1,2,0,"Grünes Barett","Kritischer Attacke-Wert + 35<hex:02100103>Ausgeteilter Schaden + 3<hex:021D0103>%<hex:02100103>Maximal-LP + 7<hex:021D0103>%","Erhöht den kritischen Attacke-Wert, den ausgeteilten Schaden und die Maximal-LP."
