key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_000","Herzlich willkommen im Treibsand! Unser Gasthaus ist ein Sammelpunkt für alle Abenteurer, die es nach Ul'dah verschlägt."
1,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_001","Zum Glück - und nicht nur dem meiner Kasse - sind das viele, denn Probleme gibt es in der Perle der Wüste an allen Ecken und Enden."
2,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_010","Aus dir ist schon richtig was geworden, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>! Dabei kann ich mich noch so gut erinnern, wie du als Abenteurer-Grünschnabel vor mir standest. Es ist, als wäre es gestern gewesen!"
3,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_020","Ah, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>! Ich habe schon viel von dir gehört! Bei uns bist du goldrichtig, denn im Treibsand schaut so ziemlich jeder Abenteurer mal vorbei."
4,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_021","Die Folgen der Siebten Katastrophe sind noch überall zu spüren, Ärger ist an der Tagesordnung. Da können wir jemanden wie dich sehr gut gebrauchen."
5,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_030","Na, wenn das mal nicht <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203> ist! Bis vor kurzem warst du noch <hex:020826E905FF12>eine Abenteurerin<hex:FF0F>ein Abenteurer<hex:03> wie <hex:020810E905FF05>jede<hex:FF06>jeder<hex:03> andere, jetzt wirst du als <hex:020820E905FF0E>große Heldin<hex:FF0D>großer Held<hex:03> gefeiert. Schon verrückt, nicht wahr?"
6,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_031","Du hast es dir natürlich redlich verdient, aber etwas traurig stimmt es mich schon. Denn sicher hast du jetzt nicht mehr so viel Zeit, auf ein leckeres Hähnchenbrustfilet vor<hex:02160103>bei<hex:02160103>zu<hex:02160103>schau<hex:02160103>en. Die gute Momodi und ihr Backofen sind jedenfalls immer für dich da, darauf kannst du bauen!"
7,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_040","Ah, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>! Danke noch mal, dass du mir meinen aufdringlichen Verehrer vom Hals geschafft hast. Seitdem hat er sich zum Glück nicht mehr blicken lassen."
8,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_041","Ich gönne jedem seinen Traum, solange ich dafür nicht heiraten muss. Da hört der Spaß auf!"
9,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_050","<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>, du lebst! Den Göttern sei Dank!<hex:02100103>Nach dem Vorfall bei der Siegesfeier befürchtete ich das Schlimmste! Die Vorwürfe gegen dich habe ich natürlich nicht geglaubt. Dir wurde großes Unrecht getan!"
10,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_051","Bisher sind noch nicht viele Informationen nach außen gedrungen. Man versucht wohl, den Deckel darauf zu halten. Aber es ist nur eine Frage der Zeit, bis die Gerüchte hochkochen."
11,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_052","Das Volk von Ul'dah lässt sich nicht für dumm verkaufen und weiß sich sehr wohl zu wehren. Uns stehen chaotische Zeiten bevor. Pass auf dich auf!"
12,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_060","Ich kann gar nicht sagen, wie sehr wir uns alle gefreut haben, als wir von der Sultana hörten. Wir haben ihre Rückkehr spontan im Treibsand gefeiert."
13,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_061","Für General Raubahn gilt das Gleiche - endlich ist wieder Stabilität eingekehrt. Auch wenn es nie wieder so sein wird wie früher."
14,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_062","Ich habe immer zu dir gehalten, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>. Niemand könnte es dir übel nehmen, wenn du Ul'dah den Rücken kehren würdest - aber das du immer noch zu uns hältst, beweist deine Größe."
15,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_070","Die mhigischen Flüchtlinge sind in letzter Zeit so unruhig. Aber gerade in der momentanen Lage ist Besonnenheit angesagt, meinst du nicht?"
16,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_080","<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>! Ich bin ja so erleichtert, dich wiederzusehen! Es gab Gerüchte, dass du im Kampf gegen die garleische Armee gefallen seist. Ich wollte es nicht glauben, aber man weiß ja nie<hex:021D0103>..."
17,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_090","<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>! Ein Glück, du bist unversehrt! Ich hatte mir solche Sorgen um dich gemacht, als ich von den Geschehnissen in Garlemald erfuhr! Der Turm in Thanalan mag verschwunden sein, doch für Entwarnung ist es noch zu früh."
18,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_100","Denn wie man hört, wurden nach den Endzeitphänomenen in Radz-at-Han diese Blasphemitäten auch in anderen Regionen gesichtet. Hier in Ul'dah sind wir zwar bislang verschont geblieben, aber wer weiß, für wie lange<hex:021D0103>..."
19,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_110","<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>! Es gibt so ziemlich niemanden, der gerade nicht über dich redet. Mit Recht, denn <hex:020819E905FF0B>die Heldin<hex:FF09>der Held<hex:03> Eorzeas ist nun <hex:02081DE905FF0D>die Retterin<hex:FF0B>der Retter<hex:03> unserer Welt!"
20,"TEXT_REGWILTHEQUICKSAND_00157_MOMODI_000_111","Auch wenn jemand wie du in Zukunft mehr denn je sich unzähligen Aufgaben und Heraus<hex:02160103>forde<hex:02160103>rungen stellen werden muss, für dich wird hier an meiner Bar immer ein ganz besonderer Platz frei sein."
