key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_FESPDYPLAYERALTAR_00254_MAIDPDY2015_000_000","Das hier neben mir aufgestellte Podest ist ein Schmuckregal für eine Puppendekoration in Lebensgröße. Es wurde eigentlich nur zu Testzwecken aufgebaut."
1,"TEXT_FESPDYPLAYERALTAR_00254_MAIDPDY2015_000_001","Aber da es nun schon mal fertig ist und es schade wäre, es gleich wieder abzureißen, wurde es nun hier an dieser Stelle platziert. Es steht allen frei, es zu benutzen, also nur keine falsche Scheu."
2,"TEXT_FESPDYPLAYERALTAR_00254_SYSTEM_000_002","Es steht allen Abenteurern und Aben<hex:02160103>teu<hex:02160103>re<hex:02160103>rin<hex:02160103>nen frei, dieses Schmuckregal zu nutzen. Es bietet zum Beispiel eine gute Gelegenheit, Screenshots aufzunehmen. "
3,"TEXT_FESPDYPLAYERALTAR_00254_SYSTEM_000_003","Um allen Abenteurern und Aben<hex:02160103>teu<hex:02160103>re<hex:02160103>rin<hex:02160103>nen diese Möglichkeit zu bieten, nehmt dabei Rücksicht aufeinander und nutzt es so gut es geht nacheinander. "
4,"TEXT_FESPDYPLAYERALTAR_00254_SYSTEM_000_100","Das Podest ist mit lebensgroßen Puppen geschmückt, die so filigran ausgearbeitet sind, dass man sie für lebendige Personen halten könnte."
5,"TEXT_FESPDYPLAYERALTAR_00254_MAIDPDY2015_000_200","Der Herr des Hauses, in dem ich meinen Dienst verrichte, ist dabei, ein Projekt für das Prinzessinnenfest umzusetzen, tritt dabei jedoch auf der Stelle. Ich kann mir gut vorstellen, dass er die Hilfe <hex:020842E905FF1F>einer ehrenwerten Abenteurerin<hex:FF1E>eines ehrenwerten Abenteurers<hex:03> in Anspruch nehmen möchte."
6,"TEXT_FESPDYPLAYERALTAR_00254_MAIDPDY2015_000_201","<hex:020834E905FF18>Ehrenwerte Abenteurerin<hex:FF17>Ehrenwerter Abenteurer<hex:03>, wenn wir bei dem Aufbau der Puppendekoration auf Euren Beistand zählen könnten, wären wir Euch zutiefst verbunden."
7,"TEXT_FESPDYPLAYERALTAR_00254_MAIDPDY2015_000_202","Ich kann die Tränen der Freude und der Rührung gar nicht zurückhalten. Dieser Anblick, wie Nanapasi und Ninimo so vergnügt miteinander reden ... Schön, einfach nur schön. Du hast meinen aufrichtigen Dank, <hex:02081DE905FF0D>Abenteurerin<hex:FF0B>Abenteurer<hex:03>!"
