key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_HOUFURVASE_00336_Q1_000_000","In der Vase: <hex:022B13FF11><hex:02320DFF05>Item<hex:02E80202020203><hex:03>"
1,"TEXT_HOUFURVASE_00336_Q1_000_001","In der Vase: ---"
2,"TEXT_HOUFURVASE_00336_A1_000_002","Blumen in die Vase stellen"
3,"TEXT_HOUFURVASE_00336_A1_000_003","Blumen aus der Vase nehmen"
4,"TEXT_HOUFURVASE_00336_A1_000_004","Abbrechen"
5,"TEXT_HOUFURVASE_00336_Q2_000_000","<hex:022B13FF11><hex:02320DFF05>Item<hex:03E80202050203><hex:03> aus der Vase entfernen?<hex:02100103><hex:024804F201F403><hex:024904F201F503>※ <hex:022B13FF11><hex:02320DFF05>Item<hex:03E80202020203><hex:03> geht dabei verloren.<hex:0249020103><hex:0248020103>"
6,"TEXT_HOUFURVASE_00336_Q2_000_001","Ja"
7,"TEXT_HOUFURVASE_00336_Q2_000_002","Nein"
