key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_CTSERKEUREKA4STORYGEROLT_00548_GEROLT_000_000","Schön, dass du auch mal dem guten Onkel Gerolt einen Besuch abstattest. Der hat sich mal wieder für dich den Rücken krumm gemacht und sich tolle Sachen einfallen lassen. Wünschte, das würde mal jemand für mich machen!<hex:02100103>Aber bevor ich dir das Händchen halten kann, musst du noch mit Krile sprechen. Sie hat nach dir gefragt."
1,"TEXT_CTSERKEUREKA4STORYGEROLT_00548_GEROLT_000_010","Da bist du ja endlich. Ich hab mir mal wieder den Rücken krumm gemacht, um dir dein Leben zu erleichtern. Also spitz mal die Löffel, <hex:020817E905FF07>Madame<hex:FF0B>Freundchen<hex:03>, und hör gut zu!"
2,"TEXT_CTSERKEUREKA4STORYGEROLT_00548_GEROLT_000_011","Zunächst zum Logos-Manipulator. Wir haben die Phiolen verbessert, die die Erinnerungen speichern und konnten so die Anzahl der Mnemen, die du aufnehmen kannst, erhöhen. Sprich am besten mit dem Expeditions-Alchemisten. Er wird dich in alle Einzelheiten einweisen."
3,"TEXT_CTSERKEUREKA4STORYGEROLT_00548_GEROLT_000_012","Dann wäre da noch deine Magia-Tafel. Wir haben die Konstruktionspläne so modifiziert, dass sie nun einen siebten Maginiten aufnehmen kann. Unser Ingenieur kennt die Einzelheiten. "
4,"TEXT_CTSERKEUREKA4STORYGEROLT_00548_GEROLT_000_013","Und zu guter Letzt die Verstärkung deiner Waffe. Das fällt<hex:021D0103>- wie immer<hex:021D0103>- in meinen Zuständig<hex:02160103>keits<hex:02160103>bereich. Wenn du so weit bist und deinen Monsterhobel verbessern möchtest, sprich mich später noch mal an."
5,"TEXT_CTSERKEUREKA4STORYGEROLT_00548_GEROLT_100_013","Ah, einen Moment, wir brauchen meinen Lieblingsgesellen<hex:021D0103>..."
6,"TEXT_CTSERKEUREKA4STORYGEROLT_00548_GEROLT_110_013","Drake, tu deine Pflicht und erkläre <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203> diese Sache mit den Logos-Splittern!"
7,"TEXT_CTSERKEUREKA4STORYGEROLT_00548_DRAKE_120_013","Sei gegrüßt, <hex:02081DE905FF0D>Abenteurerin<hex:FF0B>Abenteurer<hex:03>. Die Sachlage ist schnell erklärt: Wir haben auf Eureka Hydatos neue Sorten von Logos-Splittern entdeckt."
8,"TEXT_CTSERKEUREKA4STORYGEROLT_00548_DRAKE_130_013","Wenn wir diese neuartigen Logos-Splitter miteinander kombinieren, sollten wir dazu in der Lage sein, bislang unbekannte Erinnerungen zu extrahieren. Falls du auf deinen Expeditionen diese neuen Logos-Splitter finden solltest, empfehle ich, sie in den Logos-Manipulator einzuspeisen und zu experimentieren. "
9,"TEXT_CTSERKEUREKA4STORYGEROLT_00548_GEROLT_000_014","Sieht so aus, als ob deine Expedition sich hier auch dem Ende entgegen neigt, was? Schätze, meine Arbeit hier hat sich halbwegs gelohnt. Jedenfalls bin ich der Rückzahlung meiner Schulden dank dir einen Schritt näher gekommen. Jetzt versag mir bloß nicht auf der Zielgraden, <hex:02081EE905FF0C>verstanden?<hex:FF0D>mein Freund.<hex:03>"
10,"TEXT_CTSERKEUREKA4STORYGEROLT_00548_DRAKE_100_014","Auch von meiner Seite wünsche ich eine gute Jagd, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>!"
11,"TEXT_CTSERKEUREKA4STORYGEROLT_00548_GEROLT_000_015","Also gut, damit hätten wir das hier abgehakt. Meine Esse wartet auf mich. Und auf dich wartet Krile, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>. Lass sie nicht zu lange ausharren<hex:021D0103>..."
12,"TEXT_CTSERKEUREKA4STORYGEROLT_00548_SYSTEM_100_015","Sobald du 56 unter<hex:02160103>schied<hex:02160103>liche Logos-Kommandos registriert hast, sprich erneut mit Drake am Zentralen Sammelpunkt von Hydatos, um neue Gegenstände freizuschalten."
13,"TEXT_CTSERKEUREKA4STORYGEROLT_00548_SYSTEM_150_015","Diese neuen Gegenstände sind erst erhältlich, sobald der Tausch von Elementar-Ausrüstung beim Expeditionshandwerker an der Nordkuppe freigeschaltet wurde."
14,"TEXT_CTSERKEUREKA4STORYGEROLT_00548_TALK_ACTOR","（★未使用／削除予定★）"
