key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_CTSOPN40KUGANEMINSTREL_00653_CFC_TO_INSTANCE_CONTENT","<hex:02281CFF17>ContentFinderCondition<hex:E8020403>"
1,"TEXT_CTSOPN40KUGANEMINSTREL_00653_Q1_000_001","Wovon erzählst du?"
2,"TEXT_CTSOPN40KUGANEMINSTREL_00653_MINSTREL_GREETING_000","Oh! <hex:022903EB0203>, <hex:02081DE905FF0D>die Garantin<hex:FF0B>der Garant<hex:03> immer neuer Legenden! Wie ist es dir in letzter Zeit ergangen? Ich hätte dringenden Bedarf an frischem Stoff für hehre Balladen."
3,"TEXT_CTSOPN40KUGANEMINSTREL_00653_MENU_CANCEL","Nichts."
4,"TEXT_CTSOPN40KUGANEMINSTREL_00653_MINSTREL_NOSELECT_000","Oh, aber selbst<hex:02160103>verständ<hex:02160103>lich, du hast natürlich Wichtigeres zu tun, als in der Ver<hex:02160103>gangen<hex:02160103>heit zu verweilen, so heldenhaft sie in deinem Fall auch sein mag. Gegenwart, Zukunft und all das - man hat schließlich zu tun, nicht wahr? Aber falls du einmal Zeit zum Plaudern hast - ich warte mit Spannung auf deine neuesten Abenteuergeschichten."
5,"TEXT_CTSOPN40KUGANEMINSTREL_00653_MINSTREL_NOCONTENT_000","... Ah, nein, das wäre unverschämt von mir. Du hast mir doch schon so viel Inspiration geschenkt. Ich schmücke einfach weiter deine kühnsten Heldentaten aus. Wenn ich nämlich die Balladen von dir zum Besten gebe, liegt mir das Publikum immer sofort zu Füßen."
6,"TEXT_CTSOPN40KUGANEMINSTREL_00653_SYSTEM_OPENCONTENT_000","（★未使用／削除予定★）"
7,"TEXT_CTSOPN40KUGANEMINSTREL_00653_WANDERINGMINSTREL_000_000","Lakshmi? Oho! Ich kann die Spannung schon jetzt kaum ertragen! Also, was hat sich zugetragen?"
8,"TEXT_CTSOPN40KUGANEMINSTREL_00653_WANDERINGMINSTREL_000_001","Was für eine tragische Geschichte. Selbst die Göttin konnte Shanti, der höchsten Qalyana, nicht helfen, ihre Tochter ins Leben zurückzuholen."
9,"TEXT_CTSOPN40KUGANEMINSTREL_00653_WANDERINGMINSTREL_000_002","Der Körper ist geheilt, doch leer und unbeseelt. Das war nicht die Tochter, die sie in so teurer Erinnerung hatte."
10,"TEXT_CTSOPN40KUGANEMINSTREL_00653_WANDERINGMINSTREL_000_003","Es wäre nicht richtig, ein so trauriges Schicksal dem Johlen des Publikums preiszugeben. Ich will vielmehr einige schlichte Verse ihrem Gedenken widmen."
11,"TEXT_CTSOPN40KUGANEMINSTREL_00653_WANDERINGMINSTREL_000_004","<hex:021A020203>♪ Eine Mutter fleht um das Leben des Kinds ♪<hex:021A020103><hex:02100103><hex:021A020203>♪ Bis die Göttin sich ihrer erbarmt ♪<hex:021A020103><hex:02100103><hex:021A020203>♪ Doch die Göttin, wie groß ihre Kräfte auch sind, ♪<hex:021A020103><hex:02100103><hex:021A020203>♪ Lässt die Mutter voll bitteren Grams. ♪<hex:021A020103>"
12,"TEXT_CTSOPN40KUGANEMINSTREL_00653_WANDERINGMINSTREL_000_005","<hex:021A020203>♪ Was die Mutter erflehte, war das Lächeln des Kinds ♪<hex:021A020103><hex:02100103><hex:021A020203>♪ Doch die Gnade der Göttin bringt Träume, nicht mehr ♪<hex:021A020103><hex:02100103><hex:021A020203>♪ Entfleucht ist die Seel' ohne Wiederkehr ♪<hex:021A020103><hex:02100103><hex:021A020203>♪ Und zerbrochen der Traum von Mutter und Kind. ♪<hex:021A020103>"
13,"TEXT_CTSOPN40KUGANEMINSTREL_00653_WANDERINGMINSTREL_000_006","Es tut mir leid, wenn dir mein Gedicht schmerzliche Erinnerungen wach<hex:02160103>gerufen haben sollte. Aber ich danke dir, dass du mir diese bewegende Geschichte erzählt hast."
14,"TEXT_CTSOPN40KUGANEMINSTREL_00653_WANDERINGMINSTREL_000_007","In manchen Begebenheiten steckt eine innere Tragik, die keine Phrasierung verdecken kann. Wer diesen Schmerz einmal spürte, kann ihn nie wieder vergessen. Und vielleicht sollten wir das auch nicht."
15,"TEXT_CTSOPN40KUGANEMINSTREL_00653_WANDERINGMINSTREL_000_008","Dennoch können wir dafür beten, dass unsere Wunden geheilt werden mögen - wir wollen das Erlebte in uns bewahren, doch es soll uns nicht mehr schmerzen. Ich hoffe wirklich, dass für Shanti dieser Tag bald kommt."
16,"TEXT_CTSOPN40KUGANEMINSTREL_00653_WANDERINGMINSTREL_000_020","Aah, das hört sich jetzt schon nach einer ganz außer<hex:02160103>ordent<hex:02160103>lichen Geschichte an. Also, was hat sich zugetragen?"
17,"TEXT_CTSOPN40KUGANEMINSTREL_00653_WANDERINGMINSTREL_000_021","Susano - was für eine imposante Gottheit! Mir schwebt da schon etwas vor ... Man könnte sogar ein Drama daraus machen! Stell dir vor, ein ganzer Trupp von Schaustellern auf einer großen Bühne! Und lauter Kojin im Publikum, das wäre köstlich!"
18,"TEXT_CTSOPN40KUGANEMINSTREL_00653_WANDERINGMINSTREL_000_022","Du sollst der erste Theatergast sein. Höre das Epos von Susano, dem unbändigen, wankel<hex:02160103>mütigen Gott der Kojin!"
19,"TEXT_CTSOPN40KUGANEMINSTREL_00653_WANDERINGMINSTREL_000_023","<hex:021A020203>♪ Wenn dreifacher Schatz sich vereinet ♪<hex:021A020103><hex:02100103><hex:021A020203>♪ Und unbändiger Gott erscheinet ♪<hex:021A020103><hex:02100103><hex:021A020203>♪ Wird das Meer des Ostens gespalten ♪<hex:021A020103><hex:02100103><hex:021A020203>♪ Von der Klinge des Gottes Gewalt. ♪<hex:021A020103>"
20,"TEXT_CTSOPN40KUGANEMINSTREL_00653_WANDERINGMINSTREL_000_024","<hex:021A020203>♪ Von Westen kam <hex:02081AE905FF0C>eine Heldin<hex:FF09>ein Held<hex:03> gereist ♪<hex:021A020103><hex:02100103><hex:021A020203>♪ Und tauchte mit tapf'ren Gefährten ♪<hex:021A020103><hex:02100103><hex:021A020203>♪ Tief hinab zu dem Gott - und ihr Schwert ergleißt - ♪<hex:021A020103><hex:02100103><hex:021A020203>♪ Wo sie dem rasenden Kampfrausch des Gottes wehrten. ♪<hex:021A020103>"
21,"TEXT_CTSOPN40KUGANEMINSTREL_00653_WANDERINGMINSTREL_000_025","Habe ich die Wildheit des Kojin-Gottes glaubhaft wiedergegeben? Versetz dich noch einmal zurück in deinen Kampf gegen ihn<hex:021D0103>... Nun?"
22,"TEXT_CTSOPN40KUGANEMINSTREL_00653_WANDERINGMINSTREL_000_026","Wie? Er war in meiner Ballade noch wilder als bei eurer tatsächlichen Begegnung? Fabelhaft! Ausgezeichnet! So muss es klingen, wenn man das Publikum fesseln will!"
23,"TEXT_CTSOPN40KUGANEMINSTREL_00653_WANDERINGMINSTREL_000_027","Die Leute werden klatschen und jubeln und trampeln vor Begeisterung! Ich sehe es schon vor mir!"
