key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_FESANV2025GUIDE_00926_TALK_ACTOR","（★未使用／削除予定★）"
1,"TEXT_FESANV2025GUIDE_00926_NEWBORNINTERN_000_000","Der Ver<hex:02160103>gangen<hex:02160103>heit gedenken, die Gegenwart feiern und für die Zukunft beten<hex:021D0103>- das Fest der Wiedergeburt Eorzeas ist ein besinnliches und heiteres Fest zugleich. Dieses Jahr steht außerdem als Höhepunkt ein prunkvolles Feuerwerk auf dem Programm. Doch wie kann ich Euch helfen, Abenteurer<hex:020809E905FF03>in<hex:FF01><hex:03>?"
2,"TEXT_FESANV2025GUIDE_00926_NEWBORNINTERN_000_010","Beim Fest der Wiedergeburt gedenken wir der Opfer der Siebten Katastrophe und danken den Abenteurern, die damals im fahlen Licht Dalamuds tapfer für unsere Freiheit kämpften."
3,"TEXT_FESANV2025GUIDE_00926_NEWBORNINTERN_000_011","Dabei wird die Stadt von unzähligen Kristallen geschmückt, und die Nacht ist erfüllt von einer geradezu traumhaften Atmosphäre, die das Herz mit Ruhe erfüllt und dazu einlädt, über die Ver<hex:02160103>gangen<hex:02160103>heit und die Zukunft nachzudenken."
4,"TEXT_FESANV2025GUIDE_00926_NEWBORNINTERN_000_013","In Limsa Lominsa gibt es außerdem ein Spektakel aus leuchtenden Farben am Nachthimmel zu bewundern, das man sich keinesfalls entgehen lassen sollte."
5,"TEXT_FESANV2025GUIDE_00926_Q1_000_001","（★未使用／削除予定★）"
6,"TEXT_FESANV2025GUIDE_00926_A1_000_001","（★未使用／削除予定★）"
7,"TEXT_FESANV2025GUIDE_00926_A1_000_002","（★未使用／削除予定★）"
8,"TEXT_FESANV2025GUIDE_00926_NEWBORNINTERN_000_012","（★未使用／削除予定★）"
