key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_CLSWDK003_00141_SEQ_00","Beatin macht sich Sorgen um eine Zimmerin in Not."
1,"TEXT_CLSWDK003_00141_SEQ_01","Beatin hat dich gebeten, mit Mera Pamera zu sprechen. Also sprich mit ihr und finde heraus, was ihr Problem ist."
2,"TEXT_CLSWDK003_00141_SEQ_02","Mera Pamera ist wegen zu vieler Aufgaben überfordert. Da sie mit einer Aufgabe von Beatin voll ausgelastet ist, bittet sie dich, <hex:02320EFF05>Item<hex:02F2076702050203> für die Gilde der Waldläufer und <hex:02320EFF05>Item<hex:02F2071F02050203> für die Gilde der Pikeniere anzufertigen und die Waren bei den Gilden abzuliefern."
3,"TEXT_CLSWDK003_00141_SEQ_03","Du hast die Waren abgeliefert und deine Kollegin vor einem schlimmen Schicksal bewahrt. Gehe nun zu Beatin und erstatte Bericht."
4,"TEXT_CLSWDK003_00141_SEQ_04","Beatin durchschaut sofort, dass du Mera Pamera die Arbeit abgenommen hast. Allerdings scheint er mehr als zufrieden mit dir zu sein. Wie sich herausstellt, war das Ganze ein Test deines Charakters, den du mit Bravour bestanden hast. Du bist nun ein vollwertiges Mitglied der Zimmerergilde.<hex:02100103><hex:02100103>※ Sobald du als Zimmer<hex:02080BE905FF03>in<hex:FF03>er<hex:03> Stufe 20 erreicht hast, kannst du bei Beatin einen neuen Auftrag erhalten."
5,"TEXT_CLSWDK003_00141_SEQ_05",""
6,"TEXT_CLSWDK003_00141_SEQ_06",""
7,"TEXT_CLSWDK003_00141_SEQ_07",""
8,"TEXT_CLSWDK003_00141_SEQ_08",""
9,"TEXT_CLSWDK003_00141_SEQ_09",""
10,"TEXT_CLSWDK003_00141_SEQ_10",""
11,"TEXT_CLSWDK003_00141_SEQ_11",""
12,"TEXT_CLSWDK003_00141_SEQ_12",""
13,"TEXT_CLSWDK003_00141_SEQ_13",""
14,"TEXT_CLSWDK003_00141_SEQ_14",""
15,"TEXT_CLSWDK003_00141_SEQ_15",""
16,"TEXT_CLSWDK003_00141_SEQ_16",""
17,"TEXT_CLSWDK003_00141_SEQ_17",""
18,"TEXT_CLSWDK003_00141_SEQ_18",""
19,"TEXT_CLSWDK003_00141_SEQ_19",""
20,"TEXT_CLSWDK003_00141_SEQ_20",""
21,"TEXT_CLSWDK003_00141_SEQ_21",""
22,"TEXT_CLSWDK003_00141_SEQ_22",""
23,"TEXT_CLSWDK003_00141_SEQ_23",""
24,"TEXT_CLSWDK003_00141_TODO_00","Mit Mera Pamera sprechen"
25,"TEXT_CLSWDK003_00141_TODO_01","<hex:022B14FF12><hex:02320EFF05>Item<hex:06F2071F02050203><hex:03> bei Ywain abliefern"
26,"TEXT_CLSWDK003_00141_TODO_02","<hex:022B14FF12><hex:02320EFF05>Item<hex:06F2076702050203><hex:03> bei Luciane abliefern"
27,"TEXT_CLSWDK003_00141_TODO_03","Beatin Bericht erstatten"
28,"TEXT_CLSWDK003_00141_TODO_04",""
29,"TEXT_CLSWDK003_00141_TODO_05",""
30,"TEXT_CLSWDK003_00141_TODO_06",""
31,"TEXT_CLSWDK003_00141_TODO_07",""
32,"TEXT_CLSWDK003_00141_TODO_08",""
33,"TEXT_CLSWDK003_00141_TODO_09",""
34,"TEXT_CLSWDK003_00141_TODO_10",""
35,"TEXT_CLSWDK003_00141_TODO_11",""
36,"TEXT_CLSWDK003_00141_TODO_12",""
37,"TEXT_CLSWDK003_00141_TODO_13",""
38,"TEXT_CLSWDK003_00141_TODO_14",""
39,"TEXT_CLSWDK003_00141_TODO_15",""
40,"TEXT_CLSWDK003_00141_TODO_16",""
41,"TEXT_CLSWDK003_00141_TODO_17",""
42,"TEXT_CLSWDK003_00141_TODO_18",""
43,"TEXT_CLSWDK003_00141_TODO_19",""
44,"TEXT_CLSWDK003_00141_TODO_20",""
45,"TEXT_CLSWDK003_00141_TODO_21",""
46,"TEXT_CLSWDK003_00141_TODO_22",""
47,"TEXT_CLSWDK003_00141_TODO_23",""
48,"TEXT_CLSWDK003_00141_BEATINE_000_1","Schön, dich zu sehen, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>. Dein Training als <hex:020817E905FF09>Zimmerin<hex:FF09>Zimmerer<hex:03> ist fast abgeschlossen. Ich habe noch einen wundervollen letzten Test für dich vorbereitet ..."
49,"TEXT_CLSWDK003_00141_BEATINE_000_2","... für den wir leider keine Zeit haben.<hex:02100103>Heute möchte ich dich gerne um etwas anderes bitten."
50,"TEXT_CLSWDK003_00141_BEATINE_000_3","Mera Pamera, eine Abenteurerin, die sich vor kurzem unserer Gilde angeschlossen hat, scheint in großen Schwie<hex:02160103>rig<hex:02160103>keiten zu stecken."
51,"TEXT_CLSWDK003_00141_BEATINE_000_4","Allerdings will sie mit mir nicht über ihre persönlichen An<hex:02160103>ge<hex:02160103>legen<hex:02160103>heiten sprechen."
52,"TEXT_CLSWDK003_00141_BEATINE_000_5","Vielleicht hast du ja mehr Glück. <hex:020839E905FF1B>Einer anderen Abenteurerin<hex:FF19>Einem anderen Abenteurer<hex:03> gegenüber wird sie sich vielleicht eher öffnen."
53,"TEXT_CLSWDK003_00141_BEATINE_000_6","Nun geh, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>. Hör dir an, was die Ärmste zu sagen hat."
54,"TEXT_CLSWDK003_00141_MERAPAMERA_000_10","Ach herrjemine ..."
55,"TEXT_CLSWDK003_00141_MERAPAMERA_000_11","D-Du! Du musst mir helfen!"
56,"TEXT_CLSWDK003_00141_MERAPAMERA_000_12","Du kannst <hex:02320EFF05>Item<hex:02F2071F02050203> und <hex:02320EFF05>Item<hex:02F2076702050203> anfertigen, ja?!"
57,"TEXT_CLSWDK003_00141_MERAPAMERA_000_13","Ich hatte in letzter Zeit so viel um die Ohren, dass ich einen Auftrag von den Waldläufern und den Pikenieren komplett vergessen habe ..."
58,"TEXT_CLSWDK003_00141_MERAPAMERA_000_14","Aber für die Zimmerergilde soll ich heute noch 100 Scheite Eichenholz glatt hobeln!"
59,"TEXT_CLSWDK003_00141_MERAPAMERA_000_15","Findest du nicht auch, dass Beatin gemeingefährlich ist? Wenn ich die Aufgabe heute nicht fertig bekomme, dann bekomme ich seine Säge zu spüren! Das hat er mir wirklich angedroht."
60,"TEXT_CLSWDK003_00141_MERAPAMERA_000_16","Ich bitte dich! Kannst du mir nicht die Waren für die anderen Gilden anfertigen, während ich meine Aufgabe erfülle?"
61,"TEXT_CLSWDK003_00141_MERAPAMERA_000_17","Sobald du beides fertig hast, musst du die Waren auch noch bei den Leitern der beiden Gilden abliefern. Du bist meine einzige Hoffnung!"
62,"TEXT_CLSWDK003_00141_YWAIN_000_20","Willkommen, <hex:02081DE905FF0D>Abenteurerin<hex:FF0B>Abenteurer<hex:03>. Du scheinst mir nicht gekommen zu sein, um bei uns etwas zu lernen."
