key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_MANFST503_00524_SEQ_00","Raubahn will dir noch einige Worte mit auf den Weg geben, bevor du dich zur Wartungsstation mit der Ultima-Waffe vorarbeitest."
1,"TEXT_MANFST503_00524_SEQ_01","<hex:024804F2021503><hex:024904F2021603><hex:0212024003> Dieser Auftrag wurde inhaltlich geändert. Um den Auftrag wie vorgesehen zu spielen, ist es erforderlich, ihn abzubrechen und bei Raubahn in Raubahns Trutz neu anzunehmen.<hex:0249020103><hex:0248020103><hex:02100103>※ Der nächste Auftrag des Hauptszenarios wird auch im Szenarioführer angezeigt. Er kann in den UI-Einstellungen (Hauptmenü → Charakter<hex:02160103>konfiguration) ein- und ausgeschaltet werden."
2,"TEXT_MANFST503_00524_SEQ_02","Du konntest tatsächlich in das Castrum eindringen. Sichere nun den Kernbereich, das „Praetorium“!<hex:02100103><hex:02100103>※ Die Mission kann über die Inhaltssuche begonnen werden."
3,"TEXT_MANFST503_00524_SEQ_03","Du hast Gaius' Traum zerstört und Eorzea gerettet! Ein riesengroßer Schritt für die Bevölkerung dieser bedrängten Welt - auf in die strahlende, friedvolle Siebte Ära des Lichts!<hex:02100103>Doch in dieser frohen Stunde erreicht euch eine Schreckensbotschaft: Ein neuer Primae ist erschienen ...! "
4,"TEXT_MANFST503_00524_SEQ_04","Sprich mit Minfilia im Sonnenwind."
5,"TEXT_MANFST503_00524_SEQ_05","Die Ätherwellenmuster des neu aufgetauchten Primae ähneln denen, die vor fünf Jahren gemessen wurden - bei der Siebten Katastrophe. Der dauerhafte Friede, den sich die Völker dieser Welt so dringend wünschen, liegt also noch in weiter Ferne.<hex:02100103>Doch wie Hydaelyn dir offenbarte - <hex:021A020203>dein<hex:021A020103> Licht wird Eorzeas Zukunft gestalten."
6,"TEXT_MANFST503_00524_SEQ_06",""
7,"TEXT_MANFST503_00524_SEQ_07",""
8,"TEXT_MANFST503_00524_SEQ_08",""
9,"TEXT_MANFST503_00524_SEQ_09",""
10,"TEXT_MANFST503_00524_SEQ_10",""
11,"TEXT_MANFST503_00524_SEQ_11",""
12,"TEXT_MANFST503_00524_SEQ_12",""
13,"TEXT_MANFST503_00524_SEQ_13",""
14,"TEXT_MANFST503_00524_SEQ_14",""
15,"TEXT_MANFST503_00524_SEQ_15",""
16,"TEXT_MANFST503_00524_SEQ_16",""
17,"TEXT_MANFST503_00524_SEQ_17",""
18,"TEXT_MANFST503_00524_SEQ_18",""
19,"TEXT_MANFST503_00524_SEQ_19",""
20,"TEXT_MANFST503_00524_SEQ_20",""
21,"TEXT_MANFST503_00524_SEQ_21",""
22,"TEXT_MANFST503_00524_SEQ_22",""
23,"TEXT_MANFST503_00524_SEQ_23",""
24,"TEXT_MANFST503_00524_TODO_00","<hex:024804F2021503><hex:024904F2021603><hex:0212024003> Dieser Auftrag wurde inhaltlich geändert. Um den Auftrag wie vorgesehen zu spielen, ist es erforderlich, ihn abzubrechen und bei Raubahn in Raubahns Trutz neu anzunehmen.<hex:0249020103><hex:0248020103><hex:02100103>"
25,"TEXT_MANFST503_00524_TODO_01","<hex:024804F2021503><hex:024904F2021603><hex:0212024003> Dieser Auftrag wurde inhaltlich geändert. Um den Auftrag wie vorgesehen zu spielen, ist es erforderlich, ihn abzubrechen und bei Raubahn in Raubahns Trutz neu anzunehmen.<hex:0249020103><hex:0248020103><hex:02100103>"
26,"TEXT_MANFST503_00524_TODO_02","<hex:024804F2021503><hex:024904F2021603><hex:0212024003> Dieser Auftrag wurde inhaltlich geändert. Um den Auftrag wie vorgesehen zu spielen, ist es erforderlich, ihn abzubrechen und bei Raubahn in Raubahns Trutz neu anzunehmen.<hex:0249020103><hex:0248020103><hex:02100103>"
27,"TEXT_MANFST503_00524_TODO_03","<hex:024804F2021503><hex:024904F2021603><hex:0212024003> Dieser Auftrag wurde inhaltlich geändert. Um den Auftrag wie vorgesehen zu spielen, ist es erforderlich, ihn abzubrechen und bei Raubahn in Raubahns Trutz neu anzunehmen.<hex:0249020103><hex:0248020103><hex:02100103>"
28,"TEXT_MANFST503_00524_TODO_04",""
29,"TEXT_MANFST503_00524_TODO_05",""
30,"TEXT_MANFST503_00524_TODO_06",""
31,"TEXT_MANFST503_00524_TODO_07",""
32,"TEXT_MANFST503_00524_TODO_08",""
33,"TEXT_MANFST503_00524_TODO_09",""
34,"TEXT_MANFST503_00524_TODO_10",""
35,"TEXT_MANFST503_00524_TODO_11",""
36,"TEXT_MANFST503_00524_TODO_12",""
37,"TEXT_MANFST503_00524_TODO_13",""
38,"TEXT_MANFST503_00524_TODO_14",""
39,"TEXT_MANFST503_00524_TODO_15",""
40,"TEXT_MANFST503_00524_TODO_16",""
41,"TEXT_MANFST503_00524_TODO_17",""
42,"TEXT_MANFST503_00524_TODO_18",""
43,"TEXT_MANFST503_00524_TODO_19",""
44,"TEXT_MANFST503_00524_TODO_20",""
45,"TEXT_MANFST503_00524_TODO_21",""
46,"TEXT_MANFST503_00524_TODO_22",""
47,"TEXT_MANFST503_00524_TODO_23",""
48,"TEXT_MANFST503_00524_RAUBAHN_000_000","Ausgezeichnet gemacht, <hex:022903EB0203>. Du bist wirklich <hex:020826E905FF12>eine Abenteurerin<hex:FF0F>ein Abenteurer<hex:03> von überragender Stärke und großem Geschick."
49,"TEXT_MANFST503_00524_RAUBAHN_000_001","Aber den letzten Kampf, der uns nun bevorsteht, darfst du deswegen nicht auf die leichte Schulter nehmen und vom Erfolg deiner Mission hängt das Ergebnis der gesamten Operation ab."
50,"TEXT_MANFST503_00524_RAUBAHN_000_002","Eorzea liegt in deinen Händen, das ist wahr. Aber lass dich nicht zu leichtsinnigen Aktionen hinreißen, verstanden? Es wird schlimmer kommen, als du dir jetzt ausmalst."
51,"TEXT_MANFST503_00524_RAUBAHN_000_003","Nun, wir haben eine Mission zu erfüllen, Abenteurer<hex:020809E905FF03>in<hex:FF01><hex:03>! Die Männer von den Gar<hex:02160103>lond-Me<hex:02160103>tall<hex:02160103>wer<hex:02160103>ken haben die <hex:021A020203>Enterprise<hex:021A020103> schon startklar gemacht. Sprich mit Cid an der Erdseim-Fabrik, sobald du bereit bist. Möge Rhalgr dir die Stärke geben, die du brauchst."
52,"TEXT_MANFST503_00524_CID_000_010","Ja, die <hex:021A020203>Enterprise<hex:021A020103> ist bereit zum Abflug. Du hast das Kommando, <hex:022903EB0203> - ein Wort von dir, und wir sind über den Wolken."
53,"TEXT_MANFST503_00524_CID_000_011","Wenn wir die Ultima-Waffe zerstören, nehmen wir Garlemald die entscheidende Trumpfkarte. "
54,"TEXT_MANFST503_00524_CID_000_012","Los geht's, <hex:022903EB0203>, befreien wir Eorzea von dieser Geißel!"
55,"TEXT_MANFST503_00524_CID_000_015","Die <hex:021A020203>Enterprise<hex:021A020103> ist startklar. Sag Bescheid, wenn's losgehen kann."
