key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_JOBNIN001_01579_SEQ_00","Grobschmied Gerolt vom Mühlenhain scheint sehr beschäftigt."
1,"TEXT_JOBNIN001_01579_SEQ_01","Gerolt hat dich gebeten, zum Sapsa-Laichplatz im westlichen La Noscea zu gehen. Untersuche dort <hex:02320FFF05>EObj<hex:03F61E93EF02050203> und hole <hex:023214FF0A>EventItem<hex:03F61E8A2B02050203>."
2,"TEXT_JOBNIN001_01579_SEQ_02","Bring <hex:023214FF0A>EventItem<hex:03F61E8A2B02050203> zu Gerolt in Mühlenhain im Nordwald."
3,"TEXT_JOBNIN001_01579_SEQ_03","Gerolt hat dich gebeten, <hex:02320EFF05>Item<hex:02F2240802050203> mit zwei <hex:02320EFF05>Item<hex:06F2162203040203> herzustellen."
4,"TEXT_JOBNIN001_01579_SEQ_04","Gewinne den freigeschalteten „Kampf gegen die Dhorme-Chimära“ und erbeute <hex:023214FF0A>EventItem<hex:02F61E8A2C02050203>.<hex:02100103><hex:02100103>※ Der „Kampf gegen die Dhorme-Chimära“ kann über die Inhaltssuche gestartet werden.<hex:02100103>※ Du musst diesen Inhalt als Ninja bestreiten."
5,"TEXT_JOBNIN001_01579_SEQ_05","Bring <hex:023214FF0A>EventItem<hex:03F61E8A2C02050203> zu Gerolt in Mühlenhain im Nordwald."
6,"TEXT_JOBNIN001_01579_SEQ_06","Sprich mit Rowena in Geisterzoll in Mor Dhona."
7,"TEXT_JOBNIN001_01579_SEQ_07","Gehe in den Südwald und finde in den Ruinen von Amdapor <hex:023214FF0A>EventItem<hex:02F61E8A2D02050203>.<hex:02100103><hex:02100103>※ Die Ruinen von Amdapor können über die Inhaltssuche betreten werden.<hex:02100103>※ Du musst diesen Inhalt als Ninja bestreiten."
8,"TEXT_JOBNIN001_01579_SEQ_08","Bring <hex:023214FF0A>EventItem<hex:03F61E8A2D02050203> zu Rowena in Geisterzoll in Mor Dhona."
9,"TEXT_JOBNIN001_01579_SEQ_09","Bring Gerolt in Mühlenhain im Nordwald <hex:023214FF0A>EventItem<hex:03F61E8A2E02050203>."
10,"TEXT_JOBNIN001_01579_SEQ_10","Lege <hex:02320EFF05>Item<hex:03F21ECF02050203> an und erlege auf dem Sapsa-Laichplatz im westlichen La Noscea acht <hex:023212FF09>BNpcName<hex:06F2072503050203>, acht <hex:023212FF09>BNpcName<hex:06F2072403050203> und acht <hex:023212FF09>BNpcName<hex:06F2072303050203>."
11,"TEXT_JOBNIN001_01579_SEQ_11","Berichte Gerolt in Mühlenhain im Nordwald von deinem Erfolg bei der Monsterjagd."
12,"TEXT_JOBNIN001_01579_SEQ_12","Lege <hex:02320EFF05>Item<hex:03F21ECF02050203> an und bestreite den freigeschalteten „Kampf gegen die Hydra“.<hex:02100103><hex:02100103>※ Der „Kampf gegen die Hydra“ kann über die Inhaltssuche gestartet werden."
13,"TEXT_JOBNIN001_01579_SEQ_13","Kehre nach Mühlenhain im Nordwald zurück und berichte Gerolt von deinem Erfolg."
14,"TEXT_JOBNIN001_01579_SEQ_14","Gib Gerolt <hex:02320EFF05>Item<hex:03F21ECF02050203>."
15,"TEXT_JOBNIN001_01579_SEQ_15","Nimm an „Götterdämmerung - Ifrit“ teil und nimm dem Primae Ifrit <hex:023214FF0A>EventItem<hex:02F61E8A2F02050203> ab.<hex:02100103><hex:02100103>※ Der Kampf kann über die Inhaltssuche begonnen werden.<hex:02100103>※ Du musst diesen Inhalt als Ninja bestreiten."
16,"TEXT_JOBNIN001_01579_SEQ_16","Nimm an „Götterdämmerung - Garuda“ teil und nimm dem Primae Garuda <hex:023214FF0A>EventItem<hex:02F61E8A3002050203> ab.<hex:02100103><hex:02100103>※ Der Kampf kann über die Inhaltssuche begonnen werden.<hex:02100103>※ Du musst diesen Inhalt als Ninja bestreiten."
17,"TEXT_JOBNIN001_01579_SEQ_17","Nimm an „Götterdämmerung - Titan“ teil und nimm dem Primae Titan <hex:023214FF0A>EventItem<hex:02F61E8A3102050203> ab.<hex:02100103><hex:02100103>※ Der Kampf kann über die Inhaltssuche begonnen werden.<hex:02100103>※ Du musst diesen Inhalt als Ninja bestreiten."
18,"TEXT_JOBNIN001_01579_SEQ_18","Kehre nach Mühlenhain im Nordwald zurück und gib Gerolt <hex:023214FF0A>EventItem<hex:03F61E8A2F02050203>, <hex:023214FF0A>EventItem<hex:03F61E8A3002050203> und <hex:023214FF0A>EventItem<hex:03F61E8A3102050203>."
19,"TEXT_JOBNIN001_01579_SEQ_19","Gib Gerolt <hex:02320EFF05>Item<hex:03F2187B02050203>."
20,"TEXT_JOBNIN001_01579_SEQ_20","Gerolt hat sich von deinen Leistungen inspirieren lassen und endlich <hex:02320EFF05>Item<hex:03F21ED002050203> fertiggestellt!"
21,"TEXT_JOBNIN001_01579_SEQ_21",""
22,"TEXT_JOBNIN001_01579_SEQ_22",""
23,"TEXT_JOBNIN001_01579_SEQ_23",""
24,"TEXT_JOBNIN001_01579_TODO_00","<hex:02320FFF05>EObj<hex:06F61E93EF02050203> untersuchen und <hex:023214FF0A>EventItem<hex:03F61E8A2B02050203> aufnehmen"
25,"TEXT_JOBNIN001_01579_TODO_01","Gerolt <hex:023214FF0A>EventItem<hex:03F61E8A2B02050203> geben"
26,"TEXT_JOBNIN001_01579_TODO_02","Gerolt <hex:02320EFF05>Item<hex:03F2240802050203> mit Materia geben"
27,"TEXT_JOBNIN001_01579_TODO_03","Als Ninja den „Kampf gegen die Dhorme-Chimära“ gewinnen"
28,"TEXT_JOBNIN001_01579_TODO_04","Gerolt <hex:023214FF0A>EventItem<hex:03F61E8A2C02050203> bringen"
29,"TEXT_JOBNIN001_01579_TODO_05","Mit Rowena sprechen"
30,"TEXT_JOBNIN001_01579_TODO_06","<hex:023214FF0A>EventItem<hex:06F61E8A2D02050203> in den Ruinen von Amdapor finden"
31,"TEXT_JOBNIN001_01579_TODO_07","Rowena <hex:023214FF0A>EventItem<hex:03F61E8A2D02050203> bringen"
32,"TEXT_JOBNIN001_01579_TODO_08","Gerolt <hex:023214FF0A>EventItem<hex:03F61E8A2E02050203> geben"
33,"TEXT_JOBNIN001_01579_TODO_09","<hex:022B14FF12><hex:02320EFF05>Item<hex:03F21ECF02050203><hex:03> anlegen und <hex:023212FF09>BNpcName<hex:06F2072503050203> besiegen"
34,"TEXT_JOBNIN001_01579_TODO_10","<hex:022B14FF12><hex:02320EFF05>Item<hex:03F21ECF02050203><hex:03> anlegen und <hex:023212FF09>BNpcName<hex:06F2072403050203> besiegen"
35,"TEXT_JOBNIN001_01579_TODO_11","<hex:022B14FF12><hex:02320EFF05>Item<hex:03F21ECF02050203><hex:03> anlegen und <hex:023212FF09>BNpcName<hex:06F2072603050203> besiegen"
36,"TEXT_JOBNIN001_01579_TODO_12","Mit Gerolt sprechen"
