key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_JOBDRK500_02058_SEQ_00","Fray wartet mit stoischer Ruhe auf dich."
1,"TEXT_JOBDRK500_02058_SEQ_01","Fray verhält sich immer eigenartiger. Er spricht davon, mit dir auf Reisen gehen zu wollen. Er möchte, dass du am Tor des Urteils seinen Namen rufst.<hex:02100103>Stelle den Chatmodus auf „Sagen“ und gib am Zielort in der Nähe des Tors des Urteils einen beliebigen Satz ein, der das Wort „Fray“ enthält. Achte auf die Großschreibung!"
2,"TEXT_JOBDRK500_02058_SEQ_02","Du rufst Fray, doch es erscheinen Ritter des Hauses Durendaire, und sie bitten dich, wieder mal, um Hilfe. Es handelt sich um Gigas ... Begib dich zum Daniffen-Pass und sieh, wie du helfen kannst."
3,"TEXT_JOBDRK500_02058_SEQ_03","Die Ritter möchten, dass du am <hex:02320FFF05>EObj<hex:06F61E9D2202040203> wartest und <hex:023212FF09>BNpcName<hex:03F2101A02050203> und seine Leibwachen besiegst. Im Klartext: Du sollst ihre Arbeit erledigen. Aber du bist ja nichts anderes gewohnt."
4,"TEXT_JOBDRK500_02058_SEQ_04","Du hast <hex:023212FF09>BNpcName<hex:03F2101A02050203> bezwungen. Kehre nun zu den Rittern am Daniffen-Pass zurück."
5,"TEXT_JOBDRK500_02058_SEQ_05","Gerade als sich der Ritter bei dir für deine Hilfe bedankt, kommt ein aufgeregter Bote angerannt. Hör dir an, was er zu sagen hat."
6,"TEXT_JOBDRK500_02058_SEQ_06","Du wurdest auf Geheiß von Baron Drillemont zur Weißenfels-Front gebracht, weil ein Vorwurf der Häresie im Raum stand. Dort angekommen, trug sich eine eigentümliche Szene zu. Du sahst, wie Fray die Durendaire-Ritter angriff, und hast dich ihm gestellt - und dabei eine erschütternde Entdeckung gemacht: Fray ist du, du bist Fray - du hast ihn erschaffen, als du seinen Kristall berührtest. Mithilfe seiner im Kristall gespeicherten Erinnerungen hast du dich selbst zum Dunkelritter ausgebildet und deine finstersten Gefühle auf ihn übertragen. Die Schmerzen und das Leid, die sich in deiner Zeit als Held<hex:020809E905FF03>in<hex:FF01><hex:03> in dir angestaut haben, fanden in Fray Ausdruck. Sprich noch einmal mit dem tüchtigen Tempelritter."
7,"TEXT_JOBDRK500_02058_SEQ_07","Zum Glück ist keiner der Ritter, die du als Fray angegriffen hast, ernsthaft verletzt. Baron Drillemont scheint dir vergeben zu haben. Trotzdem wirst du diese Erfahrung so schnell nicht vergessen.<hex:02100103><hex:02100103>※ Die Auftragsreihe wird bei dem Tempelritter an der Weißenfels-Front fortgesetzt, wenn die folgenden Voraus<hex:02160103>setzungen erfüllt sind:<hex:02100103>1. Die Erweiterung „Heavensward“ ist installiert.<hex:02100103>2. Der Auftrag des Hauptszenarios „Nach dem Fall“ ist abgeschlossen."
8,"TEXT_JOBDRK500_02058_SEQ_08",""
9,"TEXT_JOBDRK500_02058_SEQ_09",""
10,"TEXT_JOBDRK500_02058_SEQ_10",""
11,"TEXT_JOBDRK500_02058_SEQ_11",""
12,"TEXT_JOBDRK500_02058_SEQ_12",""
13,"TEXT_JOBDRK500_02058_SEQ_13",""
14,"TEXT_JOBDRK500_02058_SEQ_14",""
15,"TEXT_JOBDRK500_02058_SEQ_15",""
16,"TEXT_JOBDRK500_02058_SEQ_16",""
17,"TEXT_JOBDRK500_02058_SEQ_17",""
18,"TEXT_JOBDRK500_02058_SEQ_18",""
19,"TEXT_JOBDRK500_02058_SEQ_19",""
20,"TEXT_JOBDRK500_02058_SEQ_20",""
21,"TEXT_JOBDRK500_02058_SEQ_21",""
22,"TEXT_JOBDRK500_02058_SEQ_22",""
23,"TEXT_JOBDRK500_02058_SEQ_23",""
24,"TEXT_JOBDRK500_02058_TODO_00","Am Tor des Urteils nach Fray rufen"
25,"TEXT_JOBDRK500_02058_TODO_01","Dem wackeren Ritter folgen"
26,"TEXT_JOBDRK500_02058_TODO_02","<hex:022B18FF16><hex:023212FF09>BNpcName<hex:03F2101A02050203><hex:03> und seine Leibwachen besiegen"
27,"TEXT_JOBDRK500_02058_TODO_03","Zum wackeren Ritter zurückkehren"
28,"TEXT_JOBDRK500_02058_TODO_04","Mit dem tüchtigen Ritter sprechen"
29,"TEXT_JOBDRK500_02058_TODO_05","Mit dem tüchtigen Ritter sprechen"
30,"TEXT_JOBDRK500_02058_TODO_06",""
31,"TEXT_JOBDRK500_02058_TODO_07",""
32,"TEXT_JOBDRK500_02058_TODO_08",""
33,"TEXT_JOBDRK500_02058_TODO_09",""
34,"TEXT_JOBDRK500_02058_TODO_10",""
35,"TEXT_JOBDRK500_02058_TODO_11",""
36,"TEXT_JOBDRK500_02058_TODO_12",""
37,"TEXT_JOBDRK500_02058_TODO_13",""
38,"TEXT_JOBDRK500_02058_TODO_14",""
39,"TEXT_JOBDRK500_02058_TODO_15",""
40,"TEXT_JOBDRK500_02058_TODO_16",""
41,"TEXT_JOBDRK500_02058_TODO_17",""
42,"TEXT_JOBDRK500_02058_TODO_18",""
43,"TEXT_JOBDRK500_02058_TODO_19",""
44,"TEXT_JOBDRK500_02058_TODO_20",""
45,"TEXT_JOBDRK500_02058_TODO_21",""
46,"TEXT_JOBDRK500_02058_TODO_22",""
47,"TEXT_JOBDRK500_02058_TODO_23",""
48,"TEXT_JOBDRK500_02058_FRAY_000_000","<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203> ... Da bist du wieder. Ich habe dich schon erwartet."
49,"TEXT_JOBDRK500_02058_FRAY_000_001","... Uff ... Uns bleibt nicht viel Zeit. Wir müssen bald wieder auf Reisen gehen ... Sonst ist es zu spät."
50,"TEXT_JOBDRK500_02058_FRAY_000_002","Zu spät für dich ... Du verstehst es noch nicht, aber ich will dir helfen. Ich bekomme Zweifel, ob du wirklich bereit bist ... Aber wir werden sehen."
51,"TEXT_JOBDRK500_02058_FRAY_000_003","Wir treffen uns vor dem Tor des Urteils. Ruf meinen Namen, dann werde ich kommen."
52,"TEXT_JOBDRK500_02058_SYSTEM_000_004","Fray hat dich gebeten, ihn am Tor des Urteils im zentralen Hochland von Coerthas zu rufen."
53,"TEXT_JOBDRK500_02058_SYSTEM_000_005","Stelle den Chatmodus auf „Sagen“ und gib am Zielort einen beliebigen Satz ein, der das Wort „Fray“ enthält. Achte auf die Großschreibung!"
54,"TEXT_JOBDRK500_02058_SYSTEM_000_006","Stelle den Chatmodus auf „Sagen“ und gib am Zielort einen beliebigen Satz ein, der das Wort „Fray“ enthält. Achte auf die Großschreibung!"
55,"TEXT_JOBDRK500_02058_SAY_000_000","Fray"
