key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_BANMOG303_02300_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03> Schwierigkeitsanpassung<hex:0249020103><hex:0248020103><hex:02100103>Mogek Schlaubommel hat dich schon gesucht!"
1,"TEXT_BANMOG303_02300_SEQ_01","<hex:024804F201FC03><hex:024904F201FD03><hex:0249020103><hex:0248020103> Die Schwierigkeit des Auftrags wird an die aktuelle Stufe angepasst.<hex:02100103><hex:02100103>Mogek Schlaubommel bittet dich, die Felsbrecher-Mogrys bei ihrer Arbeit anzuleiten. Sprich am Kreidetempel mit ihnen."
2,"TEXT_BANMOG303_02300_SEQ_02","Die unerfahrenen Felsbrecher-Mogrys wären für eine Vorlage, wie ein perfekt bearbeiteter Steinblock aussehen muss, sehr dankbar. Stell <hex:023210FF07>ItemHQ<hex:02F23D7502050203> aus <hex:02320EFF05>Item<hex:03F23D8F02040203> des Felsbrecher-Mogrys her und bring alles direkt zu den Felsbrecherhelfer-Mogrys.<hex:02100103><hex:02100103>※ Wenn du das Material verloren hast, sprich mit dem Felsbrecher-Mogry, damit er dir neues Ausgangsmaterial zur Verfügung stellt."
3,"TEXT_BANMOG303_02300_SEQ_03","Die Felsbrecherhelfer-Mogrys scheinen jetzt eine gute Vorstellung davon zu haben, wie ein guter Steinblock gearbeitet sein muss, und fliegen voller Tatendrang von dannen. Sieh am Asah-Wolkenweg noch einmal nach ihnen."
4,"TEXT_BANMOG303_02300_SEQ_04","Einer der Felsbrecherhelfer-Mogrys gibt dir <hex:023214FF0A>EventItem<hex:02F61E8C4302050203> - von ihnen selbst angefertigt und dank deiner Vorlage einwandfrei glatt und ebenmäßig ... leider handelt es sich um eine Kugel, nicht um einen Quader. Bring das Werkstück trotzdem zu Mogek Schlaubommel auf dem Bahrr Lehs und sieh, ob er es als Beweis ihrer Lernfähigkeit anerkennt."
5,"TEXT_BANMOG303_02300_SEQ_05","Mogek ist zuerst verdrossen über die falsche Form des Steins, aber als er genauer hinsieht, erkennt er die hochwertige Verarbeitung der Oberfläche. Wenn die Felsbrecher-Mogrys diese Qualität aufrechthalten können, sollte es bei den Bauarbeiten keine Probleme geben. Am besten wirfst du ab und zu einen Blick auf ihre Arbeit, damit sie auch wirklich brauchbare Formen produzieren."
6,"TEXT_BANMOG303_02300_SEQ_06",""
7,"TEXT_BANMOG303_02300_SEQ_07",""
8,"TEXT_BANMOG303_02300_SEQ_08",""
9,"TEXT_BANMOG303_02300_SEQ_09",""
10,"TEXT_BANMOG303_02300_SEQ_10",""
11,"TEXT_BANMOG303_02300_SEQ_11",""
12,"TEXT_BANMOG303_02300_SEQ_12",""
13,"TEXT_BANMOG303_02300_SEQ_13",""
14,"TEXT_BANMOG303_02300_SEQ_14",""
15,"TEXT_BANMOG303_02300_SEQ_15",""
16,"TEXT_BANMOG303_02300_SEQ_16",""
17,"TEXT_BANMOG303_02300_SEQ_17",""
18,"TEXT_BANMOG303_02300_SEQ_18",""
19,"TEXT_BANMOG303_02300_SEQ_19",""
20,"TEXT_BANMOG303_02300_SEQ_20",""
21,"TEXT_BANMOG303_02300_SEQ_21",""
22,"TEXT_BANMOG303_02300_SEQ_22",""
23,"TEXT_BANMOG303_02300_SEQ_23",""
24,"TEXT_BANMOG303_02300_TODO_00","Mit dem Felsbrecher-Mogry sprechen"
25,"TEXT_BANMOG303_02300_TODO_01","<hex:02087BE3E802E803FF2F>Spezialrezepte: <hex:023210FF07>ItemHQ<hex:06F23D7502050203> herstellen<hex:FF44><hex:022B16FF14><hex:023210FF07>ItemHQ<hex:06F23D7502050203><hex:03> an den Felsbrecherhelfer-Mogry übergeben<hex:03>"
26,"TEXT_BANMOG303_02300_TODO_02","Mit dem Felsbrecherhelfer-Mogry sprechen"
27,"TEXT_BANMOG303_02300_TODO_03","<hex:022B1AFF18><hex:023214FF0A>EventItem<hex:03F61E8C4302050203><hex:03> an Mogek übergeben"
28,"TEXT_BANMOG303_02300_TODO_04",""
29,"TEXT_BANMOG303_02300_TODO_05",""
30,"TEXT_BANMOG303_02300_TODO_06",""
31,"TEXT_BANMOG303_02300_TODO_07",""
32,"TEXT_BANMOG303_02300_TODO_08",""
33,"TEXT_BANMOG303_02300_TODO_09",""
34,"TEXT_BANMOG303_02300_TODO_10",""
35,"TEXT_BANMOG303_02300_TODO_11",""
36,"TEXT_BANMOG303_02300_TODO_12",""
37,"TEXT_BANMOG303_02300_TODO_13",""
38,"TEXT_BANMOG303_02300_TODO_14",""
39,"TEXT_BANMOG303_02300_TODO_15",""
40,"TEXT_BANMOG303_02300_TODO_16",""
41,"TEXT_BANMOG303_02300_TODO_17",""
42,"TEXT_BANMOG303_02300_TODO_18",""
43,"TEXT_BANMOG303_02300_TODO_19",""
44,"TEXT_BANMOG303_02300_TODO_20",""
45,"TEXT_BANMOG303_02300_TODO_21",""
46,"TEXT_BANMOG303_02300_TODO_22",""
47,"TEXT_BANMOG303_02300_TODO_23",""
48,"TEXT_BANMOG303_02300_MOGEK_000_000","Da bist du ja, ein Glück! Es gibt Schwie<hex:02160103>rig<hex:02160103>keiten mit den großen Steinquadern, kupo. Die Felsbrecher-Mogrys arbeiten zwar eifrig, aber jeder einzelne Block, den sie machen, sieht anders aus. Ein Geduldsspiel für die Maurer-Mogrys!"
49,"TEXT_BANMOG303_02300_MOGEK_000_001","Du bist so verlässlich, Abenteurer<hex:020809E905FF03>in<hex:FF01><hex:03>. Zeig doch den Felsbrecher-Mogrys im Kreidetempel, wie ein schöner, gleichmäßiger Steinblock auszusehen hat!"
50,"TEXT_BANMOG303_02300_MOGEK_000_002","Höflich brauchst du auch nicht zu sein, kupo. Ich habe es ihnen schon so oft gesagt, aber sie bessern sich einfach nicht. Zeig ihnen, was Disziplin bedeutet!"
51,"TEXT_BANMOG303_02300_CRAFTSMOOGLE02300_000_010","Wie, was? Unsere Arbeit ist nicht gut genug? Das ist ja gemein, kupo!"
52,"TEXT_BANMOG303_02300_CRAFTSMOOGLE02300_000_011","Glaubst du vielleicht, dass Steineklopfen einfach ist? Natürlich sehen nicht alle gleich aus. Es ist ja ein Naturmaterial!"
53,"TEXT_BANMOG303_02300_CRAFTSMOOGLE02300_000_012","... Entschuldige, das habe ich nicht so gemeint. Wir können es eben nicht besser, kupo. Jeder von uns schaut nur auf seinen vorigen Stein, und da weicht die Form natürlich immer mehr ab ..."
54,"TEXT_BANMOG303_02300_CRAFTSMOOGLE02300_000_013","Wenn du uns allerdings eine schöne Vorlage machen könntest, mit der wir unsere Steine vergleichen können, ja dann ... Bist du etwa deswegen hier, Abenteurer<hex:020809E905FF03>in<hex:FF01><hex:03>?"
