key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_BANNAM306_03108_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03> Schwierigkeitsanpassung (Job/Klasse darf nicht gewechselt werden)<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Seigetsu hat ein ungutes Gefühl."
1,"TEXT_BANNAM306_03108_SEQ_01","Mit dem liebenswerten Namazuo in Ceol Aen sprechen"
2,"TEXT_BANNAM306_03108_SEQ_02","Dem liebenswerten Namazuo in Ceol Aen die gewünschte Ware bringen"
3,"TEXT_BANNAM306_03108_SEQ_03","Baavgai in Hundertundeine Offenbarungen <hex:023214FF0A>EventItem<hex:03F61E8E3102050203> bringen"
4,"TEXT_BANNAM306_03108_SEQ_04","Seigetsu Bericht erstatten"
5,"TEXT_BANNAM306_03108_SEQ_05",""
6,"TEXT_BANNAM306_03108_SEQ_06",""
7,"TEXT_BANNAM306_03108_SEQ_07",""
8,"TEXT_BANNAM306_03108_SEQ_08",""
9,"TEXT_BANNAM306_03108_SEQ_09",""
10,"TEXT_BANNAM306_03108_SEQ_10",""
11,"TEXT_BANNAM306_03108_SEQ_11",""
12,"TEXT_BANNAM306_03108_SEQ_12",""
13,"TEXT_BANNAM306_03108_SEQ_13",""
14,"TEXT_BANNAM306_03108_SEQ_14",""
15,"TEXT_BANNAM306_03108_SEQ_15",""
16,"TEXT_BANNAM306_03108_SEQ_16",""
17,"TEXT_BANNAM306_03108_SEQ_17",""
18,"TEXT_BANNAM306_03108_SEQ_18",""
19,"TEXT_BANNAM306_03108_SEQ_19",""
20,"TEXT_BANNAM306_03108_SEQ_20",""
21,"TEXT_BANNAM306_03108_SEQ_21",""
22,"TEXT_BANNAM306_03108_SEQ_22",""
23,"TEXT_BANNAM306_03108_SEQ_23",""
24,"TEXT_BANNAM306_03108_TODO_00","Mit dem liebenswerten Namazuo in Ceol Aen sprechen"
25,"TEXT_BANNAM306_03108_TODO_01","<hex:0208F205C3E4E8050AFF79><hex:020875E3E802E803FF31>Spezialrezept: <hex:022B13FF11><hex:02320DFF05>Item<hex:02E80602050203><hex:03> herstellen<hex:FF3C><hex:022B13FF11><hex:02320DFF05>Item<hex:03E80602050203><hex:03> beim liebenswerten Namazuo abliefern<hex:03><hex:FFF20541><hex:0208F2053BE4E8050BFF79><hex:020875E3E802E803FF31>Spezialrezept: <hex:022B13FF11><hex:02320DFF05>Item<hex:02E80602050203><hex:03> herstellen<hex:FF3C><hex:022B13FF11><hex:02320DFF05>Item<hex:03E80602050203><hex:03> beim liebenswerten Namazuo abliefern<hex:03><hex:FFF204B9><hex:0208F204B3E4E8050CFF79><hex:020875E3E802E803FF31>Spezialrezept: <hex:022B13FF11><hex:02320DFF05>Item<hex:02E80602050203><hex:03> herstellen<hex:FF3C><hex:022B13FF11><hex:02320DFF05>Item<hex:03E80602050203><hex:03> beim liebenswerten Namazuo abliefern<hex:03><hex:FFF20431><hex:0208F2042BE4E80509FF79><hex:020875E3E802E803FF31>Spezialrezept: <hex:022B13FF11><hex:02320DFF05>Item<hex:02E80602050203><hex:03> herstellen<hex:FF3C><hex:022B13FF11><hex:02320DFF05>Item<hex:03E80602050203><hex:03> beim liebenswerten Namazuo abliefern<hex:03><hex:FFF203A9><hex:0208F203A3E4E8050DFF79><hex:020875E3E802E803FF31>Spezialrezept: <hex:022B13FF11><hex:02320DFF05>Item<hex:02E80602050203><hex:03> herstellen<hex:FF3C><hex:022B13FF11><hex:02320DFF05>Item<hex:03E80602050203><hex:03> beim liebenswerten Namazuo abliefern<hex:03><hex:FFF20321><hex:0208F2031BE4E8050EFF79><hex:020875E3E802E803FF31>Spezialrezept: <hex:022B13FF11><hex:02320DFF05>Item<hex:02E80602050203><hex:03> herstellen<hex:FF3C><hex:022B13FF11><hex:02320DFF05>Item<hex:03E80602050203><hex:03> beim liebenswerten Namazuo abliefern<hex:03><hex:FFF20299><hex:0208F20293E4E8050FFF79><hex:020875E3E802E803FF31>Spezialrezept: <hex:022B13FF11><hex:02320DFF05>Item<hex:02E80602050203><hex:03> herstellen<hex:FF3C><hex:022B13FF11><hex:02320DFF05>Item<hex:03E80602050203><hex:03> beim liebenswerten Namazuo abliefern<hex:03><hex:FFF20211><hex:0208F2020BE4E80510FF79><hex:020875E3E802E803FF31>Spezialrezept: <hex:022B13FF11><hex:02320DFF05>Item<hex:02E80602050203><hex:03> herstellen<hex:FF3C><hex:022B13FF11><hex:02320DFF05>Item<hex:03E80602050203><hex:03> beim liebenswerten Namazuo abliefern<hex:03><hex:FFF20189><hex:0208F20183E4E80511FF70><hex:02086CE3E802E803FF2D>Im Westen von Ceol Aen <hex:02280AFF05>Item<hex:E8060A03> sammeln<hex:FF37>Den <hex:02280AFF05>Item<hex:E8060A03> beim liebenswerten Namazuo abliefern<hex:03><hex:FFF2010A><hex:0208F20104E4E80512FF78><hex:020874E3E802E803FF30>Im Westen von Ceol Aen <hex:02320DFF05>Item<hex:06E80603050203> sammeln<hex:FF3C><hex:022B13FF11><hex:02320DFF05>Item<hex:03E80603050203><hex:03> beim liebenswerten Namazuo abliefern<hex:03><hex:FF86><hex:020882E4E80513FF79><hex:020875E3E802E803FF31><hex:022B13FF11><hex:02320DFF05>Item<hex:02E80602050203><hex:03> aus dem Tao Khaal fischen<hex:FF3C><hex:022B13FF11><hex:02320DFF05>Item<hex:03E80602050203><hex:03> beim liebenswerten Namazuo abliefern<hex:03><hex:FF02> <hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03>"
26,"TEXT_BANNAM306_03108_TODO_02","Baavgai in Hundertundeine Offenbarungen <hex:023214FF0A>EventItem<hex:03F61E8E3102050203> bringen"
27,"TEXT_BANNAM306_03108_TODO_03","Seigetsu Bericht erstatten"
28,"TEXT_BANNAM306_03108_TODO_04",""
29,"TEXT_BANNAM306_03108_TODO_05",""
30,"TEXT_BANNAM306_03108_TODO_06",""
31,"TEXT_BANNAM306_03108_TODO_07",""
32,"TEXT_BANNAM306_03108_TODO_08",""
33,"TEXT_BANNAM306_03108_TODO_09",""
34,"TEXT_BANNAM306_03108_TODO_10",""
35,"TEXT_BANNAM306_03108_TODO_11",""
36,"TEXT_BANNAM306_03108_TODO_12",""
37,"TEXT_BANNAM306_03108_TODO_13",""
38,"TEXT_BANNAM306_03108_TODO_14",""
39,"TEXT_BANNAM306_03108_TODO_15",""
40,"TEXT_BANNAM306_03108_TODO_16",""
41,"TEXT_BANNAM306_03108_TODO_17",""
42,"TEXT_BANNAM306_03108_TODO_18",""
43,"TEXT_BANNAM306_03108_TODO_19",""
44,"TEXT_BANNAM306_03108_TODO_20",""
45,"TEXT_BANNAM306_03108_TODO_21",""
46,"TEXT_BANNAM306_03108_TODO_22",""
47,"TEXT_BANNAM306_03108_TODO_23",""
