key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_LUCKZB002_03380_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03> Schwierigkeitsanpassung<hex:0249020103><hex:0248020103><hex:02100103>Heggie hält Ausschau nach jemandem, der zur Jobb-Feste unterwegs ist."
1,"TEXT_LUCKZB002_03380_SEQ_01",""
2,"TEXT_LUCKZB002_03380_SEQ_02",""
3,"TEXT_LUCKZB002_03380_SEQ_03",""
4,"TEXT_LUCKZB002_03380_SEQ_04",""
5,"TEXT_LUCKZB002_03380_SEQ_05",""
6,"TEXT_LUCKZB002_03380_SEQ_06",""
7,"TEXT_LUCKZB002_03380_SEQ_07",""
8,"TEXT_LUCKZB002_03380_SEQ_08",""
9,"TEXT_LUCKZB002_03380_SEQ_09",""
10,"TEXT_LUCKZB002_03380_SEQ_10",""
11,"TEXT_LUCKZB002_03380_SEQ_11",""
12,"TEXT_LUCKZB002_03380_SEQ_12",""
13,"TEXT_LUCKZB002_03380_SEQ_13",""
14,"TEXT_LUCKZB002_03380_SEQ_14",""
15,"TEXT_LUCKZB002_03380_SEQ_15",""
16,"TEXT_LUCKZB002_03380_SEQ_16",""
17,"TEXT_LUCKZB002_03380_SEQ_17",""
18,"TEXT_LUCKZB002_03380_SEQ_18",""
19,"TEXT_LUCKZB002_03380_SEQ_19",""
20,"TEXT_LUCKZB002_03380_SEQ_20",""
21,"TEXT_LUCKZB002_03380_SEQ_21",""
22,"TEXT_LUCKZB002_03380_SEQ_22",""
23,"TEXT_LUCKZB002_03380_SEQ_23",""
24,"TEXT_LUCKZB002_03380_TODO_00","Chathwick <hex:023214FF0A>EventItem<hex:03F61E8FA002050203> geben"
25,"TEXT_LUCKZB002_03380_TODO_01","<hex:022B1AFF18><hex:023214FF0A>EventItem<hex:03F61E8FA103050203><hex:03> an die Soldaten verteilen"
26,"TEXT_LUCKZB002_03380_TODO_02","Zu Chathwick zurückkehren"
27,"TEXT_LUCKZB002_03380_TODO_03",""
28,"TEXT_LUCKZB002_03380_TODO_04",""
29,"TEXT_LUCKZB002_03380_TODO_05",""
30,"TEXT_LUCKZB002_03380_TODO_06",""
31,"TEXT_LUCKZB002_03380_TODO_07",""
32,"TEXT_LUCKZB002_03380_TODO_08",""
33,"TEXT_LUCKZB002_03380_TODO_09",""
34,"TEXT_LUCKZB002_03380_TODO_10",""
35,"TEXT_LUCKZB002_03380_TODO_11",""
36,"TEXT_LUCKZB002_03380_TODO_12",""
37,"TEXT_LUCKZB002_03380_TODO_13",""
38,"TEXT_LUCKZB002_03380_TODO_14",""
39,"TEXT_LUCKZB002_03380_TODO_15",""
40,"TEXT_LUCKZB002_03380_TODO_16",""
41,"TEXT_LUCKZB002_03380_TODO_17",""
42,"TEXT_LUCKZB002_03380_TODO_18",""
43,"TEXT_LUCKZB002_03380_TODO_19",""
44,"TEXT_LUCKZB002_03380_TODO_20",""
45,"TEXT_LUCKZB002_03380_TODO_21",""
46,"TEXT_LUCKZB002_03380_TODO_22",""
47,"TEXT_LUCKZB002_03380_TODO_23",""
48,"TEXT_LUCKZB002_03380_HEGGIE_000_000","<hex:020818E905FF09>Reisende<hex:FF0A>Reisender<hex:03>! Führen dich deine Pfade an der Jobb-Feste vorbei? Dann nimm doch dieses Bündel hier mit und gib es meinem Sohn Chathwick, ja? Er ist der Adjutant dort."
49,"TEXT_LUCKZB002_03380_HEGGIE_000_001","Ich kann leider nicht einfach so nach draußen wandern, deswegen wäre ich dir für diesen kleinen Gefallen wirklich sehr dankbar."
50,"TEXT_LUCKZB002_03380_HEGGIE_000_002","Nimm das Bündel hier zur Jobb-Feste mit, wenn du eh schon in die Richtung unterwegs bist, und gib es meinem Sohn Chathwick, ja?"
51,"TEXT_LUCKZB002_03380_CHATHWICK_000_010","Oh, für mich?"
52,"TEXT_LUCKZB002_03380_CHATHWICK_000_011","Das<hex:021D0103>... ist ein prall gepacktes Bündel von meiner Mutter! Ach, die Herzensgute<hex:021D0103>..."
53,"TEXT_LUCKZB002_03380_CHATHWICK_000_012","Wir kommen eigentlich aus Holminster, weißt du. Nach dem Angriff der Sünden<hex:02160103>ver<hex:02160103>tilger war sie von den tapferen Soldaten zu Tränen gerührt, die ihr Leben riskiert haben, um sie in Sicherheit zu bringen."
54,"TEXT_LUCKZB002_03380_CHATHWICK_000_013","Ein Brief liegt auch bei. Was schreibt sie denn<hex:021D0103>... Oh! Tatsächlich hat sie dir da Essen für all die Soldaten mitgegeben, die in Holminster tapfer gekämpft haben. "
55,"TEXT_LUCKZB002_03380_CHATHWICK_000_014","Aber sag mal<hex:021D0103>... Jetzt, wo ich mir dich genauer ansehe<hex:021D0103>... Bist du nicht <hex:020810E905FF05>eine<hex:FF06>einer<hex:03> von denen, die sich dem Licht<hex:02160103>bringer auf dem Schlachtfeld gestellt haben?"
56,"TEXT_LUCKZB002_03380_CHATHWICK_000_015","Wusste ich es doch gleich! Tatsächlich beneiden dich viele Soldaten hier um diesen Heldenmut, weißt du<hex:021D0103>... Ah, ich hab's!"
57,"TEXT_LUCKZB002_03380_CHATHWICK_000_016","Warum verteilst du nicht <hex:023214FF0A>EventItem<hex:03F61E8FA103050203>, die dir meine Mutter mitgegeben hat? Das hebt ganz sicher die Stimmung in der Festung!"
58,"TEXT_LUCKZB002_03380_CHATHWICK_000_017","Warum verteilst du nicht <hex:023214FF0A>EventItem<hex:03F61E8FA103050203>, die dir meine Mutter mitgegeben hat? Das hebt ganz sicher die Stimmung in der Feste!"
59,"TEXT_LUCKZB002_03380_BJORN_000_020","Du bist doch<hex:021D0103>... Oh, vielen Dank! Dass du inmitten all der Schrecken einfach tapfer vorangestürmt bist und dein Leben aufs Spiel gesetzt hast<hex:021D0103>... Und dann bist du noch nicht mal ein Soldat. Eine echte Inspiration."
60,"TEXT_LUCKZB002_03380_GRIMCOGG_000_021","<hex:02080DE905FF04>Die<hex:FF04>Der<hex:03> mutige Reisende aus Holminster?! Es will mir nicht mehr aus dem Sinn, wie du Seite an Seite mit der Kommandantin standest und der Flut von Sünden<hex:02160103>ver<hex:02160103>tilgern die Stirn geboten hast<hex:021D0103>... Sie sind nicht unbesiegbar!"
61,"TEXT_LUCKZB002_03380_JOANRIC_000_022","Ah, von der Mutter des Adjutanten etwa? Wie aufmerksam von ihr! Diese Familie hat Heim und Hof verloren und kümmert sich dennoch so rührend um uns einfache Soldaten hier<hex:021D0103>..."
62,"TEXT_LUCKZB002_03380_ROALDARD_000_023","Der Angriff auf Holminster hat unsagbar viele Leben gekostet<hex:021D0103>... Aber diese Zahl wäre noch viel höher, wenn du nicht gewesen wärst. Ich danke dir. Auch für das Essen."
63,"TEXT_LUCKZB002_03380_BJORN_000_024","Dass du inmitten all der Schrecken einfach tapfer voran gestürmt bist und dein Leben aufs Spiel gesetzt hast<hex:021D0103>... Und dann bist du noch nicht mal ein Soldat. Eine echte Inspiration."
