key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_LUCKZF006_03465_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03> Schwierigkeitsanpassung<hex:0249020103><hex:0248020103><hex:02100103>Nymet wirkt bekümmert."
1,"TEXT_LUCKZF006_03465_SEQ_01",""
2,"TEXT_LUCKZF006_03465_SEQ_02",""
3,"TEXT_LUCKZF006_03465_SEQ_03",""
4,"TEXT_LUCKZF006_03465_SEQ_04",""
5,"TEXT_LUCKZF006_03465_SEQ_05",""
6,"TEXT_LUCKZF006_03465_SEQ_06",""
7,"TEXT_LUCKZF006_03465_SEQ_07",""
8,"TEXT_LUCKZF006_03465_SEQ_08",""
9,"TEXT_LUCKZF006_03465_SEQ_09",""
10,"TEXT_LUCKZF006_03465_SEQ_10",""
11,"TEXT_LUCKZF006_03465_SEQ_11",""
12,"TEXT_LUCKZF006_03465_SEQ_12",""
13,"TEXT_LUCKZF006_03465_SEQ_13",""
14,"TEXT_LUCKZF006_03465_SEQ_14",""
15,"TEXT_LUCKZF006_03465_SEQ_15",""
16,"TEXT_LUCKZF006_03465_SEQ_16",""
17,"TEXT_LUCKZF006_03465_SEQ_17",""
18,"TEXT_LUCKZF006_03465_SEQ_18",""
19,"TEXT_LUCKZF006_03465_SEQ_19",""
20,"TEXT_LUCKZF006_03465_SEQ_20",""
21,"TEXT_LUCKZF006_03465_SEQ_21",""
22,"TEXT_LUCKZF006_03465_SEQ_22",""
23,"TEXT_LUCKZF006_03465_SEQ_23",""
24,"TEXT_LUCKZF006_03465_TODO_00","<hex:022B1AFF18><hex:023214FF0A>EventItem<hex:02F61E8FB102050203><hex:03> finden"
25,"TEXT_LUCKZF006_03465_TODO_01","Dem Mädchen mit Pferdeschwänzen <hex:023214FF0A>EventItem<hex:03F61E8FB002050203> und <hex:023214FF0A>EventItem<hex:03F61E8FB102050203> geben"
26,"TEXT_LUCKZF006_03465_TODO_02","Nymet <hex:023214FF0A>EventItem<hex:03F61E8FB202050203> geben"
27,"TEXT_LUCKZF006_03465_TODO_03",""
28,"TEXT_LUCKZF006_03465_TODO_04",""
29,"TEXT_LUCKZF006_03465_TODO_05",""
30,"TEXT_LUCKZF006_03465_TODO_06",""
31,"TEXT_LUCKZF006_03465_TODO_07",""
32,"TEXT_LUCKZF006_03465_TODO_08",""
33,"TEXT_LUCKZF006_03465_TODO_09",""
34,"TEXT_LUCKZF006_03465_TODO_10",""
35,"TEXT_LUCKZF006_03465_TODO_11",""
36,"TEXT_LUCKZF006_03465_TODO_12",""
37,"TEXT_LUCKZF006_03465_TODO_13",""
38,"TEXT_LUCKZF006_03465_TODO_14",""
39,"TEXT_LUCKZF006_03465_TODO_15",""
40,"TEXT_LUCKZF006_03465_TODO_16",""
41,"TEXT_LUCKZF006_03465_TODO_17",""
42,"TEXT_LUCKZF006_03465_TODO_18",""
43,"TEXT_LUCKZF006_03465_TODO_19",""
44,"TEXT_LUCKZF006_03465_TODO_20",""
45,"TEXT_LUCKZF006_03465_TODO_21",""
46,"TEXT_LUCKZF006_03465_TODO_22",""
47,"TEXT_LUCKZF006_03465_TODO_23",""
48,"TEXT_LUCKZF006_03465_NYMET_000_000","Verbündete<hex:020808E905FF01><hex:FF02>r<hex:03> von Ronka! Darf ich dich um etwas bitten?"
49,"TEXT_LUCKZF006_03465_NYMET_000_001","Ein Mädchen ist kürzlich in unseren Wald eingedrungen. Wir haben einige Warnpfeile abgeschossen und sie ist prompt wieder dorthin geflohen, wo sie herkam. Dabei hat sie allerdings <hex:023214FF0A>EventItem<hex:02F61E8FB002050203> verloren."
50,"TEXT_LUCKZF006_03465_NYMET_000_002","Ich würde ihn gerne zurückgeben, aber es wäre unverfroren, nun in ihr Gebiet einzudringen, nachdem ich sie aus dem unseren vertrieben habe. Könntest du das über<hex:02160103>nehmen?"
51,"TEXT_LUCKZF006_03465_NYMET_000_003","Steck <hex:023214FF0A>EventItem<hex:02F61E8FB102050203> aus dem Wald von Yx'Maja zu dem Ohrring und bring beides nach Schlangenzweig, wo das Mädchen vermutlich wohnt. Du erkennst sie bestimmt gleich, sie hatte ihr Haar zu zwei Pferdeschwänzen gebunden."
52,"TEXT_LUCKZF006_03465_NYMET_000_004","<hex:022B1AFF18><hex:023214FF0A>EventItem<hex:02F61E8FB102020203><hex:03> ist ein Zeichen der Entschuldigung, musst du wissen. Tut mir leid, dass ich dir das aufhalse, aber wenn sie mich nach Schlangenzweig kommen sieht, erschrickt sie bestimmt zu Tode."
53,"TEXT_LUCKZF006_03465_NYMET_000_010","Bring den Ohrring zusammen mit <hex:023214FF0A>EventItem<hex:02F61E8FB102040203> aus dem Wald von Yx'Maja nach Schlangenzweig zu dem Mädchen, das ich aus dem Wald vertrieben habe. Sie hatte ihr Haar zu zwei Pferdeschwänzen gebunden."
54,"TEXT_LUCKZF006_03465_SLITHERBOUGHGIRLA03465_000_020","Wie bitte? Nein, der ist nicht von mir. Ohrschmuck ist überhaupt nicht so mein Fall. Halsketten finde ich da schon hübscher."
55,"TEXT_LUCKZF006_03465_SLITHERBOUGHGIRLB03465_000_021","Einen Ohrring? Nein, ich nicht, aber meine Freundin hat gerade kürzlich einen verloren. Einen aus Holz, sagte sie."
56,"TEXT_LUCKZF006_03465_SLITHERBOUGHGIRLC03465_000_022","Wie? Ja, ich habe einen Ohrring verloren, als ich im Wald im Osten war<hex:021D0103>..."
57,"TEXT_LUCKZF006_03465_SLITHERBOUGHGIRLC03465_000_023","Oooh! Du bist <hex:02080DE905FF04>die<hex:FF04>der<hex:03> Beste! Hast du den im Wald gefunden? Und du hast sogar noch <hex:023214FF0A>EventItem<hex:02F61E8FB102050203> dazugegeben. Wie süß."
58,"TEXT_LUCKZF006_03465_SLITHERBOUGHGIRLC03465_000_024","Oh, die ist ein Zeichen der Entschuldigung von der Jägerin? Dann haben die Viis wirklich ein gutes Herz."
59,"TEXT_LUCKZF006_03465_SLITHERBOUGHGIRLC03465_000_025","Matoya hat uns das erklärt. Sie sagte, dass die Viis den Wald schützen. Es ist nur verständlich, dass sie ärgerlich werden, wenn man sie bei dieser wichtigen Aufgabe behindert."
60,"TEXT_LUCKZF006_03465_SLITHERBOUGHGIRLC03465_000_026","Ich wollte sie auch gar nicht behindern. Bitte gib der Viis meinen Ring und sag ihr, dass ich nur versehentlich in ihr Revier geraten bin. Und wünsch ihr alles Gute und viel Kraft beim Beschützen des Waldes!"
61,"TEXT_LUCKZF006_03465_SLITHERBOUGHGIRLC03465_000_030","Bitte gib der Viis meinen Ring und sag ihr, dass ich nur versehentlich in ihr Revier geraten bin. Und wünsch ihr alles Gute und viel Kraft beim Beschützen des Waldes!"
62,"TEXT_LUCKZF006_03465_NYMET_000_040","Konntest du das Mädchen finden, dem der Ohrring gehört?"
