key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_LUCKTA001_03717_SEQ_00","Der tratschende Zwerg tritt ungeduldig von einem Beinchen aufs andere. Was auch immer er gehört hat, er scheint es nicht länger für sich behalten zu können."
1,"TEXT_LUCKTA001_03717_SEQ_01","Komra, das Dorf der Goggs, wird laut den neuesten Gerüchten von einer Diebstahlserie erschüttert. Der tratschende Zwerg ist deswegen extrem besorgt<hex:021D0103>- oder schlicht und einfach neugierig<hex:021D0103>- und bittet dich, dem Fall deine Aufmerksamkeit zu schenken, bevor es zu einer Eskalation zwischen den Zwergendörfern kommt. Sprich in Komra mit dem Vorarbeiter der Goggs."
2,"TEXT_LUCKTA001_03717_SEQ_02","Unglück<hex:02160103>licher<hex:02160103>weise hat der Vorarbeiter alle Gerüchte bestätigt. In Komra treibt tatsächlich ein Dieb sein Unwesen! Immer wieder verschwinden frisch ausgegrabene Schätze und diverse Materialien aus dem Lager des Dorfes. Vielleicht kannst du dort erste Spuren finden, die dich zum Täter führen."
3,"TEXT_LUCKTA001_03717_SEQ_03","Tatsächlich findest du beim gründlichen Durchstöbern des goggschen Lagers <hex:023214FF0A>EventItem<hex:02F61E8FDA02050203>, der sich von den anderen Schätzen doch sehr unterscheidet. Sicherlich kann dir der Vorarbeiter mehr dazu sagen, ob es sich einfach um einen besonders glücklichen Fund oder doch eine heiße Spur auf den Dieb handelt."
4,"TEXT_LUCKTA001_03717_SEQ_04","Der Vorarbeiter bestätigt deinen Eindruck und ist der Meinung, dass der Armreif einer Zwergin aus Komra gehört. Wie eine junge Dame einfach so an ein derart teures Schmuckstück gelangt, gibt euch allerdings ein Rätsel auf. Der Vorarbeiter schlägt dir in recht bestimmtem Ton vor, sie selbst danach zu fragen."
5,"TEXT_LUCKTA001_03717_SEQ_05","Die junge Gogg freut sich so ungemein darüber, dass du ihren wertvollen Armreif wiedergefunden hast, dass sie dir glatt verrät, von wem sie ihn bekommen hat<hex:021D0103>- dem Stollenwächter. Deine scharfen Sinne lassen dich sofort hinterfragen, wie ein einzelner Zwerg an solch ein Schmuckstück kommt, aber sie schickt dich schlicht und einfach zum Stollen, um ihn selbst danach zu fragen."
6,"TEXT_LUCKTA001_03717_SEQ_06","Trotz deiner sehr pointierten Nachfrage bleibt der Stollenwächter eisern und lässt sich noch nichts entlocken. Tatsächlich wurde er auffällig ärgerlich und macht sich dadurch nur umso verdächtiger! Zeige dem Zwerg, dass du ihn alles andere als vertrauenswürdig findest und fühle ihm auf den Bart (Emote: Beschuldigen, Textbefehl: /schuld)."
7,"TEXT_LUCKTA001_03717_SEQ_07","Mit deiner Anschuldigung hast du offenbar einen Nerv getroffen, denn der Stollenwächter ergreift ganz plötzlich die Flucht! Anogg und Konogg, die den zwielichtigen Kerl ohnehin schon belagert hatten, wollen ihn genauso wenig entkommen lassen wie du. Hefte dich an die Fersen des zwergischen Trios und sprich mit Anogg<hex:021D0103>- wer weiß, was sie deinem Tatverdächtigen sonst antut, um an den Schlüssel zum Stollen zu kommen<hex:021D0103>..."
8,"TEXT_LUCKTA001_03717_SEQ_08","Einen Moment lang scheint die Lage für den flüchtigen Stollenwächter recht aussichtslos, doch dann eilt ihm plötzlich seine Sippe zu Hilfe! Angesichts der scharfen Äxte ergreifen Anogg und Konogg die Flucht<hex:021D0103>... So liegt es an dir, den Zwergenbrüdern die Stirn zu bieten."
9,"TEXT_LUCKTA001_03717_SEQ_09","Offenbar war den beiden Goggs nicht klar, mit <hex:021A020203>wem<hex:021A020103> sie sich da anlegen, denn du machst erstaunlich kurzen Prozess mit ihnen. Jetzt gilt es, den flüchtigen Verdächtigen ausfindig zu machen. Weit kann er ja nicht gekommen sein<hex:021D0103>..."
10,"TEXT_LUCKTA001_03717_SEQ_10","Letztlich findest du den Stollenwächter kläglich hinter einem Felsen kauernd. Ohne Ausweg, Unterstützung und jeglichen Mumm gesteht er, die Diebstähle gemeinsam mit seinen Brüdern geplant und ausgeführt zu haben. Und das alles nur, um der jungen Zwergendame zu imponieren. Gemäß deines Rufs als <hex:020835E905FF19>Kriegerin der Dunkelheit<hex:FF17>Krieger der Dunkelheit<hex:03> genügt ein stummes, eindringliches Starren, um ihn reumütig davonziehen zu lassen. Als er geht, fällt dir allerdings auf, dass ihm bei der Flucht etwas aus der Tasche gerutscht sein muss<hex:021D0103>- auf dem Boden vor dir funkelt es verdächtig."
11,"TEXT_LUCKTA001_03717_SEQ_11","Zwischen trockener Erde und Kieseln blitzt ein kleiner Schlüssel hervor, der zweifelsohne dem Stollenwächter gehören muss. Ohne zu zögern nimmst du ihn an dich. Damit ist der Fall eigentlich auch abgeschlossen<hex:021D0103>- kehre zum Vorarbeiter zurück, um ihm alles zu berichten."
12,"TEXT_LUCKTA001_03717_SEQ_12","Der Vorarbeiter ist überglücklich, dass du den Dieb stellen konntest und in Komra nun hoffentlich wieder Ruhe einkehrt. Zumindest dürfte sich niemand so schnell wieder an der Langfingerei versuchen."
13,"TEXT_LUCKTA001_03717_SEQ_13",""
14,"TEXT_LUCKTA001_03717_SEQ_14",""
15,"TEXT_LUCKTA001_03717_SEQ_15",""
16,"TEXT_LUCKTA001_03717_SEQ_16",""
17,"TEXT_LUCKTA001_03717_SEQ_17",""
18,"TEXT_LUCKTA001_03717_SEQ_18",""
19,"TEXT_LUCKTA001_03717_SEQ_19",""
20,"TEXT_LUCKTA001_03717_SEQ_20",""
21,"TEXT_LUCKTA001_03717_SEQ_21",""
22,"TEXT_LUCKTA001_03717_SEQ_22",""
23,"TEXT_LUCKTA001_03717_SEQ_23",""
24,"TEXT_LUCKTA001_03717_TODO_00","Den Vorarbeiter nach den Gerüchten fragen"
25,"TEXT_LUCKTA001_03717_TODO_01","Nach Hinweisen auf den Dieb suchen"
26,"TEXT_LUCKTA001_03717_TODO_02","Dem Vorarbeiter <hex:023214FF0A>EventItem<hex:03F61E8FDA02050203> zeigen"
27,"TEXT_LUCKTA001_03717_TODO_03","Den Armreif zu der jungen Zwergin bringen"
28,"TEXT_LUCKTA001_03717_TODO_04","Den Stollenwächter befragen"
29,"TEXT_LUCKTA001_03717_TODO_05","Dem Stollenwächter auf den Bart fühlen (/schuld)"
30,"TEXT_LUCKTA001_03717_TODO_06","Mit Anogg sprechen"
31,"TEXT_LUCKTA001_03717_TODO_07","Dich den Brüdern des Stollenwächters stellen"
32,"TEXT_LUCKTA001_03717_TODO_08","Den entflohenen Stollenwächter finden"
33,"TEXT_LUCKTA001_03717_TODO_09","Den kleinen Gegenstand aufheben, den der Stollenwächter verloren hat"
34,"TEXT_LUCKTA001_03717_TODO_10","Dem Vorarbeiter Bericht erstatten"
35,"TEXT_LUCKTA001_03717_TODO_11",""
36,"TEXT_LUCKTA001_03717_TODO_12",""
37,"TEXT_LUCKTA001_03717_TODO_13",""
38,"TEXT_LUCKTA001_03717_TODO_14",""
39,"TEXT_LUCKTA001_03717_TODO_15",""
