key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_LUCKHT013_03894_SEQ_00","<hex:024804F201F603><hex:024904F201F703> Auftrag mit fester Charakterklasse<hex:0249020103><hex:0248020103><hex:02100103>Nimie möchte die Himmelsstahl-Werkzeuge weiter verbessern."
1,"TEXT_LUCKHT013_03894_SEQ_01","Um das Himmelsstahl-Werkzeug zu verbessern, musst du Denys mit Materialien versorgen. Von ihm erhältst du daraufhin die fertigen Komponenten, die du mit dem richtigen Werkzeug im Inventar oder Arsenal bei Nimie abliefern kannst. Sie wird dann das Werkzeug für dich verbessern.<hex:02100103><hex:02100103>※ Dies ist ein <hex:024804F201F603><hex:024904F201F703> Auftrag mit fester Charakterklasse<hex:0249020103><hex:0248020103>. Er kann nur mit der Charakterklasse weitergespielt werden, mit der er angenommen wurde."
2,"TEXT_LUCKHT013_03894_SEQ_02","Dein Himmelsstahl-Werkzeug wurde auf die fünfte Entwicklungsstufe verbessert. Bis neue Pläne zur Weiterentwicklung vorliegen, kannst du dich mit deinem verbesserten Werkzeug am Wieder<hex:02160103>aufbau der Himmelsstadt beteiligen."
3,"TEXT_LUCKHT013_03894_SEQ_03",""
4,"TEXT_LUCKHT013_03894_SEQ_04",""
5,"TEXT_LUCKHT013_03894_SEQ_05",""
6,"TEXT_LUCKHT013_03894_SEQ_06",""
7,"TEXT_LUCKHT013_03894_SEQ_07",""
8,"TEXT_LUCKHT013_03894_SEQ_08",""
9,"TEXT_LUCKHT013_03894_SEQ_09",""
10,"TEXT_LUCKHT013_03894_SEQ_10",""
11,"TEXT_LUCKHT013_03894_SEQ_11",""
12,"TEXT_LUCKHT013_03894_SEQ_12",""
13,"TEXT_LUCKHT013_03894_SEQ_13",""
14,"TEXT_LUCKHT013_03894_SEQ_14",""
15,"TEXT_LUCKHT013_03894_SEQ_15",""
16,"TEXT_LUCKHT013_03894_SEQ_16",""
17,"TEXT_LUCKHT013_03894_SEQ_17",""
18,"TEXT_LUCKHT013_03894_SEQ_18",""
19,"TEXT_LUCKHT013_03894_SEQ_19",""
20,"TEXT_LUCKHT013_03894_SEQ_20",""
21,"TEXT_LUCKHT013_03894_SEQ_21",""
22,"TEXT_LUCKHT013_03894_SEQ_22",""
23,"TEXT_LUCKHT013_03894_SEQ_23",""
24,"TEXT_LUCKHT013_03894_TODO_00","<hex:0208F2018CE4E80509FF18><hex:022B14FF12><hex:02320EFF05>Item<hex:02F2764A02050203><hex:03><hex:FFF2016B><hex:0208F20165E4E8050AFF18><hex:022B14FF12><hex:02320EFF05>Item<hex:02F2764B02050203><hex:03><hex:FFF20144><hex:0208F2013EE4E8050BFF18><hex:022B14FF12><hex:02320EFF05>Item<hex:02F2764C02050203><hex:03><hex:FFF2011D><hex:0208F20117E4E8050CFF18><hex:022B14FF12><hex:02320EFF05>Item<hex:02F2764D02050203><hex:03><hex:FFF0F7><hex:0208F0F2E4E8050DFF18><hex:022B14FF12><hex:02320EFF05>Item<hex:02F2764E02050203><hex:03><hex:FFF0D2><hex:0208CFE4E8050EFF18><hex:022B14FF12><hex:02320EFF05>Item<hex:02F2764F02050203><hex:03><hex:FFB0><hex:0208ACE4E8050FFF18><hex:022B14FF12><hex:02320EFF05>Item<hex:02F2765002050203><hex:03><hex:FF8D><hex:020889E4E80510FF18><hex:022B14FF12><hex:02320EFF05>Item<hex:02F2765102050203><hex:03><hex:FF6A><hex:020866E4E80511FF18><hex:022B14FF12><hex:02320EFF05>Item<hex:02F2765302050203><hex:03><hex:FF47><hex:020843E4E80512FF18><hex:022B14FF12><hex:02320EFF05>Item<hex:02F2765202050203><hex:03><hex:FF24><hex:020820E4E80513FF18><hex:022B14FF12><hex:02320EFF05>Item<hex:02F2765402050203><hex:03><hex:FF01><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03> ablegen (falls ausgerüstet) und gemeinsam mit<hex:0208F20353E4E80509FF40> <hex:024804F2023B03><hex:024904F2023C03>105<hex:0249020103><hex:0248020103> <hex:02320EFF05>Item<hex:06F2766C03040203> bereithalten und<hex:FFF2030A><hex:0208F20304E4E8050AFF40> <hex:024804F2023B03><hex:024904F2023C03>105<hex:0249020103><hex:0248020103> <hex:02320EFF05>Item<hex:06F2766E03040203> bereithalten und<hex:FFF202BB><hex:0208F202B5E4E8050BFF40> <hex:024804F2023B03><hex:024904F2023C03>105<hex:0249020103><hex:0248020103> <hex:02320EFF05>Item<hex:06F2767003040203> bereithalten und<hex:FFF2026C><hex:0208F20266E4E8050CFF40> <hex:024804F2023B03><hex:024904F2023C03>105<hex:0249020103><hex:0248020103> <hex:02320EFF05>Item<hex:06F2767203040203> bereithalten und<hex:FFF2021D><hex:0208F20217E4E8050DFF40> <hex:024804F2023B03><hex:024904F2023C03>105<hex:0249020103><hex:0248020103> <hex:02320EFF05>Item<hex:06F2767403040203> bereithalten und<hex:FFF201CE><hex:0208F201C8E4E8050EFF40> <hex:024804F2023B03><hex:024904F2023C03>105<hex:0249020103><hex:0248020103> <hex:02320EFF05>Item<hex:06F2767603040203> bereithalten und<hex:FFF2017F><hex:0208F20179E4E8050FFF40> <hex:024804F2023B03><hex:024904F2023C03>105<hex:0249020103><hex:0248020103> <hex:02320EFF05>Item<hex:06F2767803040203> bereithalten und<hex:FFF20130><hex:0208F2012AE4E80510FF40> <hex:024804F2023B03><hex:024904F2023C03>105<hex:0249020103><hex:0248020103> <hex:02320EFF05>Item<hex:06F2767A03040203> bereithalten und<hex:FFF0E2><hex:0208F0DDE4E80511FF41> <hex:024804F2023B03><hex:024904F2023C03>60<hex:0249020103><hex:0248020103> <hex:02320EFF05>Item<hex:06F2768103040203> bereithalten sowie<hex:FF96><hex:020892E4E80512FF41> <hex:024804F2023B03><hex:024904F2023C03>60<hex:0249020103><hex:0248020103> <hex:02320EFF05>Item<hex:06F2767D03040203> bereithalten sowie<hex:FF4A><hex:020846E4E80513FF3E> <hex:024804F2023B03><hex:024904F2023C03>7<hex:0249020103><hex:0248020103> <hex:02320EFF05>Item<hex:06F2768403040203> bereithalten und<hex:FF01><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:020879E4E80511FF33> <hex:024804F2023B03><hex:024904F2023C03>200<hex:0249020103><hex:0248020103> <hex:02320EFF05>Item<hex:06F2799D03040203> und<hex:FF3F><hex:02083BE4E80512FF33> <hex:024804F2023B03><hex:024904F2023C03>200<hex:0249020103><hex:0248020103> <hex:02320EFF05>Item<hex:06F2799B03040203> und<hex:FF01><hex:03><hex:03> anschließend mit Nimie sprechen"
25,"TEXT_LUCKHT013_03894_TODO_01",""
26,"TEXT_LUCKHT013_03894_TODO_02",""
27,"TEXT_LUCKHT013_03894_TODO_03",""
28,"TEXT_LUCKHT013_03894_TODO_04",""
29,"TEXT_LUCKHT013_03894_TODO_05",""
