key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_BANDWA127_03928_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03> Schwierigkeitsanpassung (Job/Klasse darf nicht gewechselt werden)<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Regitt hat einen dekorativen Auftrag für dich."
1,"TEXT_BANDWA127_03928_SEQ_01","Sprich mit dem Designerzwerg bei Radiscas Rundturm."
2,"TEXT_BANDWA127_03928_SEQ_02","Stelle den Vorstellungen des Designerzwergs entsprechend unauffällige Zubehörteile her und bring sie zu Regitt."
3,"TEXT_BANDWA127_03928_SEQ_03",""
4,"TEXT_BANDWA127_03928_SEQ_04",""
5,"TEXT_BANDWA127_03928_SEQ_05",""
6,"TEXT_BANDWA127_03928_SEQ_06",""
7,"TEXT_BANDWA127_03928_SEQ_07",""
8,"TEXT_BANDWA127_03928_SEQ_08",""
9,"TEXT_BANDWA127_03928_SEQ_09",""
10,"TEXT_BANDWA127_03928_SEQ_10",""
11,"TEXT_BANDWA127_03928_SEQ_11",""
12,"TEXT_BANDWA127_03928_SEQ_12",""
13,"TEXT_BANDWA127_03928_SEQ_13",""
14,"TEXT_BANDWA127_03928_SEQ_14",""
15,"TEXT_BANDWA127_03928_SEQ_15",""
16,"TEXT_BANDWA127_03928_SEQ_16",""
17,"TEXT_BANDWA127_03928_SEQ_17",""
18,"TEXT_BANDWA127_03928_SEQ_18",""
19,"TEXT_BANDWA127_03928_SEQ_19",""
20,"TEXT_BANDWA127_03928_SEQ_20",""
21,"TEXT_BANDWA127_03928_SEQ_21",""
22,"TEXT_BANDWA127_03928_SEQ_22",""
23,"TEXT_BANDWA127_03928_SEQ_23",""
24,"TEXT_BANDWA127_03928_TODO_00","Mit dem Designerzwerg bei Radiscas Rundturm sprechen"
25,"TEXT_BANDWA127_03928_TODO_01","<hex:0208F203B2E4E8050AFF69><hex:020865E3E802E803FF31>Spezialrezept: <hex:022B13FF11><hex:02320DFF05>Item<hex:06E80603050203><hex:03> herstellen<hex:FF2C><hex:022B13FF11><hex:02320DFF05>Item<hex:03E80603050203><hex:03> bei Regitt abliefern<hex:03><hex:FFF20340><hex:0208F2033AE4E8050BFF69><hex:020865E3E802E803FF31>Spezialrezept: <hex:022B13FF11><hex:02320DFF05>Item<hex:06E80603050203><hex:03> herstellen<hex:FF2C><hex:022B13FF11><hex:02320DFF05>Item<hex:03E80603050203><hex:03> bei Regitt abliefern<hex:03><hex:FFF202C8><hex:0208F202C2E4E8050CFF69><hex:020865E3E802E803FF31>Spezialrezept: <hex:022B13FF11><hex:02320DFF05>Item<hex:06E80603050203><hex:03> herstellen<hex:FF2C><hex:022B13FF11><hex:02320DFF05>Item<hex:03E80603050203><hex:03> bei Regitt abliefern<hex:03><hex:FFF20250><hex:0208F2024AE4E80509FF69><hex:020865E3E802E803FF31>Spezialrezept: <hex:022B13FF11><hex:02320DFF05>Item<hex:06E80603050203><hex:03> herstellen<hex:FF2C><hex:022B13FF11><hex:02320DFF05>Item<hex:03E80603050203><hex:03> bei Regitt abliefern<hex:03><hex:FFF201D8><hex:0208F201D2E4E8050DFF69><hex:020865E3E802E803FF31>Spezialrezept: <hex:022B13FF11><hex:02320DFF05>Item<hex:06E80603050203><hex:03> herstellen<hex:FF2C><hex:022B13FF11><hex:02320DFF05>Item<hex:03E80603050203><hex:03> bei Regitt abliefern<hex:03><hex:FFF20160><hex:0208F2015AE4E8050EFF69><hex:020865E3E802E803FF31>Spezialrezept: <hex:022B13FF11><hex:02320DFF05>Item<hex:06E80603050203><hex:03> herstellen<hex:FF2C><hex:022B13FF11><hex:02320DFF05>Item<hex:03E80603050203><hex:03> bei Regitt abliefern<hex:03><hex:FFF0E9><hex:0208F0E4E4E8050FFF69><hex:020865E3E802E803FF31>Spezialrezept: <hex:022B13FF11><hex:02320DFF05>Item<hex:06E80603050203><hex:03> herstellen<hex:FF2C><hex:022B13FF11><hex:02320DFF05>Item<hex:03E80603050203><hex:03> bei Regitt abliefern<hex:03><hex:FF75><hex:020871E4E80510FF69><hex:020865E3E802E803FF31>Spezialrezept: <hex:022B13FF11><hex:02320DFF05>Item<hex:06E80603050203><hex:03> herstellen<hex:FF2C><hex:022B13FF11><hex:02320DFF05>Item<hex:03E80603050203><hex:03> bei Regitt abliefern<hex:03><hex:FF01><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03>"
26,"TEXT_BANDWA127_03928_TODO_02",""
27,"TEXT_BANDWA127_03928_TODO_03",""
28,"TEXT_BANDWA127_03928_TODO_04",""
29,"TEXT_BANDWA127_03928_TODO_05",""
30,"TEXT_BANDWA127_03928_TODO_06",""
31,"TEXT_BANDWA127_03928_TODO_07",""
32,"TEXT_BANDWA127_03928_TODO_08",""
33,"TEXT_BANDWA127_03928_TODO_09",""
34,"TEXT_BANDWA127_03928_TODO_10",""
35,"TEXT_BANDWA127_03928_TODO_11",""
36,"TEXT_BANDWA127_03928_TODO_12",""
37,"TEXT_BANDWA127_03928_TODO_13",""
38,"TEXT_BANDWA127_03928_TODO_14",""
39,"TEXT_BANDWA127_03928_TODO_15",""
40,"TEXT_BANDWA127_03928_TODO_16",""
41,"TEXT_BANDWA127_03928_TODO_17",""
42,"TEXT_BANDWA127_03928_TODO_18",""
43,"TEXT_BANDWA127_03928_TODO_19",""
44,"TEXT_BANDWA127_03928_TODO_20",""
45,"TEXT_BANDWA127_03928_TODO_21",""
46,"TEXT_BANDWA127_03928_TODO_22",""
47,"TEXT_BANDWA127_03928_TODO_23",""
48,"TEXT_BANDWA127_03928_REGITT_000_000","Einer der zwei Kumpel, die für das Design der Karosserie verantwortlich sind, lässt fragen, ob du ihm ein wenig zur Hand gehen kannst."
49,"TEXT_BANDWA127_03928_REGITT_000_001","Er ist gerade bei Radiscas Rundturm und sammelt Materialien. Wäre hammermäßig, wenn du ihn dort treffen und dir anhören könntest, was er mit dir besprechen will."
50,"TEXT_BANDWA127_03928_DWARF03928_000_010","Holladrio! Regitt hat dir Bescheid gesagt, dass ich deine Hilfe gebrauchen könnte? Sehr gut, es geht um das Design der Außenkarosserie. Mir gehen die Ideen aus, wie man sie für das Auge unsichtbar gestalten könnte."
51,"TEXT_BANDWA127_03928_DWARF03928_000_011","Der Zwergenpanzer ist ja für Händler gedacht. Die wollen kein Aufsehen erregen, wenn sie zwischen Stadtbesuchen in der Wildnis unterwegs sind, damit Sünden<hex:02160103>ver<hex:02160103>tilger und Ungeheuer nicht angezogen werden. Demzufolge sollte auch das Design der Zwergenpanzer so ausfallen, dass man unterwegs nicht auffällt."
52,"TEXT_BANDWA127_03928_DWARF03928_000_012","Mein kleiner Bruder meint jedoch, ein auffälliges Design sei besser. Der erkennt die Vorzüge eines unauffälligen Äußeren einfach nicht!"
