key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_AKTKMB117_04396_SEQ_00","G'raha Tia betrachtet interessiert die Transportvorrichtung."
1,"TEXT_AKTKMB117_04396_SEQ_01","G'raha Tia verlässt sich voll auf deinen Heldenmut. Du beschließt, die Transportvorrichtung zu untersuchen.<hex:02100103><hex:02100103>※ Falls du den Inhalt zwischendurch verlässt, kann die Kämpferin von Lentes Träne dir wieder Einlass gewähren."
2,"TEXT_AKTKMB117_04396_SEQ_02","Die Transportvorrichtung befördert dich direkt auf den weißen Mond."
3,"TEXT_AKTKMB117_04396_SEQ_03","Auf der Mondoberfläche siehst du ein Abbild der Alten, wie du sie auch in Amaurot gesehen hast. Ob es bereit ist, mit dir zu sprechen?"
4,"TEXT_AKTKMB117_04396_SEQ_04","Das Leid der Erscheinungen hat Gestalt angenommen, doch du konntest es besänftigen. Vielleicht sind die Alten nun eher zu einem Gespräch bereit."
5,"TEXT_AKTKMB117_04396_SEQ_05","Als du erneut mit der Erscheinung sprichst und sie berührst, verschwindet sie, doch eine Stimme ruft dich in ihren Palast."
6,"TEXT_AKTKMB117_04396_SEQ_06","Es ist niemand zu sehen. Woher mag die Stimme nur gekommen sein?"
7,"TEXT_AKTKMB117_04396_SEQ_07","Du triffst den Mondwächter und er bittet dich ihm dabei zu helfen, Zodiarks Siegel zu erneuern."
8,"TEXT_AKTKMB117_04396_SEQ_08",""
9,"TEXT_AKTKMB117_04396_SEQ_09",""
10,"TEXT_AKTKMB117_04396_SEQ_10",""
11,"TEXT_AKTKMB117_04396_SEQ_11",""
12,"TEXT_AKTKMB117_04396_SEQ_12",""
13,"TEXT_AKTKMB117_04396_SEQ_13",""
14,"TEXT_AKTKMB117_04396_SEQ_14",""
15,"TEXT_AKTKMB117_04396_SEQ_15",""
16,"TEXT_AKTKMB117_04396_SEQ_16",""
17,"TEXT_AKTKMB117_04396_SEQ_17",""
18,"TEXT_AKTKMB117_04396_SEQ_18",""
19,"TEXT_AKTKMB117_04396_SEQ_19",""
20,"TEXT_AKTKMB117_04396_SEQ_20",""
21,"TEXT_AKTKMB117_04396_SEQ_21",""
22,"TEXT_AKTKMB117_04396_SEQ_22",""
23,"TEXT_AKTKMB117_04396_SEQ_23",""
24,"TEXT_AKTKMB117_04396_TODO_00","<hex:022B15FF13><hex:02320FFF05>EObj<hex:03F61EB3D402050203><hex:03> untersuchen"
25,"TEXT_AKTKMB117_04396_TODO_01","<hex:022B15FF13><hex:02320FFF05>EObj<hex:03F61EB3D402050203><hex:03> untersuchen"
26,"TEXT_AKTKMB117_04396_TODO_02","Mit der Erscheinung sprechen"
27,"TEXT_AKTKMB117_04396_TODO_03","Noch einmal mit der Erscheinung sprechen"
28,"TEXT_AKTKMB117_04396_TODO_04","An <hex:02320FFF05>EObj<hex:03F61EB3D602040203> umsehen"
29,"TEXT_AKTKMB117_04396_TODO_05","Den Ursprung der Stimme finden"
30,"TEXT_AKTKMB117_04396_TODO_06",""
31,"TEXT_AKTKMB117_04396_TODO_07",""
32,"TEXT_AKTKMB117_04396_TODO_08",""
33,"TEXT_AKTKMB117_04396_TODO_09",""
34,"TEXT_AKTKMB117_04396_TODO_10",""
35,"TEXT_AKTKMB117_04396_TODO_11",""
36,"TEXT_AKTKMB117_04396_TODO_12",""
37,"TEXT_AKTKMB117_04396_TODO_13",""
38,"TEXT_AKTKMB117_04396_TODO_14",""
39,"TEXT_AKTKMB117_04396_TODO_15",""
40,"TEXT_AKTKMB117_04396_TODO_16",""
41,"TEXT_AKTKMB117_04396_TODO_17",""
42,"TEXT_AKTKMB117_04396_TODO_18",""
43,"TEXT_AKTKMB117_04396_TODO_19",""
44,"TEXT_AKTKMB117_04396_TODO_20",""
45,"TEXT_AKTKMB117_04396_TODO_21",""
46,"TEXT_AKTKMB117_04396_TODO_22",""
47,"TEXT_AKTKMB117_04396_TODO_23",""
48,"TEXT_AKTKMB117_04396_ALPHINAUD_000_000","Du kannst Zenos aufhalten. Du musst, bevor das letzte Siegel bricht."
49,"TEXT_AKTKMB117_04396_ALISAIE_000_005","Halt mal kurz still."
50,"TEXT_AKTKMB117_04396_ALISAIE_000_006","Ich habe ein gutes Wort für dich eingelegt. Jetzt kann nichts mehr schiefgehen."
51,"TEXT_AKTKMB117_04396_THANCRED_000_010","Mach dir um uns keine Sorgen. Wir werden sofort wieder zum Korps stoßen."
52,"TEXT_AKTKMB117_04396_URIANGER_000_015","Eile voraus. Ich werde Krile beiseite stehen."
53,"TEXT_AKTKMB117_04396_YSHTOLA_000_020","Sie verbraucht ungeheure Mengen Äther. Wenn ich mir diese Rückstände ansehe, hat sie einen mächtigen Teleportzauber gesprochen."
54,"TEXT_AKTKMB117_04396_YSHTOLA_000_021","Hydaelyn und Krile haben sich größte Mühe gegeben. Enttäuschen wir sie nicht."
55,"TEXT_AKTKMB117_04396_ESTINIEN_000_025","Wir haben keine Zeit darüber nachzudenken, was vorgefallen ist. Wir müssen die Sache jetzt zu Ende bringen."
56,"TEXT_AKTKMB117_04396_KRILE_000_030","..."
57,"TEXT_AKTKMB117_04396_GRAHATIA_000_040","Entschuldige. Mir ist nur etwas an dieser Transportvorrichtung aufgefallen."
58,"TEXT_AKTKMB117_04396_GRAHATIA_000_041","Die Basis ist aus einer spätallagischen Periode. Er mag den Namen Amon abgeworfen haben, aber nicht seine Ver<hex:02160103>gangen<hex:02160103>heit."
59,"TEXT_AKTKMB117_04396_GRAHATIA_000_042","Vielleicht wird uns dieses Wissen später noch nützlich werden."
60,"TEXT_AKTKMB117_04396_GRAHATIA_000_043","Hydaelyns Worten zufolge führt dieser Transporter direkt zu den Unterstützern im Mare Lamentorum auf dem Mond."
61,"TEXT_AKTKMB117_04396_GRAHATIA_000_044","Du solltest dich zuerst mit diesen Unterstützern treffen, bevor du dich auf die Suche nach Zenos machst."
62,"TEXT_AKTKMB117_04396_GRAHATIA_000_045","Eine Suche auf dem Mond ... Das klingt nach einer unmöglichen Aufgabe, aber du wirst es sicher schaffen."
63,"TEXT_AKTKMB117_04396_GRAHATIA_000_046","Dein nächstes Abenteuer beginnt! Ein Abenteuer auf dem weißen Mond!"
64,"TEXT_AKTKMB117_04396_GRAHATIA_000_050","Ich muss mich nun um meine Aufgaben kümmern. Egal welche Hürden ich zu überwinden habe: Der Gedanke, dass du auf dem Mond um unsere Zukunft kämpfst, wird mir Kraft schenken."
65,"TEXT_AKTKMB117_04396_Q1_000_060","Zum Mare Lamentorum reisen?"
66,"TEXT_AKTKMB117_04396_Q2_000_070","Zum Gottesportal (Turm von Babil) reisen?"
67,"TEXT_AKTKMB117_04396_SHADOWZERO04396_000_080","<hex:024804F2022303>Ich ... Ich muss ...<hex:0248020103>"
68,"TEXT_AKTKMB117_04396_SHADOWZERO04396_000_081","<hex:024804F2022303>Zurück ... nach Hause ...<hex:0248020103>"
