key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_AKTKZH011_04306_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03> Schwierigkeitsanpassung<hex:0249020103><hex:0248020103><hex:02100103>Die Schöpferin aus Mitrons Worte hat ein kleines Problem."
1,"TEXT_AKTKZH011_04306_SEQ_01",""
2,"TEXT_AKTKZH011_04306_SEQ_02",""
3,"TEXT_AKTKZH011_04306_SEQ_03",""
4,"TEXT_AKTKZH011_04306_SEQ_04",""
5,"TEXT_AKTKZH011_04306_SEQ_05",""
6,"TEXT_AKTKZH011_04306_SEQ_06",""
7,"TEXT_AKTKZH011_04306_SEQ_07",""
8,"TEXT_AKTKZH011_04306_SEQ_08",""
9,"TEXT_AKTKZH011_04306_SEQ_09",""
10,"TEXT_AKTKZH011_04306_SEQ_10",""
11,"TEXT_AKTKZH011_04306_SEQ_11",""
12,"TEXT_AKTKZH011_04306_SEQ_12",""
13,"TEXT_AKTKZH011_04306_SEQ_13",""
14,"TEXT_AKTKZH011_04306_SEQ_14",""
15,"TEXT_AKTKZH011_04306_SEQ_15",""
16,"TEXT_AKTKZH011_04306_SEQ_16",""
17,"TEXT_AKTKZH011_04306_SEQ_17",""
18,"TEXT_AKTKZH011_04306_SEQ_18",""
19,"TEXT_AKTKZH011_04306_SEQ_19",""
20,"TEXT_AKTKZH011_04306_SEQ_20",""
21,"TEXT_AKTKZH011_04306_SEQ_21",""
22,"TEXT_AKTKZH011_04306_SEQ_22",""
23,"TEXT_AKTKZH011_04306_SEQ_23",""
24,"TEXT_AKTKZH011_04306_TODO_00","In Poieten Oikos den Namensgeber <hex:023214FF0A>EventItem<hex:03F61E91A302030203> suchen"
25,"TEXT_AKTKZH011_04306_TODO_01","Der Schöpferin aus Mitrons Worte <hex:023214FF0A>EventItem<hex:03F61E91A302050203> zurückgeben"
26,"TEXT_AKTKZH011_04306_TODO_02",""
27,"TEXT_AKTKZH011_04306_TODO_03",""
28,"TEXT_AKTKZH011_04306_TODO_04",""
29,"TEXT_AKTKZH011_04306_TODO_05",""
30,"TEXT_AKTKZH011_04306_TODO_06",""
31,"TEXT_AKTKZH011_04306_TODO_07",""
32,"TEXT_AKTKZH011_04306_TODO_08",""
33,"TEXT_AKTKZH011_04306_TODO_09",""
34,"TEXT_AKTKZH011_04306_TODO_10",""
35,"TEXT_AKTKZH011_04306_TODO_11",""
36,"TEXT_AKTKZH011_04306_TODO_12",""
37,"TEXT_AKTKZH011_04306_TODO_13",""
38,"TEXT_AKTKZH011_04306_TODO_14",""
39,"TEXT_AKTKZH011_04306_TODO_15",""
40,"TEXT_AKTKZH011_04306_TODO_16",""
41,"TEXT_AKTKZH011_04306_TODO_17",""
42,"TEXT_AKTKZH011_04306_TODO_18",""
43,"TEXT_AKTKZH011_04306_TODO_19",""
44,"TEXT_AKTKZH011_04306_TODO_20",""
45,"TEXT_AKTKZH011_04306_TODO_21",""
46,"TEXT_AKTKZH011_04306_TODO_22",""
47,"TEXT_AKTKZH011_04306_TODO_23",""
48,"TEXT_AKTKZH011_04306_CREATOR04306_000_000","Höchst erfreut. Ich bin eine Forscherin der Institution Mitrons Worte. Mein Spezialgebiet sind Meerestiere und unter diesen vor allem die Haie."
49,"TEXT_AKTKZH011_04306_CREATOR04306_000_001","Die Beobachtung meiner neuesten Schöpfung in der Anagnorisis ist bereits beendet. Jetzt fehlt nur noch ein letzter Test und sie kann in die Freiheit entlassen werden. "
50,"TEXT_AKTKZH011_04306_CREATOR04306_000_002","Bevor ich die Schöpfung im Büro des Architekten registrieren lassen kann, brauche ich aber noch einen Namen. Deshalb kam ich her, um mich mit einem Systematiker zu beraten."
51,"TEXT_AKTKZH011_04306_CREATOR04306_000_003","Ich habe da auch schon jemand ganz Gewissen im Kopf. Und zwar denjenigen, der auch meiner letzten Kreation ihren Namen gab: dem Speude Bradeos! Ein wohlklingender Name, nicht wahr?"
52,"TEXT_AKTKZH011_04306_CREATOR04306_000_004","Doch bislang konnte ich ihn hier nicht finden, Zephyros ist einfach viel zu weitläufig. Könntest du mir vielleicht helfen?"
53,"TEXT_AKTKZH011_04306_CREATOR04306_000_005","Vielen Dank! Nimm bitte <hex:023214FF0A>EventItem<hex:07F61E91A302050203> und zeige ihn herum. Sein Namensgeber sollte sich an ihn erinnern. Daran wirst du ihn erkennen."
54,"TEXT_AKTKZH011_04306_CREATOR04306_000_008","Zeige den Hai so vielen Leuten wie möglich. Sein Namensgeber sollte ihn erkennen."
55,"TEXT_AKTKZH011_04306_RHODOPIS_000_010","Kann ich dir irgendwie helfen?"
56,"TEXT_AKTKZH011_04306_RHODOPIS_000_011","Wer dieses Wesen benannt hat? Da kann ich dir leider auch nicht weiterhelfen. Ich war es jedenfalls nicht."
57,"TEXT_AKTKZH011_04306_EUAION_000_012","Was gibt es, unbekanntes Familiar?"
58,"TEXT_AKTKZH011_04306_EUAION_000_013","Das ist <hex:023214FF0A>EventItem<hex:02F61E91A302020203>, nicht wahr? Ja, ich habe von diesen Wesen gehört. Aber wer sie benannt hat, kann ich dir leider nicht sagen."
59,"TEXT_AKTKZH011_04306_TELAMON_000_014","Na, was haben wir denn hier? Ist es das, was ich denke<hex:021D0103>...?"
60,"TEXT_AKTKZH011_04306_TELAMON_000_015","<hex:022B1AFF18><hex:023214FF0A>EventItem<hex:02F61E91A302020203><hex:03> also, ich wusste es doch! Du suchst den Namensgeber dieser possierlichen Kreatur? Dann herzlichen Glückwunsch, du stehst nämlich vor ihm!"
61,"TEXT_AKTKZH011_04306_TELAMON_000_016","Die Schöpferin dieser Kreatur hatte ursprünglich mit dem Gedanken gespielt, sie Cladoselache zu taufen, aber mir schien etwas angemessener, das zu ihrer eigentümlichen Fortbewegungsart passt. "
62,"TEXT_AKTKZH011_04306_TELAMON_000_017","Diese äußerst bemühten kleinen Trippelschritte, mit denen sie doch kaum vorankommt."
63,"TEXT_AKTKZH011_04306_TELAMON_000_018","Der Name bedeutet übersetzt so viel wie „Eile mit Weile“. Passt wie der Hammer auf den Hai, nicht wahr?"
64,"TEXT_AKTKZH011_04306_TELAMON_000_019","Natürlich benenne ich auch die neue Haiart liebend gern! Sie befindet sich in der Anagnorisis, sagst du? Dann freue ich mich schon, ihre Bekanntschaft zu machen!"
65,"TEXT_AKTKZH011_04306_RHODOPIS_000_020","Ich habe absolut keine Ahnung, wer diese Kreatur benannt haben könnte."
66,"TEXT_AKTKZH011_04306_EUAION_000_021","Ich weiß leider nicht, wer den Speude Bradeos benannt hat, aber er war zweifellos ein Genie!"
67,"TEXT_AKTKZH011_04306_TELAMON_000_022","Ich freue mich schon riesig, die neue Haiart zu sehen und mir einen Namen für sie auszudenken."
68,"TEXT_AKTKZH011_04306_CREATOR04306_100_025","Und? Hast du den Namensgeber des Hais gefunden?"
