key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_BANOMI101_04607_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03> Schwierigkeitsanpassung (Job/Klasse darf nicht gewechselt werden)<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Stigma-4 hat einen Hilferuf von den Karelliern auf Elysium erhalten."
1,"TEXT_BANOMI101_04607_SEQ_01","Dem Ingredienzen-Karellier die gewünschte Ware bringen"
2,"TEXT_BANOMI101_04607_SEQ_02","Stigma-4 Bericht erstatten"
3,"TEXT_BANOMI101_04607_SEQ_03",""
4,"TEXT_BANOMI101_04607_SEQ_04",""
5,"TEXT_BANOMI101_04607_SEQ_05",""
6,"TEXT_BANOMI101_04607_SEQ_06",""
7,"TEXT_BANOMI101_04607_SEQ_07",""
8,"TEXT_BANOMI101_04607_SEQ_08",""
9,"TEXT_BANOMI101_04607_SEQ_09",""
10,"TEXT_BANOMI101_04607_SEQ_10",""
11,"TEXT_BANOMI101_04607_SEQ_11",""
12,"TEXT_BANOMI101_04607_SEQ_12",""
13,"TEXT_BANOMI101_04607_SEQ_13",""
14,"TEXT_BANOMI101_04607_SEQ_14",""
15,"TEXT_BANOMI101_04607_SEQ_15",""
16,"TEXT_BANOMI101_04607_SEQ_16",""
17,"TEXT_BANOMI101_04607_SEQ_17",""
18,"TEXT_BANOMI101_04607_SEQ_18",""
19,"TEXT_BANOMI101_04607_SEQ_19",""
20,"TEXT_BANOMI101_04607_SEQ_20",""
21,"TEXT_BANOMI101_04607_SEQ_21",""
22,"TEXT_BANOMI101_04607_SEQ_22",""
23,"TEXT_BANOMI101_04607_SEQ_23",""
24,"TEXT_BANOMI101_04607_TODO_00","<hex:0208F20195E4E80511FF84><hex:020880E3E802E803FF2E>Im Agrarsektor Elysiums <hex:02280AFF05>Item<hex:E8060A03> abbauen<hex:FF4A>Das Mineralgestein <hex:022B10FF0E><hex:02280AFF05>Item<hex:E8060A03><hex:03> dem Ingredienzen-Karellier bringen<hex:03><hex:FFF20108><hex:0208F20102E4E80512FF7A><hex:020876E3E802E803FF34>Im Agrarsektor Elysiums <hex:02320DFF05>Item<hex:06E80603050203> einsammeln<hex:FF3A><hex:022B13FF11><hex:02320DFF05>Item<hex:03E80603050203><hex:03> dem Ingredienzen-Karellier bringen<hex:03><hex:FF82><hex:02087EE4E80513FF76><hex:020872E3E802E803FF30>Im Agrarsektor Elysiums <hex:02320DFF05>Item<hex:02E80602050203> fangen<hex:FF3A><hex:022B13FF11><hex:02320DFF05>Item<hex:03E80602050203><hex:03> dem Ingredienzen-Karellier bringen<hex:03><hex:FF01><hex:03><hex:03><hex:03>"
25,"TEXT_BANOMI101_04607_TODO_01","Stigma-4 Bericht erstatten"
26,"TEXT_BANOMI101_04607_TODO_02",""
27,"TEXT_BANOMI101_04607_TODO_03",""
28,"TEXT_BANOMI101_04607_TODO_04",""
29,"TEXT_BANOMI101_04607_TODO_05",""
30,"TEXT_BANOMI101_04607_TODO_06",""
31,"TEXT_BANOMI101_04607_TODO_07",""
32,"TEXT_BANOMI101_04607_TODO_08",""
33,"TEXT_BANOMI101_04607_TODO_09",""
34,"TEXT_BANOMI101_04607_TODO_10",""
35,"TEXT_BANOMI101_04607_TODO_11",""
36,"TEXT_BANOMI101_04607_TODO_12",""
37,"TEXT_BANOMI101_04607_TODO_13",""
38,"TEXT_BANOMI101_04607_TODO_14",""
39,"TEXT_BANOMI101_04607_TODO_15",""
40,"TEXT_BANOMI101_04607_TODO_16",""
41,"TEXT_BANOMI101_04607_TODO_17",""
42,"TEXT_BANOMI101_04607_TODO_18",""
43,"TEXT_BANOMI101_04607_TODO_19",""
44,"TEXT_BANOMI101_04607_TODO_20",""
45,"TEXT_BANOMI101_04607_TODO_21",""
46,"TEXT_BANOMI101_04607_TODO_22",""
47,"TEXT_BANOMI101_04607_TODO_23",""
48,"TEXT_BANOMI101_04607_STIGMA4_000_001","<biep> ... <zzzt> ... Hilferuf der Karellier auf Elysium empfangen. Ein sich übermäßig ausbreitendes Unkraut gefährdet den Gemüseanbau. Diese Einheit hat ein Herbizid entwickelt, das jegliche organische Lebensformen auf einen Schlag auslöschen könnte."
49,"TEXT_BANOMI101_04607_STIGMA4_000_002","Der übermäßig behaarte Gastwirt hat jedoch den Gebrauch des Herbizids strikt untersagt. Er beharrt auf der Verwendung eines schwächeren biologischen Mittels, das unter großem Aufwand aus Zutaten aus Elysium hergestellt werden muss. Der Vorschlag widerspricht dem Effizienzgebot, wurde jedoch zur Vermeidung zeitraubender Diskussionen angenommen."
50,"TEXT_BANOMI101_04607_STIGMA4_000_003","Stigma-4 bittet <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203> daher, im Agrarsektor das Mineralgestein Trona abzubauen. "
51,"TEXT_BANOMI101_04607_STIGMA4_000_004","Stigma-4 bittet <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203> daher, im Agrarsektor Weltraumreispflanzen einzusammeln."
52,"TEXT_BANOMI101_04607_STIGMA4_000_005","Stigma-4 bittet <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203> daher, im Agrarsektor einen Kleinfisch zu fangen. Stigma-4-Datenbanken über aquatische Lebensformen empfehlen die Verwendung von gelbem Lachslaich als Köder."
53,"TEXT_BANOMI101_04607_STIGMA4_000_006","Der Ingredienzen-Karellier in der Omikron-Basis wird die Ware in Empfang nehmen, um daraus das biologische Unkrautvernichtungsmittel herzustellen."
54,"TEXT_BANOMI101_04607_KARELEAN04607_000_013","Ich warte auf eine Lieferung von Zutaten für das biologische Unkrautvernichtungsmittel. "
55,"TEXT_BANOMI101_04607_KARELEAN04607_000_014","Ach, du bringst mir die Zutaten? Vielen Dank! Damit machen wir dem Unkraut den Garaus."
56,"TEXT_BANOMI101_04607_KARELEAN04607_000_015","Es geht übrigens um viel mehr als lediglich um den Schutz der Gemüsepflanzen. Hast du das kreisförmige Symbol in der Mitte des Ackers gesehen? Wenn es vom Unkraut überwachsen würde, wäre es nicht mehr sichtbar, und das wäre gar nicht gut. Bei dem Zeichen handelt es sich nämlich um ein uraltes Glückssymbol. "
57,"TEXT_BANOMI101_04607_KARELEAN04607_000_016","Es soll uns daran erinnern, dass übertriebener Wissenschaftsglaube den Krieg ausgelöst hat und wir gut daran tun, uns auf unsere traditionellen Ackerbaumethoden zu besinnen."
58,"TEXT_BANOMI101_04607_KARELEAN04607_000_017","Dank des Herbizids bleibt das kreisförmige Symbol stets gut sichtbar. Es scheint tatsächlich Glück zu bringen: Wir hatten noch nie zuvor eine so gute Ernte!"
59,"TEXT_BANOMI101_04607_KARELEAN04607_000_018","Unser Bio-Gemüse ist der Renner im Wiegenstern. Die positiven Rückmeldungen entschädigen uns für jeden Schweißtropfen, den wir vergossen haben."
