key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_CHRHDY401_04806_SEQ_00","Gerolt ist fest entschlossen, die Manderville-Waffen endgültig zu per<hex:02160103>fek<hex:02160103>tio<hex:02160103>nie<hex:02160103>ren.<hex:02100103><hex:02100103>※ Dies ist ein <hex:024804F201F603><hex:024904F201F703> Auftrag mit festem Job<hex:0249020103><hex:0248020103>. Er kann nur mit dem Job weitergespielt werden, mit dem er angenommen wurde."
1,"TEXT_CHRHDY401_04806_SEQ_01","Godbert hat es endlich geschafft, die letzte Stufe zur Perfektionierung der legendären Manderville-Waffen zu entschlüsseln. Benötigt wird dafür das äußerst wertvolle Ultramanderville-Öl, dessen Hauptbestandteil offenbar aus einem besonders seltenen meteoritischen Material namens „Kosmischer Kristallit“ gewonnen wird.<hex:02100103><hex:02100103>※ Dies ist ein <hex:024804F201F603><hex:024904F201F703> Auftrag mit festem Job<hex:0249020103><hex:0248020103>. Er kann nur mit dem Job weitergespielt werden, mit dem er angenommen wurde.<hex:02100103><hex:02100103><hex:022B14FF12><hex:02320EFF05>Item<hex:03F2A04803020203><hex:03> können bei Jubrunnah am Ätherytenplatz in Radz-at-Han erworben werden."
2,"TEXT_CHRHDY401_04806_SEQ_02","Es stellt sich heraus, dass es nicht ganz so einfach ist, die ätherreiche Essenz des kosmischen Kristallits zu extrahieren: Dafür ist eine Art Resonanzwelle notwendig, die zu Gerolts großem Entsetzen nur mithilfe des legendären Tanzes der Chevaliers freigesetzt werden kann. Durch den letzten Schritt<hex:021D0103>- der Beschichtung der Waffe mit dem Ultramanderville-Öl<hex:021D0103>- wird nicht nur die Manderville-Waffe perfektioniert, sondern eine Aufzeichnung von Godberts Vorfahren Godbrand zugänglich gemacht, in der der legendäre Meisterschmied das Geheimnis rund um die Erschaffung der Manderville-Waffen lüftet."
3,"TEXT_CHRHDY401_04806_SEQ_03",""
4,"TEXT_CHRHDY401_04806_SEQ_04",""
5,"TEXT_CHRHDY401_04806_SEQ_05",""
6,"TEXT_CHRHDY401_04806_SEQ_06",""
7,"TEXT_CHRHDY401_04806_SEQ_07",""
8,"TEXT_CHRHDY401_04806_SEQ_08",""
9,"TEXT_CHRHDY401_04806_SEQ_09",""
10,"TEXT_CHRHDY401_04806_SEQ_10",""
11,"TEXT_CHRHDY401_04806_SEQ_11",""
12,"TEXT_CHRHDY401_04806_SEQ_12",""
13,"TEXT_CHRHDY401_04806_SEQ_13",""
14,"TEXT_CHRHDY401_04806_SEQ_14",""
15,"TEXT_CHRHDY401_04806_SEQ_15",""
16,"TEXT_CHRHDY401_04806_SEQ_16",""
17,"TEXT_CHRHDY401_04806_SEQ_17",""
18,"TEXT_CHRHDY401_04806_SEQ_18",""
19,"TEXT_CHRHDY401_04806_SEQ_19",""
20,"TEXT_CHRHDY401_04806_SEQ_20",""
21,"TEXT_CHRHDY401_04806_SEQ_21",""
22,"TEXT_CHRHDY401_04806_SEQ_22",""
23,"TEXT_CHRHDY401_04806_SEQ_23",""
24,"TEXT_CHRHDY401_04806_TODO_00","<hex:0208F20351E3E802E803FF21><hex:022B14FF12><hex:02320EFF05>Item<hex:06F2A04803050203><hex:03> besorgen<hex:FFF20326><hex:0208F202D8E4E80514FF2E><hex:022B14FF12><hex:02320EFF05>Item<hex:03F29BF002050203><hex:03> und <hex:02320EFF05>Item<hex:03F29C0302050203><hex:FFF202A1><hex:0208F2029BE4E80515FF18><hex:022B14FF12><hex:02320EFF05>Item<hex:03F29BF102050203><hex:03><hex:FFF2027A><hex:0208F20274E4E80516FF18><hex:022B14FF12><hex:02320EFF05>Item<hex:03F29BF202050203><hex:03><hex:FFF20253><hex:0208F2024DE4E80517FF18><hex:022B14FF12><hex:02320EFF05>Item<hex:03F29BF302050203><hex:03><hex:FFF2022C><hex:0208F20226E4E80518FF18><hex:022B14FF12><hex:02320EFF05>Item<hex:03F29BF402050203><hex:03><hex:FFF20205><hex:0208F102E4E80519FF18><hex:022B14FF12><hex:02320EFF05>Item<hex:03F29BF802050203><hex:03><hex:FFF201DF><hex:0208F201D9E4E8051AFF18><hex:022B14FF12><hex:02320EFF05>Item<hex:03F29BF902050203><hex:03><hex:FFF201B8><hex:0208F201B2E4E8051CFF18><hex:022B14FF12><hex:02320EFF05>Item<hex:03F29BFA02050203><hex:03><hex:FFF20191><hex:0208F2018BE4E8051DFF18><hex:022B14FF12><hex:02320EFF05>Item<hex:03F29BFB02050203><hex:03><hex:FFF2016A><hex:0208F20164E4E8051FFF18><hex:022B14FF12><hex:02320EFF05>Item<hex:03F29BF502050203><hex:03><hex:FFF20143><hex:0208F2013DE4E80520FF18><hex:022B14FF12><hex:02320EFF05>Item<hex:03F29BF702050203><hex:03><hex:FFF2011C><hex:0208F20116E4E80521FF18><hex:022B14FF12><hex:02320EFF05>Item<hex:03F29BF602050203><hex:03><hex:FFF0F6><hex:0208F0F1E4E80522FF18><hex:022B14FF12><hex:02320EFF05>Item<hex:03F29BFC02050203><hex:03><hex:FFF0D1><hex:0208CEE4E80523FF18><hex:022B14FF12><hex:02320EFF05>Item<hex:03F29BFD02050203><hex:03><hex:FFAF><hex:0208ABE4E80524FF18><hex:022B14FF12><hex:02320EFF05>Item<hex:03F29BFE02050203><hex:03><hex:FF8C><hex:020888E4E80526FF18><hex:022B14FF12><hex:02320EFF05>Item<hex:03F29BFF02050203><hex:03><hex:FF69><hex:020865E4E80527FF17><hex:022B13FF11><hex:02320DFF05>Item<hex:03F19C02050203><hex:03><hex:FF47><hex:020843E4E80528FF18><hex:022B14FF12><hex:02320EFF05>Item<hex:03F29C0202050203><hex:03><hex:FF24><hex:020820E4E80529FF18><hex:022B14FF12><hex:02320EFF05>Item<hex:03F29C0102050203><hex:03><hex:FF01><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03> ablegen (falls ausgerüstet) und <hex:02320EFF05>Item<hex:03F2A04803050203> bei Gerolt abliefern<hex:03>"
25,"TEXT_CHRHDY401_04806_TODO_01",""
26,"TEXT_CHRHDY401_04806_TODO_02",""
27,"TEXT_CHRHDY401_04806_TODO_03",""
28,"TEXT_CHRHDY401_04806_TODO_04",""
29,"TEXT_CHRHDY401_04806_TODO_05",""
30,"TEXT_CHRHDY401_04806_TODO_06",""
31,"TEXT_CHRHDY401_04806_TODO_07",""
32,"TEXT_CHRHDY401_04806_TODO_08",""
33,"TEXT_CHRHDY401_04806_TODO_09",""
34,"TEXT_CHRHDY401_04806_TODO_10",""
35,"TEXT_CHRHDY401_04806_TODO_11",""
36,"TEXT_CHRHDY401_04806_TODO_12",""
37,"TEXT_CHRHDY401_04806_TODO_13",""
38,"TEXT_CHRHDY401_04806_TODO_14",""
39,"TEXT_CHRHDY401_04806_TODO_15",""
40,"TEXT_CHRHDY401_04806_TODO_16",""
