key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_KINGZC105_05075_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03> Schwierigkeitsanpassung<hex:0249020103><hex:0248020103><hex:02100103>Tempatriq steckt in der Patschklemme. "
1,"TEXT_KINGZC105_05075_SEQ_01",""
2,"TEXT_KINGZC105_05075_SEQ_02",""
3,"TEXT_KINGZC105_05075_SEQ_03",""
4,"TEXT_KINGZC105_05075_SEQ_04",""
5,"TEXT_KINGZC105_05075_SEQ_05",""
6,"TEXT_KINGZC105_05075_SEQ_06",""
7,"TEXT_KINGZC105_05075_SEQ_07",""
8,"TEXT_KINGZC105_05075_SEQ_08",""
9,"TEXT_KINGZC105_05075_SEQ_09",""
10,"TEXT_KINGZC105_05075_SEQ_10",""
11,"TEXT_KINGZC105_05075_SEQ_11",""
12,"TEXT_KINGZC105_05075_SEQ_12",""
13,"TEXT_KINGZC105_05075_SEQ_13",""
14,"TEXT_KINGZC105_05075_SEQ_14",""
15,"TEXT_KINGZC105_05075_SEQ_15",""
16,"TEXT_KINGZC105_05075_SEQ_16",""
17,"TEXT_KINGZC105_05075_SEQ_17",""
18,"TEXT_KINGZC105_05075_SEQ_18",""
19,"TEXT_KINGZC105_05075_SEQ_19",""
20,"TEXT_KINGZC105_05075_SEQ_20",""
21,"TEXT_KINGZC105_05075_SEQ_21",""
22,"TEXT_KINGZC105_05075_SEQ_22",""
23,"TEXT_KINGZC105_05075_SEQ_23",""
24,"TEXT_KINGZC105_05075_TODO_00","<hex:022B1AFF18><hex:023214FF0A>EventItem<hex:06F61E92B502050203><hex:03> ernten"
25,"TEXT_KINGZC105_05075_TODO_01","<hex:022B1AFF18><hex:023214FF0A>EventItem<hex:06F61E92B602050203><hex:03> ernten"
26,"TEXT_KINGZC105_05075_TODO_02","<hex:022B1AFF18><hex:023214FF0A>EventItem<hex:06F61E92B702050203><hex:03> ernten"
27,"TEXT_KINGZC105_05075_TODO_03","Das Wassergras zu Tempatriq bringen"
28,"TEXT_KINGZC105_05075_TODO_04",""
29,"TEXT_KINGZC105_05075_TODO_05",""
30,"TEXT_KINGZC105_05075_TODO_06",""
31,"TEXT_KINGZC105_05075_TODO_07",""
32,"TEXT_KINGZC105_05075_TODO_08",""
33,"TEXT_KINGZC105_05075_TODO_09",""
34,"TEXT_KINGZC105_05075_TODO_10",""
35,"TEXT_KINGZC105_05075_TODO_11",""
36,"TEXT_KINGZC105_05075_TODO_12",""
37,"TEXT_KINGZC105_05075_TODO_13",""
38,"TEXT_KINGZC105_05075_TODO_14",""
39,"TEXT_KINGZC105_05075_TODO_15",""
40,"TEXT_KINGZC105_05075_TODO_16",""
41,"TEXT_KINGZC105_05075_TODO_17",""
42,"TEXT_KINGZC105_05075_TODO_18",""
43,"TEXT_KINGZC105_05075_TODO_19",""
44,"TEXT_KINGZC105_05075_TODO_20",""
45,"TEXT_KINGZC105_05075_TODO_21",""
46,"TEXT_KINGZC105_05075_TODO_22",""
47,"TEXT_KINGZC105_05075_TODO_23",""
48,"TEXT_KINGZC105_05075_TEMPATRIQ_000_000","O weh, was soll ich nur tun? Es ist so kurznah und doch so weitfern<hex:021D0103>..."
49,"TEXT_KINGZC105_05075_TEMPATRIQ_000_001","Spitz mal bitte deine Lauschschalen, <hex:020818E905FF09>Reisende<hex:FF0A>Reisender<hex:03>! Ich habe meiner Topfwerkerin vom Wassergras auf dem Grund des Ligaka-Bruchs erzählt, und jetzt will sie es unbedingt untersuchen."
50,"TEXT_KINGZC105_05075_TEMPATRIQ_000_002","Die Schwierigsache ist: Ich beherrsche das Fischgehen nicht, und die Topfwerkerin kann ich nicht bitten, das wäre ein Wörterbruch des Topfpakts! Bist du vielleicht <hex:020826E905FF12>eine Fischgeherin<hex:FF0F>ein Fischgeher<hex:03>?"
51,"TEXT_KINGZC105_05075_TEMPATRIQ_000_003","Du bist nicht nur <hex:020826E905FF12>eine Fischgeherin<hex:FF0F>ein Fischgeher<hex:03>, sondern auch <hex:020826E905FF12>eine Fischatmerin<hex:FF0F>ein Fischatmer<hex:03>?! Das ist ja wunderprächtig, dann kannst du das Gras für mich ernten!"
52,"TEXT_KINGZC105_05075_TEMPATRIQ_000_004","Wir brauchen drei Sorten Wassergras: bitteres, prächtiges und grelles. Komm zu mir, wenn du es hast!"
53,"TEXT_KINGZC105_05075_TEMPATRIQ_000_005","Wir brauchen drei Sorten Wassergras: bitteres, prächtiges und grelles. Komm zu mir, wenn du es hast!"
54,"TEXT_KINGZC105_05075_TEMPATRIQ_000_006","Fshkhooo<hex:021D0103>... Hast du das Wassergras gefunden?"
55,"TEXT_KINGZC105_05075_TEMPATRIQ_000_007","Wunderprächtig! So frisch, so schön! Dankeviel! Dankeviel!"
56,"TEXT_KINGZC105_05075_TEMPATRIQ_000_008","Ich werde es gleich der Topfwerkerin zeigen! Sicher kann sie damit viele Denkfrüchte ernten!"
57,"TEXT_KINGZC105_05075_TEMPATRIQ_000_009","Sie ist sehr gut darin, die Natur nachzuahmen, sogar die Eigenschaften! Und Wassergras hat ganz vielbesondere! Es ändert nämlich je nach Wasserwärme, Lichtleuchten und Vergehenjahren seine Farbe! "
58,"TEXT_KINGZC105_05075_TEMPATRIQ_000_010","Wenn sie was daraus macht, das dasselbe kann, lässt es sich sicher für viele Funkelscheiben verkaufen!"
59,"TEXT_KINGZC105_05075_WORRIEDMOBLIN05075_000_000","（★未使用／削除予定★）"
60,"TEXT_KINGZC105_05075_WORRIEDMOBLIN05075_000_001","（★未使用／削除予定★）"
61,"TEXT_KINGZC105_05075_WORRIEDMOBLIN05075_000_002","（★未使用／削除予定★）"
62,"TEXT_KINGZC105_05075_WORRIEDMOBLIN05075_000_003","（★未使用／削除予定★）"
63,"TEXT_KINGZC105_05075_WORRIEDMOBLIN05075_000_004","（★未使用／削除予定★）"
64,"TEXT_KINGZC105_05075_WORRIEDMOBLIN05075_000_005","（★未使用／削除予定★）"
65,"TEXT_KINGZC105_05075_WORRIEDMOBLIN05075_000_006","（★未使用／削除予定★）"
66,"TEXT_KINGZC105_05075_WORRIEDMOBLIN05075_000_007","（★未使用／削除予定★）"
67,"TEXT_KINGZC105_05075_WORRIEDMOBLIN05075_000_008","（★未使用／削除予定★）"
68,"TEXT_KINGZC105_05075_WORRIEDMOBLIN05075_000_009","（★未使用／削除予定★）"
69,"TEXT_KINGZC105_05075_WORRIEDMOBLIN05075_000_010","（★未使用／削除予定★）"
