key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_BANMAM104_05264_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03> Schwierigkeitsanpassung (Job/Klasse darf nicht gewechselt werden)<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Kageel Ja sorgt sich um die Bodentemperatur auf den Feldern."
1,"TEXT_BANMAM104_05264_SEQ_01","Kubeel Ja die gewünschte Ware bringen"
2,"TEXT_BANMAM104_05264_SEQ_02","Mit Kageel Ja sprechen"
3,"TEXT_BANMAM104_05264_SEQ_03",""
4,"TEXT_BANMAM104_05264_SEQ_04",""
5,"TEXT_BANMAM104_05264_SEQ_05",""
6,"TEXT_BANMAM104_05264_SEQ_06",""
7,"TEXT_BANMAM104_05264_SEQ_07",""
8,"TEXT_BANMAM104_05264_SEQ_08",""
9,"TEXT_BANMAM104_05264_SEQ_09",""
10,"TEXT_BANMAM104_05264_SEQ_10",""
11,"TEXT_BANMAM104_05264_SEQ_11",""
12,"TEXT_BANMAM104_05264_SEQ_12",""
13,"TEXT_BANMAM104_05264_SEQ_13",""
14,"TEXT_BANMAM104_05264_SEQ_14",""
15,"TEXT_BANMAM104_05264_SEQ_15",""
16,"TEXT_BANMAM104_05264_SEQ_16",""
17,"TEXT_BANMAM104_05264_SEQ_17",""
18,"TEXT_BANMAM104_05264_SEQ_18",""
19,"TEXT_BANMAM104_05264_SEQ_19",""
20,"TEXT_BANMAM104_05264_SEQ_20",""
21,"TEXT_BANMAM104_05264_SEQ_21",""
22,"TEXT_BANMAM104_05264_SEQ_22",""
23,"TEXT_BANMAM104_05264_SEQ_23",""
24,"TEXT_BANMAM104_05264_TODO_00","<hex:0208F20142E4E80511FF64><hex:020860E3E802E803FF38>In der Nähe des Cenote Neyozzote <hex:02280AFF05>Item<hex:E8060A03> sammeln<hex:FF20>Kubeel Ja <hex:02280AFF05>Item<hex:E8060A03> bringen<hex:03><hex:FFF0D6><hex:0208F0D1E4E80512FF64><hex:020860E3E802E803FF38>In der Nähe des Cenote Neyozzote <hex:02280AFF05>Item<hex:E8060A03> sammeln<hex:FF20>Kubeel Ja <hex:02280AFF05>Item<hex:E8060A03> bringen<hex:03><hex:FF67><hex:020863E4E80513FF5B><hex:020857E3E802E803FF2C>Am Cenote Moxutural <hex:02320DFF05>Item<hex:02E80602050203> fangen<hex:FF23>Kubeel Ja <hex:02320DFF05>Item<hex:03E80602050203> bringen<hex:03><hex:FF01><hex:03><hex:03><hex:03>"
25,"TEXT_BANMAM104_05264_TODO_01","Mit Kageel Ja sprechen"
26,"TEXT_BANMAM104_05264_TODO_02",""
27,"TEXT_BANMAM104_05264_TODO_03",""
28,"TEXT_BANMAM104_05264_TODO_04",""
29,"TEXT_BANMAM104_05264_TODO_05",""
30,"TEXT_BANMAM104_05264_TODO_06",""
31,"TEXT_BANMAM104_05264_TODO_07",""
32,"TEXT_BANMAM104_05264_TODO_08",""
33,"TEXT_BANMAM104_05264_TODO_09",""
34,"TEXT_BANMAM104_05264_TODO_10",""
35,"TEXT_BANMAM104_05264_TODO_11",""
36,"TEXT_BANMAM104_05264_TODO_12",""
37,"TEXT_BANMAM104_05264_TODO_13",""
38,"TEXT_BANMAM104_05264_TODO_14",""
39,"TEXT_BANMAM104_05264_TODO_15",""
40,"TEXT_BANMAM104_05264_TODO_16",""
41,"TEXT_BANMAM104_05264_TODO_17",""
42,"TEXT_BANMAM104_05264_TODO_18",""
43,"TEXT_BANMAM104_05264_TODO_19",""
44,"TEXT_BANMAM104_05264_TODO_20",""
45,"TEXT_BANMAM104_05264_TODO_21",""
46,"TEXT_BANMAM104_05264_TODO_22",""
47,"TEXT_BANMAM104_05264_TODO_23",""
48,"TEXT_BANMAM104_05264_KAGEELJA_000_001","Die Bodentemperatur bereitet uns große Sorgen. Das dichte Laub der Bäume lässt kaum Sonnenstrahlen durch, um die Felder zu erwärmen."
49,"TEXT_BANMAM104_05264_KAGEELJA_000_002","Natürlich hat sich Anggir schon der Sache angenommen. Sie glaubt, das Problem mit Kompostdünger lösen zu können. Gärungsprozesse entwickeln nämlich Wärme."
50,"TEXT_BANMAM104_05264_KAGEELJA_000_003","Der Kompostdünger, den du uns letztes Mal gebracht hast, hat wahre Wunder gewirkt! Höchste Zeit, die Vorräte wieder aufzufüllen!"
51,"TEXT_BANMAM104_05264_KAGEELJA_000_004","Natürlich leistet die Beleuchtung schon einen großen Teil der Arbeit, aber Anggir meint, dass eine noch höhere Temperatur unseren geliebten Feldern nur guttun könne."
52,"TEXT_BANMAM104_05264_KAGEELJA_000_005","Bitte sammle in der Nähe des Cenote Neyozzote drei <hex:02320EFF05>Item<hex:06F2BB9E03050203> ein. Daraus lässt sich ein prächtiger Kompostdünger machen, der unseren Feldern ordentlich einheizt."
53,"TEXT_BANMAM104_05264_KAGEELJA_000_006","Bitte sammle in der Nähe des Cenote Neyozzote drei <hex:02320EFF05>Item<hex:06F2BB9F03050203> ein. Daraus lässt sich ein prächtiger Kompostdünger machen, der unseren Feldern ordentlich einheizt."
54,"TEXT_BANMAM104_05264_KAGEELJA_000_007","Bitte fang am Cenote Moxutural <hex:02320EFF05>Item<hex:02F2BBA002050203>. Daraus lässt sich ein prächtiger Kompostdünger machen, der unseren Feldern ordentlich einheizt."
55,"TEXT_BANMAM104_05264_KAGEELJA_000_008","Als Köder empfehle ich dir, <hex:02320EFF05>Item<hex:06F2AB4903050203> zu benutzen."
56,"TEXT_BANMAM104_05264_KAGEELJA_000_009","Kubeel Ja hat bereits kompostierfähiges Material vorbereitet und wartet nur auf die letzte Zutat. Bring deinen Fang also direkt zu ihm auf die Felder."
57,"TEXT_BANMAM104_05264_KAGEELJA_000_010","（★未使用／削除予定★）"
58,"TEXT_BANMAM104_05264_KAGEELJA_000_011","（★未使用／削除予定★）"
59,"TEXT_BANMAM104_05264_KAGEELJA_000_012","（★未使用／削除予定★）"
60,"TEXT_BANMAM104_05264_KUBEELJA_000_013","Da ist ja <hex:020837E905FF1A>unsere fleißige Helferin<hex:FF18>unser fleißiger Helfer<hex:03>! Bitte beeile dich und sammle das Kompostmaterial. Unsere Pflänzchen bekommen schon kalte Füße, äh, Wurzeln!"
61,"TEXT_BANMAM104_05264_KUBEELJA_000_014","Da ist ja <hex:020837E905FF1A>unsere fleißige Helferin<hex:FF18>unser fleißiger Helfer<hex:03>! Hast du das Kompostmaterial? Dann immer her damit. Unsere Pflänzchen haben schon kalte Füße, äh, Wurzeln!"
62,"TEXT_BANMAM104_05264_KUBEELJA_000_018","Sehr schön! Genau, was ich brauche, um die Gärungsprozesse in Gang zu bringen."
63,"TEXT_BANMAM104_05264_KUBEELJA_000_019","Vielen Dank für die Hilfe. Ich werde dafür sorgen, dass der Kompostdünger auf die Felder kommt und unseren Pflänzchen schön einheizt."
64,"TEXT_BANMAM104_05264_HATAKEMAM05264_000_015","（★未使用／削除予定★）"
