key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_LOTTERYEXCHANGESHOPEUREKA1CRYSTAL_UI_TITLE","KRISTALLZERLEGUNG"
1,"TEXT_LOTTERYEXCHANGESHOPEUREKA1CRYSTAL_UI_SUBTITLE",""
2,"TEXT_LOTTERYEXCHANGESHOPEUREKA1CRYSTAL_UI_NOITEM","Du besitzt keine Kristalle, die für eine Zerlegung geeignet sind."
3,"TEXT_LOTTERYEXCHANGESHOPEUREKA1CRYSTAL_RESULT_UI_TITLE","ERGEBNIS"
4,"TEXT_LOTTERYEXCHANGESHOPEUREKA1CRYSTAL_RESULT_UI_SUBTITLE",""
5,"TEXT_LOTTERYEXCHANGESHOPEUREKA1CRYSTAL_RESULT_UI_NEXT","Nächster Kristall"
6,"TEXT_LOTTERYEXCHANGESHOPEUREKA1CRYSTAL_CONFIRM_SINGLE","<hex:022B13FF11><hex:02320DFF05>Item<hex:03E80202050203><hex:03> zerlegen?<hex:02100103><hex:02100103>Noch <hex:022003E80303> Mal möglich (Im Besitz: <hex:022003E80403>)"
7,"TEXT_LOTTERYEXCHANGESHOPEUREKA1CRYSTAL_CONFIRM_MULTI","<hex:022003E80503> <hex:02320DFF05>Item<hex:06E80203050203> zerlegen?<hex:02100103><hex:02100103>Noch <hex:022003E80303> Mal möglich (Im Besitz: <hex:022003E80403>)"
