key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_000","Ahhh, what a lovely breeze! Hopefully it'll be smooth sailing from here."
1,"TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_001","One time, we found an isle that was worth a fortune, but on the way back, we were attacked by thralls. There were so many of them, we had no choice but to cut the isle loose..."
2,"TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_002","With you and yours here, though, I'm sure we can handle anything!"
3,"TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_003",""
4,"TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_100","<hex:021A020203>Naglfar<hex:021A020103> has come into sight, so we're making solid progress, but there's still a fair way to go."
5,"TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_101","To pass the time, I might try crafting a new kind of runework based on the curious things in your possession!"
6,"TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_102",""
7,"TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_200","The end of the voyage is nigh! Behold our home, the realmship of water─<hex:021A020203>Naglfar<hex:021A020103>!"
8,"TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_201","Soon, we'll have to make the preparations to hand off the isle. While we see to that, you and your friends can get ready to board <hex:021A020203>Naglfar<hex:021A020103>!"
9,"TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_202",""
