key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
#,Name,,Icon,ActionCategory,,AnimationStart,VFX,AnimationEnd,ActionTimelineHit,,ClassJob,BehaviourType,ClassJobLevel,IsRoleAction,,Range,CanTargetSelf,CanTargetParty,CanTargetAlliance,CanTargetHostile,CanTargetAlly,,TargetArea,CanTargetOwnPet,CanTargetPartyPet,DeadTargetBehaviour,RequiresLineOfSight,NeedToFaceTarget,CastType,EffectRange,XAxisModifier,,PrimaryCostType,PrimaryCostValue,SecondaryCostType,SecondaryCostValue,ActionCombo,PreservesCombo,Cast100ms,ExtraCastTime100ms,Recast100ms,CooldownGroup,AdditionalCooldownGroup,MaxCharges,AttackType,Aspect,ActionProcStatus,,StatusGainSelf,UnlockLink,ClassJobCategory,AutoAttackBehaviour,,AffectsPosition,Omen,OmenAlt,IsPvP,,LogCastMessage,,LogMissMessage,LogActionMessage,,,,EquivalenceGroup,CanUseWhileMounted,,IsPlayerAction,,
offset,0,59,8,34,35,36,10,32,12,37,55,38,39,59,59,56,59,59,59,59,59,60,60,60,60,57,60,60,40,41,42,60,43,14,44,16,18,60,20,45,22,46,47,48,58,49,24,50,26,4,51,52,61,61,28,30,61,61,61,61,61,61,62,62,62,53,62,62,62,62,54
Int32,String,PackedBool0,UInt16,UInt8,UInt8,UInt8,UInt16,Int16,UInt16,UInt8,Int8,UInt8,UInt8,PackedBool1,PackedBool2,Int8,PackedBool3,PackedBool4,PackedBool5,PackedBool6,PackedBool7,PackedBool0,PackedBool1,PackedBool2,PackedBool3,Int8,PackedBool4,PackedBool5,UInt8,UInt8,UInt8,PackedBool6,UInt8,UInt16,UInt8,UInt16,UInt16,PackedBool7,UInt16,UInt8,UInt16,UInt8,UInt8,UInt8,Int8,UInt8,UInt16,UInt8,UInt16,UInt32,UInt8,UInt8,PackedBool0,PackedBool1,UInt16,UInt16,PackedBool2,PackedBool3,PackedBool4,PackedBool5,PackedBool6,PackedBool7,PackedBool0,PackedBool1,PackedBool2,UInt8,PackedBool3,PackedBool4,PackedBool5,PackedBool6,UInt8
0,"",False,405,0,0,0,0,0,0,0,-1,0,0,False,False,0,False,False,False,False,False,False,False,False,False,0,True,True,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,False,True,False,False,True,0,False,False,False,False,0
1,"Objet-clef",False,405,8,0,2,0,85,1875,0,0,0,0,False,False,3,False,False,False,True,True,True,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,True,False,False,0
2,"Interaction",False,405,8,0,1,0,0,1875,0,0,0,0,False,False,3,False,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
3,"Sprint",False,104,10,0,0,0,368,1875,0,0,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,600,56,0,0,0,0,0,0,0,0,1,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,True,False,False,0
4,"Monture",False,405,5,0,150,0,13302,1875,0,0,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,False,10,0,0,0,0,0,0,0,0,0,0,0,1,7,False,False,0,0,False,False,False,False,True,True,False,False,True,0,False,True,False,False,0
5,"Téléportation",False,111,11,0,1,1,164,1875,0,0,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,4,1,0,False,False,0,0,False,False,True,False,True,True,True,False,True,0,True,True,False,False,0
6,"Rapatriement",False,112,11,0,1,2,163,1875,0,0,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,False,50,0,9000,57,0,0,0,0,0,0,0,1,1,0,False,False,0,0,False,False,True,False,True,True,True,False,True,0,True,True,False,False,0
