key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
#,PacketIndex,Name,Description,OrderPriority,OneHandWeaponPercent,OffHandPercent,HeadPercent,ChestPercent,HandsPercent,WaistPercent,LegsPercent,FeetPercent,EarringPercent,NecklacePercent,BraceletPercent,RingPercent,TwoHandWeaponPercent,UnderArmorPercent,ChestHeadPercent,ChestHeadLegsFeetPercent,,LegsFeetPercent,HeadChestHandsLegsFeetPercent,ChestLegsGlovesPercent,ChestLegsFeetPercent,,,MeldParam[0],MeldParam[1],MeldParam[2],MeldParam[3],MeldParam[4],MeldParam[5],MeldParam[6],MeldParam[7],MeldParam[8],MeldParam[9],MeldParam[10],MeldParam[11],MeldParam[12],
offset,68,0,4,54,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,55,56,57,58,59,60,61,62,63,64,65,66,67,69
Int32,Int8,String,String,UInt8,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,PackedBool0
0,-1,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
1,0,"Force","Influence les dégâts physiques des épées, épées à deux mains, haches, armes de corps à corps, armes d'hast, katana, armes de faucheur, rapières, pistolames, bâtons, baguettes, pinceaux, grimoires, globes célestes, armes de sage et armes de mage bleu.",12,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,90,100,100,100,70,70,70,100,70,100,100,70,70,False
2,1,"Dextérité","Influence les dégâts physiques des dagues, lames jumelles, arcs et armes à feu et de jet.",13,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,90,70,70,70,100,70,70,100,70,100,70,100,100,False
3,2,"Vitalité","Influence les PV maximums.",14,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,90,100,100,100,100,90,90,100,90,100,100,100,100,False
4,3,"Intelligence","Influence la puissance magique offensive des DPS.",15,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,90,70,70,70,70,100,70,70,100,100,70,70,70,False
5,4,"Esprit","Influence la puissance magique offensive des soigneurs et la puissance de la magie curative.",16,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,90,70,70,70,70,70,100,70,100,100,70,70,70,False
6,5,"Piété","Accélère la régénération naturelle des PM. Applicable uniquement aux classes/jobs de soigneurs.",25,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,90,70,70,70,70,70,100,70,70,100,70,70,70,False
7,6,"PV","",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
8,7,"PM","",49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
9,8,"PT","",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
10,9,"PR","",35,20,20,20,20,20,0,20,40,250,250,250,130,20,20,40,80,0,40,100,60,60,40,40,100,100,100,100,100,100,100,100,100,100,100,100,100,False
11,10,"PS","",32,20,20,30,20,30,30,30,30,250,250,250,130,20,20,50,110,0,60,140,80,80,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,False
12,-1,"Dégâts physiques","",1,1000,0,0,0,0,0,0,0,0,0,0,0,1000,500,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,50,100,100,100,False
13,-1,"Dégâts magiques","",2,1000,0,0,0,0,0,0,0,0,0,0,0,1000,500,0,0,0,0,0,0,0,0,0,50,50,50,50,50,100,100,50,100,30,50,50,50,False
14,11,"Délai","",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
15,-1,"Effet supplémentaire : ","",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
16,-1,"Nombre d'attaques","",53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
17,-1,"Taux de blocage","",3,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,50,50,100,50,100,100,100,100,False
18,-1,"Blocage","",4,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,50,50,100,50,100,100,100,100,False
