key,0,1,2,3,4,5,6,7,8,9
#,BasePlate,TopBorder,BottomBorder,Backing,PatternOverlay,PortraitFrame,PlateFrame,Accent,SortKey,Name
offset,4,18,19,6,8,10,12,14,16,0
Int32,UInt16,UInt8,UInt8,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,String
0,0,0,0,0,0,0,0,0,0,"Personnalisé"
1,2,1,0,11,1,0,0,0,1,"Basique"
2,3,3,3,11,2,0,0,0,2,"Moderne"
3,9,8,8,18,0,0,0,0,3,"Stylé"
4,4,3,3,13,3,0,0,0,4,"Pop"
5,5,0,1,11,10,24,0,0,5,"Tank"
6,6,0,1,11,10,25,0,0,7,"DPS"
7,7,0,1,11,10,26,0,0,6,"Soigneur"
8,6,5,5,20,4,28,35,42,8,"Limsa Lominsa"
9,10,7,7,20,4,28,36,42,9,"Gridania"
10,9,4,4,20,4,28,37,42,10,"Ul'dah"
11,8,9,9,19,9,28,38,49,11,"Aventurier"
12,8,10,10,14,9,30,38,44,12,"Explorateur"
13,54,11,0,160,0,161,162,163,2500,"Abîme infini de Bahamut (fatal)"
14,55,12,0,164,0,165,166,167,2501,"Fantasmagorie d'Ultima (fatal)"
15,56,13,0,168,0,169,170,171,2502,"Odyssée d'Alexander (fatal)"
16,57,14,0,172,0,173,174,175,2503,"Guerre du chant des dragons (fatal)"
17,3,0,0,0,176,177,0,0,2402,"Donjon à embranchements : Les canalisations sildiennes"
18,58,15,15,0,0,0,0,179,2315,"Quêtes des Omicrons"
19,60,0,0,0,0,0,191,0,13,"Motifs géométriques : cercles"
20,59,0,0,0,180,0,0,194,14,"Salon de thé"
21,61,16,16,0,0,0,0,196,15,"Musical"
22,63,21,21,0,0,0,0,257,2311,"Quêtes des Pixies"
23,64,22,22,0,0,0,0,258,2312,"Quêtes des Qitari"
24,65,23,23,0,0,0,0,259,2313,"Quêtes des Nains"
25,66,24,24,0,0,0,0,260,2314,"Quêtes des Arkasodaras"
26,67,25,25,0,0,0,0,261,2316,"Quêtes des Loporrites"
27,68,26,0,262,0,263,264,265,2504,"Protocole Oméga (fatal)"
28,69,0,0,0,0,296,0,0,2358,"Eurêka Orthos"
29,70,0,0,0,0,297,0,0,2359,"Enaretos"
30,71,0,0,0,0,0,298,0,2251,"Conte des quatre animaux sacrés"
31,72,0,0,0,0,0,299,301,2340,"Félicité insulaire 1"
32,73,0,0,0,0,0,300,302,2341,"Félicité insulaire 2"
33,74,27,27,0,0,0,0,333,2308,"Quêtes des Kojin"
34,75,28,28,0,0,0,0,334,2309,"Quêtes des Anantas"
35,76,29,29,0,0,0,0,335,2310,"Quêtes des Namazu"
36,77,0,0,354,0,336,337,338,2250,"La fin d'une ère"
37,78,30,0,0,0,0,339,340,3950,"10e anniversaire"
38,3,0,0,0,341,342,0,0,2403,"Donjon à embranchements : Le mont Rokkon"
39,79,31,0,343,0,344,345,346,2347,"Grand pêcheur"
40,80,32,0,347,0,348,349,350,2348,"Pêcheur de légendes"
41,81,33,33,351,0,0,352,353,2350,"Tuiles essentielles"
42,82,34,34,0,0,0,0,388,2305,"Quêtes des Vanu Vanu"
43,83,35,35,0,0,0,0,389,2306,"Quêtes des Gnathes"
44,84,36,36,0,0,0,0,390,2307,"Quêtes des Mogs"
45,85,37,0,0,0,391,392,393,2252,"Le Mythe éorzéen : Halone"
46,86,37,0,0,0,391,392,393,2253,"Le Mythe éorzéen : Menphina"
47,87,37,0,0,0,391,392,393,2254,"Le Mythe éorzéen : Thaliak"
48,88,37,0,0,0,391,392,393,2255,"Le Mythe éorzéen : Nymeia"
49,89,37,0,0,0,391,392,393,2256,"Le Mythe éorzéen : Llymlaen"
50,90,37,0,0,0,391,392,393,2257,"Le Mythe éorzéen : Oschon"
51,91,37,0,0,0,391,392,393,2258,"Le Mythe éorzéen : Byregot"
52,92,37,0,0,0,391,392,393,2259,"Le Mythe éorzéen : Rhalgr"
53,93,37,0,0,0,391,392,393,2260,"Le Mythe éorzéen : Azeyma"
54,94,37,0,0,0,391,392,393,2261,"Le Mythe éorzéen : Nald'thal"
55,95,37,0,0,0,391,392,393,2262,"Le Mythe éorzéen : Nophica"
56,96,37,0,0,0,391,392,393,2263,"Le Mythe éorzéen : Althyk"
57,97,38,0,0,0,394,395,0,2242,"La Tarufacture de Tataru"
58,3,0,0,0,396,397,0,0,2404,"Donjon à embranchements : L'île d'Aloalo"
59,98,39,0,398,0,399,400,401,2351,"Aventures imaginaires de Khloe"
60,99,40,0,402,0,403,404,405,2352,"Touché-tourné"
61,100,41,0,406,0,0,0,0,3951,"Blunderville 1"
62,101,42,0,407,0,0,0,0,3952,"Blunderville 2"
63,102,43,0,408,0,0,0,0,3953,"Blunderville 3"
64,103,44,0,409,0,0,410,411,3954,"Yo-kai Watch"
65,104,45,45,0,0,0,0,452,2302,"Quêtes des Kobolds"
66,105,46,46,0,0,0,0,453,2301,"Quêtes des Sylphes"
67,106,47,47,0,0,0,0,454,2300,"Quêtes des Amalj'aa"
68,107,48,48,0,0,0,0,455,2303,"Quêtes des Sahuagins"
69,108,49,49,0,0,0,0,456,2304,"Quêtes des Ixali"
70,109,50,0,457,0,458,459,0,1036,"Tuliyollal 1"
71,110,51,0,460,0,461,462,0,1037,"Tuliyollal 2"
72,111,52,0,463,0,464,465,0,1038,"Solution Neuf 1"
73,112,53,0,466,0,467,468,0,1039,"Solution Neuf 2"
74,114,55,0,497,0,498,499,0,1020,"Ishgard 1"
75,115,56,0,500,0,501,502,0,1021,"Ishgard 2"
76,116,57,0,503,0,504,505,0,1022,"Idyllée 1"
77,117,58,0,506,0,507,508,0,1023,"Idyllée 2"
78,118,59,0,509,0,510,511,0,1024,"Kugane 1"
79,119,60,0,512,0,513,514,0,1025,"Kugane 2"
80,120,61,0,515,0,516,517,0,1026,"L'Étendue de Rhalgr 1"
81,121,62,0,518,0,519,520,0,1027,"L'Étendue de Rhalgr 2"
82,122,63,0,521,0,522,523,0,1028,"Cristarium 1"
83,123,64,0,524,0,525,526,0,1029,"Cristarium 2"
