key,0,1,2,3,4,5,6,7,8
#,Name,CompanyCraftDraftCategory,RequiredItem[0],RequiredItemCount[0],RequiredItem[1],RequiredItemCount[1],RequiredItem[2],RequiredItemCount[2],Order
offset,0,20,8,21,12,22,16,23,4
Int32,String,UInt8,Int32,UInt8,Int32,UInt8,Int32,UInt8,UInt32
0,"prototype d'aéronef II",1,12923,6,0,0,0,0,1
1,"prototype d'aéronef III",1,12924,10,12923,4,0,0,2
2,"prototype d'aéronef IV",1,12925,10,12923,4,0,0,3
3,"prototype d'aéronef V",1,12926,14,12924,4,0,0,4
4,"prototype d'aéronef VI",1,12927,14,12925,4,12923,4,5
5,"prototype de restaurant",2,12920,10,0,0,0,0,1
6,"prototype de boutique d'armures",2,12921,10,0,0,0,0,2
7,"prototype de boutique d'armes",2,12922,9,12921,8,0,0,3
8,"prototype de tour éthéréen II",0,12928,6,0,0,0,0,1
9,"prototype de tour éthéréen III",0,12928,6,0,0,0,0,2
10,"prototype de tour éthéréen IV",0,12928,6,0,0,0,0,3
11,"prototype de tour éthéréen V",0,12929,4,12922,2,0,0,4
12,"prototype de tour éthéréen VI",0,12929,4,12922,2,0,0,5
13,"prototype de tour éthéréen VII",0,12929,4,12922,2,0,0,6
14,"prototype de base de tour éthéréen II",0,12929,6,12922,3,12920,8,7
15,"prototype de maison mog",2,12922,11,12921,10,12923,8,4
16,"prototype de base de tour éthéréen III",0,12929,8,12922,5,12920,10,8
17,"prototype d'aéronef VII",1,12927,18,12926,8,12925,8,6
18,"prototype de base de tour éthéréen IV",0,12929,10,12922,7,12920,12,9
19,"prototype de base de tour éthéréen V",0,12929,12,12922,9,12920,14,10
20,"prototype de maison chocobo",2,12922,14,12921,12,12923,10,5
21,"prototype de maison païssa",2,12922,16,12921,14,12923,12,6
22,"prototype de maison Carbuncle",2,12922,18,12921,16,12923,14,7
23,"prototype de château hingashien",2,12922,20,12921,18,12923,16,8
24,"prototype de sous-marin I",1,5374,6,0,0,0,0,7
25,"prototype de sous-marin II",1,12924,10,12923,4,0,0,8
26,"prototype de sous-marin III",1,12925,10,12923,4,0,0,9
27,"prototype de maison loutre choute",2,12922,21,12921,19,12923,17,9
28,"prototype de sous-marin IV",1,12926,14,12924,4,0,0,10
29,"prototype de sous-marin V",1,12927,14,12925,4,12923,4,11
30,"prototype de sous-marin VI",1,26528,18,12926,8,12924,8,12
31,"prototype de maison à colombages",2,12922,18,29590,10,26528,8,10
32,"prototype de maison enclume",2,12922,18,29590,10,26528,8,10
33,"prototype de maison fleurie",2,12922,18,29590,10,26528,8,10
34,"prototype de forge",2,12922,18,29590,10,26528,8,10
35,"prototype de maison café",2,12922,18,29590,10,26528,8,10
36,"prototype de maison en pain d'épice",2,29590,18,37083,10,26528,8,10
37,"prototype d'auberge orientale",2,29590,18,37083,10,26528,8,10
38,"prototype de pavillon champêtre",2,29590,18,37083,10,26528,8,10
