key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
#,Name,Category,,Description,DutyType,RequiredExVersion,,IsGoldSaucer,IsInDutyFinder,OpenRule,IsPvP,RequiredLevel,SyncedFromLevel,ItemLevelRequired,AppliesHighestAverageDutyItemLevel,ItemLevelSync,Image,ContentRouletteRoleBonus,RewardTomeA,RewardTomeB,RewardTomeC,,,,SortKey,ClassJobCategory,ContentMemberType,,QueueMaxPlayers,CompletionArrayIndex,,ContentType,,TimeLimit,TimeLimitMax,AllowConsumableItems,AllowPhoenixDown,AllowReplacement,RatedMatch,Rated,LootModeType,InstanceContent,,,,,IsRegistrationAllowedFromAnyDataCenter,,PenaltyTimestampArrayIndex
offset,0,4,8,12,16,54,20,72,72,55,72,56,57,40,72,42,24,58,44,46,48,28,50,32,59,60,61,62,63,71,72,64,65,66,67,72,72,72,73,73,68,52,73,69,73,73,73,36,70
Int32,String,String,String,String,String,UInt8,UInt32,PackedBool0,PackedBool1,UInt8,PackedBool2,UInt8,UInt8,UInt16,PackedBool3,UInt16,UInt32,UInt8,UInt16,UInt16,UInt16,UInt32,UInt16,UInt32,UInt8,UInt8,UInt8,UInt8,UInt8,Int8,PackedBool4,UInt8,UInt8,UInt8,UInt8,PackedBool5,PackedBool6,PackedBool7,PackedBool0,PackedBool1,UInt8,UInt16,PackedBool2,UInt8,PackedBool3,PackedBool4,PackedBool5,Int32,UInt8
0,"","","","","",0,0,False,False,1,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,108,0,0,0,-1,False,0,0,0,0,True,False,True,False,False,0,0,False,0,False,True,True,0,0
1,"Mission aléatoire : gain de niveaux","Gain de niveaux","","Cette option sélectionne aléatoirement une mission parmi les donjons et défis pour petite équipe auxquels vous avez accès, avec une plus grande récompense en cas de réussite.<hex:02100103><hex:02100103>* Le bonus d'expérience et de gils est basé sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.<hex:02100103>* Le nombre de sceaux de grande compagnie reçu dépend du niveau de la classe ou du job.<hex:02100103>* La récompense de mission aléatoire est limitée à une fois par jour. Le compteur est réinitialisé tous les jours à <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>h (temps réel).<hex:02100103>* Le bonus de rôle en nombre insuffisant est attribué en fonction des rôles manquants lors de l'enregistrement.<hex:02100103>* Le bonus de rôle en nombre insuffisant n'est pas attribué dans le cas d'une petite équipe déjà formée.","Type de missions : donjons et défis pour petite équipe",0,0,False,True,1,False,16,16,0,False,0,112034,1,0,100,20,0,0,0,4,142,2,0,0,0,True,1,0,90,0,True,True,True,False,False,2,0,False,0,False,True,True,0,0
2,"Mission aléatoire : donjons avancés","Donjons avancés","","Cette option sélectionne aléatoirement une mission pour petite équipe parmi les donjons de niveaux 50, 60, 70, 80 et 90 auxquels vous avez accès, avec une plus grande récompense en cas de réussite.<hex:02100103><hex:02100103>* Les bonus de points d'expérience et de gils sont basés sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.<hex:02100103>* La récompense de mission aléatoire est limitée à une fois par jour. Le compteur est réinitialisé tous les jours à <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>h (temps réel).<hex:02100103>* Le bonus de rôle en nombre insuffisant est attribué en fonction des rôles manquants lors de l'enregistrement.<hex:02100103>* Le bonus de rôle en nombre insuffisant n'est pas attribué dans le cas d'une petite équipe déjà formée.","Type de missions : donjons de niveaux 50, 60, 70, 80 et 90 pour petite équipe",0,0,False,True,1,False,50,50,45,False,0,112035,2,100,120,0,0,0,0,3,142,2,0,0,1,True,1,0,90,0,True,True,True,False,False,2,0,False,0,False,True,True,0,0
3,"Mission aléatoire : épopée","Épopée","","Cette option sélectionne aléatoirement une mission parmi celles de l'épopée auxquelles vous avez accès, avec une plus grande récompense en cas de réussite.<hex:02100103><hex:02100103>* Les scènes cinématiques de ces missions de l'épopée ne peuvent pas être passées.<hex:02100103>* Le bonus d'expérience et de gils est basé sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.<hex:02100103>* La récompense de mission aléatoire est limitée à une fois par jour. Le compteur est réinitialisé tous les jours à <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>h (temps réel).<hex:02100103>* Le bonus de rôle en nombre insuffisant est attribué en fonction des rôles manquants lors de l'enregistrement.<hex:02100103>* Le bonus de rôle en nombre insuffisant n'est pas attribué dans le cas d'une petite équipe déjà formée.","Type de missions : donjons pour équipe complète",0,0,False,True,1,False,50,50,42,False,0,112036,3,350,100,50,0,0,0,6,142,2,0,0,2,True,1,0,60,120,True,True,True,False,False,2,0,False,0,False,True,True,0,0
4,"Mission aléatoire : opérations de guilde","Opérations de guilde","","Cette option sélectionne aléatoirement une mission parmi les opérations de guilde auxquelles vous avez accès. Si vous la réussissez, vous gagnerez une plus grande récompense que si vous y aviez participé en la désignant.<hex:02100103><hex:02100103>* Le bonus d'expérience et de gils est basé sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.<hex:02100103>* Le nombre de sceaux de grande compagnie reçu dépend du niveau de la classe ou du job.<hex:02100103>* La récompense de mission aléatoire est limitée à une fois par jour. Le compteur est réinitialisé tous les jours à <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>h (temps réel).<hex:02100103>* Le bonus de rôle en nombre insuffisant est attribué en fonction des rôles manquants lors de l'enregistrement.<hex:02100103>* Le bonus de rôle en nombre insuffisant n'est pas attribué dans le cas d'une petite équipe déjà formée.<hex:02100103>* L'enregistrement en petite équipe ne donne accès qu'aux opérations de guilde prévues pour 4 joueurs et peut être fait sans restriction quant aux rôles.<hex:02100103>* L'utilisation de queues de phénix est impossible au cours de certaines missions.","Type de missions : opérations de guilde",0,0,False,True,1,False,10,10,0,False,0,112037,4,0,0,0,0,0,0,7,142,3,0,0,3,True,1,0,30,0,True,True,True,False,False,2,0,False,0,False,True,True,0,0
5,"Mission aléatoire : expert","Expert","","Cette option sélectionne aléatoirement une mission parmi les donjons experts que vous avez terminés, avec une plus grande récompense en cas de réussite.<hex:02100103><hex:02100103>* Le bonus de gils est basé sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.<hex:02100103>* La récompense de mission aléatoire est limitée à une fois par jour. Le compteur est réinitialisé tous les jours à <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>h (temps réel).<hex:02100103>* Le bonus de rôle en nombre insuffisant est attribué en fonction des rôles manquants lors de l'enregistrement.<hex:02100103>* Le bonus de rôle en nombre insuffisant n'est pas attribué dans le cas d'une petite équipe déjà formée.","Type de missions : donjons experts pour petite équipe",5,0,False,True,2,False,100,100,735,False,0,112057,5,0,60,40,0,0,0,1,142,2,0,0,4,True,1,0,90,0,True,True,True,False,False,2,0,False,0,False,True,True,0,0
6,"Mission aléatoire : défis","Défis","","Cette option sélectionne aléatoirement une mission parmi les défis pour équipe complète auxquels vous avez accès, avec une plus grande récompense en cas de réussite.<hex:02100103><hex:02100103>* La récompense de mission aléatoire est limitée à une fois par jour. Le compteur est réinitialisé tous les jours à <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>h (temps réel).<hex:02100103>* Le bonus de rôle en nombre insuffisant est attribué en fonction des rôles manquants lors de l'enregistrement.<hex:02100103>* Le bonus de rôle en nombre insuffisant n'est pas attribué dans le cas d'une petite équipe déjà formée.","Type de missions : défis pour équipe complète",0,0,False,True,1,False,50,50,90,False,0,112056,6,0,60,15,0,0,0,5,142,3,0,0,5,True,1,0,60,0,True,False,True,False,False,2,0,False,0,False,True,True,0,0
