key,0,1,2,3,4,5
#,Name,Icon,CastTime,StartAnimation,LoopAnimation,EndAnimation
offset,0,4,12,6,8,10
Int32,String,UInt16,UInt8,UInt16,UInt16,UInt16
0,"",1,0,0,0,0
1,"Interaction",19603,2,80,81,82
2,"Interaction",19603,2,80,81,82
3,"Interaction",19603,5,80,81,82
4,"Interaction",19603,10,80,81,82
5,"Interaction",19603,15,80,81,82
6,"Interaction",19603,2,80,81,82
7,"Interaction",19603,5,80,81,82
8,"Interaction",19603,10,80,81,82
9,"Interaction",19603,15,80,81,82
10,"En attente",19604,2,175,176,177
11,"En attente",19604,2,175,176,177
12,"En attente",19604,5,175,176,177
13,"En attente",19604,10,175,176,177
14,"Interaction",19603,2,80,81,82
15,"Interaction",19603,2,80,81,82
16,"Interaction",19603,5,80,81,82
17,"Interaction",19603,10,80,81,82
18,"Interaction",19603,2,80,81,82
19,"Harmonisation",19605,5,169,170,171
20,"Interaction",19603,1,80,81,82
21,"Interaction",19603,2,80,81,82
22,"Interaction",19603,5,80,81,82
23,"Interaction",19603,1,172,173,174
24,"Interaction",19603,2,172,173,174
25,"Interaction",19603,5,172,173,174
26,"Aide",19603,2,184,185,186
27,"Sifflement",19604,2,178,179,180
28,"Surveille",19604,10,175,176,177
29,"Enregistrement",19603,1,172,173,174
30,"Sifflement",19603,2,178,179,180
31,"Interaction",19603,2,181,182,183
32,"Interaction",19603,5,181,182,183
33,"Interaction",19603,10,181,182,183
34,"Aide",19603,2,184,185,186
35,"Aide",19603,5,184,185,186
36,"Aide",19603,10,184,185,186
37,"Interaction",19603,2,178,179,180
38,"Aide",19603,2,172,173,174
39,"Aide",19603,5,172,173,174
40,"Aide",19603,10,172,173,174
41,"Interaction",19604,10,175,176,177
42,"Délie",19603,10,181,182,183
43,"Interaction",19603,10,172,173,174
44,"Interaction",19603,10,184,185,186
45,"Interaction",19603,2,172,173,174
46,"Interaction",19603,5,172,173,174
47,"Interaction",19603,10,172,173,174
48,"Effrayer",19603,5,181,182,183
49,"Interaction",19603,5,181,182,183
50,"Observation",19604,5,175,176,177
51,"Ouverture de la valve",19603,5,181,182,183
52,"Interaction",19603,1,80,81,82
53,"Interaction",19603,2,181,182,183
54,"Interaction",19603,5,181,182,183
55,"Interaction",19603,10,181,182,183
56,"Surveille",19604,5,175,176,177
57,"Occupation",19603,2,172,173,174
58,"Occupation",19603,5,172,173,174
59,"Occupation",19603,10,172,173,174
60,"Communion",19603,5,172,173,174
61,"Interaction",19603,2,0,0,0
62,"Interaction",19603,8,80,81,82
63,"Interaction",19603,5,0,0,0
64,"Interaction",19603,0,0,0,0
65,"Récupération de céruleum",19603,3,80,81,82
66,"Occupation",19603,5,172,173,174
67,"Manœuvre",19603,2,172,173,174
68,"Observation",19603,2,175,176,177
69,"Interaction",19603,1,172,173,174
70,"Dépeçage",19603,5,181,182,183
71,"Invocation",19603,2,172,173,174
72,"Soin",19603,5,184,185,186
73,"Magie curative",19673,5,0,5704,5705
74,"Ramasser",19603,3,80,81,82
75,"Obtention",19603,4,80,81,82
76,"Transformation",19603,7,0,7347,151
77,"Assemblage",19603,10,0,7346,151
78,"Alimentation",19603,10,172,173,174
79,"Passage de pacte",19603,6,80,81,82
80,"Chargement",19603,3,0,4189,12632
81,"Concassage",19603,10,0,7364,151
82,"Mélangeage",19603,7,0,7365,151
83,"Balayage",19603,10,0,7366,151
84,"Obtention",19603,4,184,185,186
85,"Réparation",19603,10,0,7399,151
86,"Toucher la statue",19603,2,172,173,174
87,"Construction",19603,10,0,7394,151
88,"Découpage",19603,7,181,182,183
89,"Obtention",19603,10,80,81,82
90,"Confection",19603,10,0,7421,150
91,"Transport",19603,3,80,81,82
92,"Chargement",19603,2,0,4189,12632
93,"Ouverture",19603,5,80,81,82
94,"Monte",19603,2,172,173,174
95,"Distribution",19603,3,0,4189,12632
96,"Pose d'explosif",19603,5,181,182,183
97,"Bon appétit",19603,9,0,8436,0
98,"Bon appétit",19603,3,0,8436,0
99,"Remplissage de carburant",19603,3,0,208,12632
100,"Concentration",19603,5,0,155,0
101,"Apaisement",19603,5,172,173,174
102,"Partage d'éther",19603,5,172,173,174
103,"Sifflement",19603,3,178,179,180
104,"Aide",19603,5,181,182,183
105,"Interaction",19603,3,181,182,183
106,"Soin",19603,5,172,173,174
107,"Décharge d'éther",19603,5,169,170,171
108,"Apaisement",19603,5,11987,11988,11989
109,"Ramassage",19603,1,0,0,0
110,"Livraison",19603,3,172,173,174
111,"Forage vertical",19603,6,0,12261,12481
112,"Forage horizontal",19603,6,0,12260,12474
113,"Aspiration",19603,6,0,12259,12474
114,"Soudage",19603,6,0,12258,12474
115,"Obtention de matériau",19603,4,172,173,12473
116,"Manufacture de produit",19603,5,181,182,12480
117,"Ramassage",19603,6,80,81,82
118,"Stockage",19603,3,0,4189,12474
119,"Récupération",19603,4,181,182,12470
120,"Recharge",19603,6,172,173,12471
121,"Remise en place",19603,4,181,182,12472
122,"Ouvrage",19603,6,0,7394,12474
123,"Obtention d'ingrédient",19603,1,181,182,183
124,"Interaction",19612,2,181,182,183
125,"Soudage",19603,6,0,12425,12474
126,"Refroidissement",19603,5,0,12424,12468
127,"Approvisionnement",19603,5,172,173,174
128,"Refroidissement",19603,5,0,12467,12469
129,"Forage vertical",19603,6,0,12261,12482
130,"Dépeçage",19603,3,12483,12484,12485
131,"",0,0,0,0,0
132,"Picto Ballons",19730,3,12520,12521,12522
133,"Picto Nixe",19730,3,12523,12524,12525
134,"Creusage",19603,5,0,12534,151
135,"Aspersion",19603,5,0,12537,12538
136,"Ramassage",19603,6,80,81,12535
137,"Levage",19603,4,181,182,12539
138,"Levage",19603,4,181,182,12542
139,"Canalisation éthérée",19603,5,12557,12558,12541
140,"Canalisation éthérée",19603,5,12559,12560,12544
141,"Forage vertical",19603,6,0,12261,12545
142,"Approvisionnement",19603,5,172,173,174
143,"",0,0,0,0,0
144,"",0,0,0,0,0
