key,0,1,2,3,4,5,6,7,8,9
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,NameRank,
offset,0,16,4,17,18,19,20,21,8,12
Int32,String,Int8,String,Int8,Int8,Int8,Int8,Int8,String,String
0,"",0,"",0,0,0,0,0,"",""
1,"soldat 3e classe",0,"soldats 3e classe",0,0,0,0,0,"soldat","soldat 3e classe des sables"
2,"soldat 2e classe",0,"soldats 2e classe",0,0,0,0,0,"soldat","soldat 2e classe des sables"
3,"soldat 1re classe",0,"soldats 1re classe",0,0,0,0,0,"soldat","soldat 1re classe des sables"
4,"caporal",0,"caporaux",0,0,0,0,0,"caporal","caporal des sables"
5,"adjudant",0,"adjudants",0,1,0,0,0,"adjudant","adjudant des sables"
6,"sergent",0,"sergents",0,0,0,0,0,"sergent","sergent des sables"
7,"sergent-major",0,"sergents-majors",0,0,0,0,0,"sergent-major","sergent-major des sables"
8,"major",0,"majors",0,0,0,0,0,"major","major des sables"
9,"sous-lieutenant",0,"sous-lieutenants",0,0,0,0,0,"sous-lieutenant","sous-lieutenant des sables"
10,"lieutenant",0,"lieutenants",0,0,0,0,0,"lieutenant","lieutenant des sables"
11,"capitaine",0,"capitaines",0,0,0,0,0,"capitaine","capitaine des sables"
12,"sous-commandant",0,"sous-commandants",0,0,0,0,0,"sous-commandant","sous-commandant des sables"
13,"commandant",0,"commandants",0,0,0,0,0,"commandant","commandant des sables"
14,"colonel",0,"colonels",0,0,0,0,0,"colonel","colonel des sables"
15,"sous-maréchal",0,"sous-maréchaux",0,0,0,0,0,"sous-maréchal","sous-maréchal des sables"
16,"vice-maréchal",0,"vice-maréchaux",0,0,0,0,0,"vice-maréchal","vice-maréchal des sables"
17,"maréchal",0,"maréchaux",0,0,0,0,0,"maréchal","maréchal des sables"
18,"grand maréchal",0,"grand maréchaux",0,0,0,0,0,"grand maréchal","grand maréchal des sables"
19,"général",0,"généraux",0,0,0,0,0,"général","général des sables"
