key,0
#,Text
offset,0
Int32,String
0,""
1,"Chaîne ≧ <hex:022003E80203>"
2,"Force ≧ <hex:022003E80203>"
3,"Dextérité ≧ <hex:022003E80203>"
4,"Vitalité ≧ <hex:022003E80203>"
5,"Intelligence ≧ <hex:022003E80203>"
6,"Esprit ≧ <hex:022003E80203>"
7,"Piété ≧ <hex:022003E80203>"
8,"<hex:0212023903> ≧ <hex:022003E80203>"
9,"<hex:0212023A03> ≧ <hex:022003E80203>"
10,"<hex:0212023B03> ≧ <hex:022003E80203>"
11,"<hex:0212023C03> ≧ <hex:022003E80203>"
12,"<hex:0212023D03> ≧ <hex:022003E80203>"
13,"<hex:0212023E03> ≧ <hex:022003E80203>"
14,"Collecte ≧ <hex:022003E80203>"
15,"Savoir-faire ≧ <hex:022003E80203>"
16,"Collecte < <hex:022003E80203>"
17,"Savoir-faire <hex:02080BE803FF04>≧<hex:FF02><<hex:03> <hex:022003E80203>"
18,"Requiert <hex:02280CFF07>Status<hex:E8020103>"
19,"PR ≧ <hex:022003E80203>"
20,"<hex:02280AFF05>Item<hex:E8020A03> <hex:02085FE803FF29><hex:020825FF0E><hex:02280AFF05>Item<hex:E8020703><hex:FF0A>équipée<hex:FF09>équipé<hex:03><hex:FF31><hex:02082DFF0E><hex:02280AFF05>Item<hex:E8020703><hex:FF0E>non équipée<hex:FF0D>non équipé<hex:03><hex:03>"
