key,0
#,
offset,0
Int32,String
0,""
1,"Candidature motivée par le courage démontré par l'officier dans des lieux réputés par<hex:02160103>ti<hex:02160103>cu<hex:02160103>liè<hex:02160103>rement dangereux à travers Éorzéa."
2,"Candidature motivée par le dévouement démontré par l'officier en servant sa grande compagnie et les citoyens."
3,"Candidature motivée par l'ardeur et l'efficacité démontrées par l'officier lors de combats contre ses pairs."
4,"Candidature motivée par la réactivité démontrée par l'officier lors d'incidents soudains et im<hex:02160103>pré<hex:02160103>vi<hex:02160103>si<hex:02160103>bles."
5,"Candidature motivée par le grand soin apporté par l'officier à la confection d'objets artisanaux divers."
6,"Candidature motivée par la perspicacité démontrée par l'officier lors de la recherche de divers matériaux."
7,"Candidature motivée par la capacité démontrée par l'officier à se divertir dans la plupart de ses activités."
