key,0
#,String
offset,0
Int32,String
0,""
1,"Jauge du serment"
2,"L'action <hex:024804F201F403><hex:024904F201F503>Volonté de fer<hex:0249020103><hex:0248020103> fait apparaître un symbole indiquant que votre génération d'inimitié est considérablement augmentée<hex:021D0103>; les ennemis font plus facilement de vous leur cible, ce qui vous permet de mieux protéger vos alliés."
3,"La description des interfaces de job peut être consultée depuis la fenêtre Actions et traits."
4,"Jauge du serment"
5,"L'obtention du trait <hex:024804F201F403><hex:024904F201F503>Maîtrise du serment<hex:0249020103><hex:0248020103> fait apparaître à l'écran la <hex:024804F201F603><hex:024904F201F703>Jauge du serment<hex:0249020103><hex:0248020103> qui indique aussi si Volonté de fer est actif. Votre serment se renforce lorsque vos attaques automatiques touchent vos ennemis et permet de lancer <hex:024804F201F403><hex:024904F201F503>Schiltron<hex:0249020103><hex:0248020103>, <hex:024804F201F403><hex:024904F201F503>Couverture<hex:0249020103><hex:0248020103> (nv 45) et <hex:024804F201F403><hex:024904F201F503>Intervention<hex:0249020103><hex:0248020103> (nv 62)."
6,"Jauge de la bête"
7,"L'action <hex:024804F201F403><hex:024904F201F503>Défi<hex:0249020103><hex:0248020103> fait apparaître un symbole indiquant que votre génération d'inimitié est considérablement augmentée<hex:021D0103>; les ennemis font plus facilement de vous leur cible, ce qui vous permet de mieux protéger vos alliés."
8,"Jauge de la bête"
9,"La <hex:024804F201F603><hex:024904F201F703>Jauge de la bête<hex:0249020103><hex:0248020103> indique le niveau d'éveil de la bête sauvage qui sommeille en vous. La jauge se remplit au fur et à mesure que vous utilisez certaines actions, et permet d'en lancer de plus puissantes, comme <hex:024804F201F403><hex:024904F201F503>Bête intérieure<hex:0249020103><hex:0248020103> ou <hex:024804F201F403><hex:024904F201F503>Cyclone de fer<hex:0249020103><hex:0248020103> (nv 45)."
10,"Jauge de sang"
11,"L'action <hex:024804F201F403><hex:024904F201F503>Férocité<hex:0249020103><hex:0248020103> fait apparaître un symbole indiquant que votre génération d'inimitié est considérablement augmentée<hex:021D0103>; les ennemis font plus facilement de vous leur cible, ce qui vous permet de mieux protéger vos alliés."
12,"Jauge de ténèbres intérieures"
13,"Ce compte à rebours violet indique combien de temps vous pouvez encore bénéficier de <hex:024804F201F403><hex:024904F201F503>Ténèbres intérieures<hex:0249020103><hex:0248020103>, un effet qui augmente les dégâts que vous infligez. Cet effet peut vous être procuré grâce à <hex:024804F201F403><hex:024904F201F503>Déluge de ténèbres<hex:0249020103><hex:0248020103> ou <hex:024804F201F403><hex:024904F201F503>Tranchant de ténèbres<hex:0249020103><hex:0248020103> (nv 40)."
14,"Jauge de sang"
15,"L'obtention du trait <hex:024804F201F403><hex:024904F201F503>Sang noir<hex:0249020103><hex:0248020103> fait apparaître à l'écran la <hex:024804F201F603><hex:024904F201F703>Jauge de sang<hex:0249020103><hex:0248020103> qui peut être remplie en utilisant diverses actions. L'énergie qu'elle contient permet de déclencher des actions comme <hex:024804F201F403><hex:024904F201F503>Marée de sang<hex:0249020103><hex:0248020103> ou <hex:024804F201F403><hex:024904F201F503>Quietus<hex:0249020103><hex:0248020103> (nv 64)."
16,"Jauge de ténèbres intérieures"
17,"Ce symbole indique que vous bénéficiez d'<hex:024804F201F403><hex:024904F201F503>Arts ténébreux<hex:0249020103><hex:0248020103>, un effet octroyé lorsque le bouclier conféré par <hex:024804F201F403><hex:024904F201F503>Nuit noirissime<hex:0249020103><hex:0248020103> a absorbé tous les dégâts qu'il pouvait encaisser et disparaît. Sous cet effet, le prochain <hex:024804F201F403><hex:024904F201F503>Déluge de ténèbres<hex:0249020103><hex:0248020103> ou <hex:024804F201F403><hex:024904F201F503>Tranchant de ténèbres<hex:0249020103><hex:0248020103> ne consomme aucun PM."
18,"Jauge de ténèbres intérieures"
19,"Ce compte à rebours rouge indique combien de temps votre part obscure invoquée grâce à <hex:024804F201F403><hex:024904F201F503>Ombre vivante<hex:0249020103><hex:0248020103> peut encore se battre à vos côtés."
20,"Canne des soins"
21,"La <hex:024804F201F603><hex:024904F201F703>Canne des soins<hex:0249020103><hex:0248020103> indique le nombre de <hex:024804F201F403><hex:024904F201F503>Lys<hex:0249020103><hex:0248020103> dont vous bénéficiez. Ils éclosent au bout d'un certain temps passé en combat, et peuvent être utilisés afin de lancer <hex:024804F201F403><hex:024904F201F503>Offrande de réconfort<hex:0249020103><hex:0248020103> et <hex:024804F201F403><hex:024904F201F503>Offrande de ravissement<hex:0249020103><hex:0248020103> (nv 76)."
22,"Canne des soins"
23,"Certaines actions consommant des <hex:024804F201F403><hex:024904F201F503>Lys<hex:0249020103><hex:0248020103> peuvent faire progresser la floraison d'un <hex:024804F201F403><hex:024904F201F503>Lys de sang<hex:0249020103><hex:0248020103> d'un degré. Une fois le troisième degré atteint, le <hex:024804F201F403><hex:024904F201F503>Lys de sang<hex:0249020103><hex:0248020103> éclot et peut être utilisé pour lancer <hex:024804F201F403><hex:024904F201F503>Offrande de misère<hex:0249020103><hex:0248020103>."
24,"Jauge de flux d'éther"
25,"La <hex:024804F201F603><hex:024904F201F703>Jauge de flux d'éther<hex:0249020103><hex:0248020103> indique le nombre de degrés restants de l'effet procuré par l'action <hex:024804F201F403><hex:024904F201F503>Flux d'éther<hex:0249020103><hex:0248020103>."
26,"Jauge d'éther féerique"
27,"La <hex:024804F201F603><hex:024904F201F703>Jauge d'éther féerique<hex:0249020103><hex:0248020103> indique le pouvoir de votre fée. Au cours des combats où votre fée est invoquée, cette ressource augmente au fur et à mesure que vous utilisez des actions consommant un degré de <hex:024804F201F403><hex:024904F201F503>Flux d'éther<hex:0249020103><hex:0248020103> comme <hex:024804F201F403><hex:024904F201F503>Loi de revivification<hex:0249020103><hex:0248020103> ou <hex:024804F201F403><hex:024904F201F503>Traité de l'excogitation<hex:0249020103><hex:0248020103>. En revanche, elle diminue à chaque utilisation de <hex:024804F201F403><hex:024904F201F503>Pacte d'éther<hex:0249020103><hex:0248020103>."
28,"Jauge d'éther féerique"
29,"Vous pouvez renvoyer votre fée Eos et invoquer Séraphin à sa place qui se bat à vos côtés pendant un temps limité indiqué sur la <hex:024804F201F603><hex:024904F201F703>Jauge d'éther féerique<hex:0249020103><hex:0248020103>. Votre fée revient dès que Séraphin disparait."
30,"Table des arcanes"
