key,0,1,2,3,4
#,Type,,,,Text
offset,6,7,4,8,0
Int32,UInt8,UInt8,UInt16,PackedBool0,String
0,0,0,0,False,""
1,0,0,0,False,""
2,0,0,0,False,""
3,0,0,0,False,""
4,0,0,0,False,""
5,1,0,0,True,""
6,1,0,0,True,""
7,1,0,0,True,""
8,1,0,0,True,""
9,1,0,0,True,""
10,1,0,0,True,""
11,1,0,0,True,""
12,2,1,1,True,"<hex:02094CE802FF20>Esplanade des démunis, phase 1<hex:FF27>N°1 : Esplanade des démunis, phase 1<hex:03>"
13,2,1,2,False,"<hex:02094AE802FF1F>On recherche des artisans<hex:021D0103>!<hex:FF26>N°2 : On recherche des artisans<hex:021D0103>!<hex:03>"
14,2,4,3,True,"<hex:02094CE802FF20>Esplanade des démunis, phase 2<hex:FF27>N°3 : Esplanade des démunis, phase 2<hex:03>"
15,2,4,4,False,"<hex:020950E802FF22>Nouveaux ouvrages collectifs<hex:021D0103>!<hex:FF29>N°4 : Nouveaux ouvrages collectifs<hex:021D0103>!<hex:03>"
16,2,7,5,True,"<hex:02094CE802FF20>Esplanade des démunis, phase 3<hex:FF27>N°5 : Esplanade des démunis, phase 3<hex:03>"
17,2,7,6,False,"<hex:020956E802FF25>Contribuez au projet de Lizbeth<hex:021D0103>!<hex:FF2C>N°6 : Contribuez au projet de Lizbeth<hex:021D0103>!<hex:03>"
18,2,10,7,True,"<hex:020964E802FF2C>Fin des travaux à l'Esplanade des démunis<hex:FF33>N°7 : Fin des travaux à l'Esplanade des démunis<hex:03>"
19,3,1,2,True,"Les dons d'objets"
20,3,1,3,True,"Les ouvrages collectifs"
21,3,1,1,True,"Le projet de recon<hex:02160103>struc<hex:02160103>tion d'Ishgard"
22,1,0,0,True,""
23,1,0,0,True,""
24,1,0,0,True,""
25,1,0,0,True,""
26,2,11,1,True,"<hex:02091EE802FF09>Le Hoyau<hex:FF10>N°1 : Le Hoyau<hex:03>"
27,2,11,2,False,"<hex:02094CE802FF20>C'est reparti pour un tour<hex:021D0103>!<hex:FF27>N°2 : C'est reparti pour un tour<hex:021D0103>!<hex:03>"
28,2,14,3,False,"<hex:020940E802FF1A>Jusqu'au bout de l'allée<hex:FF21>N°3 : Jusqu'au bout de l'allée<hex:03>"
29,2,16,4,False,"<hex:02093EE802FF19>Un dernier coup de balai<hex:FF20>N°4 : Un dernier coup de balai<hex:03>"
30,2,19,5,False,"<hex:020942E802FF1B>Tous unis pour la fontaine<hex:FF22>N°5 : Tous unis pour la fontaine<hex:03>"
31,2,21,6,True,"<hex:020942E802FF1B>L'estrade de Sainte Roelle<hex:FF22>N°6 : L'estrade de Sainte Roelle<hex:03>"
32,2,21,7,False,"<hex:020942E802FF1B>À l'échafau... dage<hex:021D0103>!<hex:FF22>N°7 : À l'échafau... dage<hex:021D0103>!<hex:03>"
33,2,24,8,False,"<hex:02098AE802FF3F>Un artisan qui travaille est comme un guerrier qui bataille...<hex:FF46>N°8 : Un artisan qui travaille est comme un guerrier qui bataille...<hex:03>"
34,2,26,9,False,"<hex:02093CE802FF18>Les pavés dans la mare<hex:FF1F>N°9 : Les pavés dans la mare<hex:03>"
