key,0,1
#,Name,RequirementText
offset,0,4
Int32,String,String
0,"",""
1,"",""
2,"Bonus de tenue<hex:021D0103>: ",""
3,"",""
4,"Sanction<hex:021D0103>: ",""
5,"",""
6,"Bonus de tenue<hex:021D0103>: ",""
7,"Bonus dans Eurêka<hex:021D0103>:",""
8,"Bonus en Bozja<hex:021D0103>:",""
9,"Bonus sur l'île de Lunule<hex:021D0103>: ",""
10,"Bonus de tenue sur l'île de Lunule<hex:021D0103>: ","<hex:022003E80203> <hex:020816E4E80202FF07>pièce<hex:FF08>pièces<hex:03> de l'ensemble <hex:020835E4E80202FF15>doit être équipée<hex:FF19>doivent être équipées<hex:03>."
11,"",""
