key,0,1,2,3,4
#,LegacyQuestID,Text,String,SortKey,Genre
offset,12,0,4,14,8
Int32,UInt16,String,String,UInt16,UInt32
0,0,"","",0,0
1,0,"Paroles sibyllines","",1,344
2,1,"Le trésor du grand bleu","",2,344
3,2,"La légende de Llymlaen","",3,344
4,3,"Duel sur le pont","",4,344
5,4,"Naufrage","",5,344
6,5,"La souillure","",6,344
7,6,"La colère des esprits","",7,344
8,7,"Les invités","",8,344
9,8,"Un festival mouvementé","",9,344
10,9,"La Cité qui ne dort jamais","",10,344
11,10,"Dégâts collatéraux","",11,344
12,11,"Quand la mort frappe","",12,344
13,12,"Prémices","",13,344
14,13,"Sauvetage désespéré","",14,344
15,14,"Un dialogue de sourds","",15,344
16,15,"Une alliance risquée","",16,344
17,16,"Le dieu des flammes","",17,344
18,17,"Libérer les libérateurs","",18,344
19,18,"Retrouvailles","",19,344
20,59,"L'art de l'usure","",20,346
21,60,"L'affaire des faux jetons","",21,346
22,61,"L'envers du jeton","",22,346
23,79,"Les éliminatoires","",23,346
24,80,"Droits inaliénables","",24,346
25,81,"Le tournoi","",25,346
26,99,"Le baptême des Bourreaux","",26,346
27,100,"Le bal des pirates","",27,346
28,101,"Tous les coups sont permis","",28,346
29,139,"Les comptoirs de l'auberge","",29,346
30,140,"Les comptoirs de l'auberge","",30,346
31,141,"Les comptoirs de l'auberge","",31,346
32,143,"J'aimerais changer de partenaire","",32,346
33,159,"Les flèches divines","",33,346
34,160,"Sombre forêt","",34,346
35,161,"Blessures du passé","",35,346
36,179,"Les vigiles sombres","",36,346
37,180,"Choc de cultures","",37,346
38,181,"Un mal nécessaire","",38,346
39,239,"Les contrats de vendetta","",39,346
40,240,"La rivale","",40,346
41,241,"La parole de Nald'thal","",41,346
42,259,"Au service des esprits","",42,346
43,260,"Le rêve du chevalier","",43,346
44,261,"La voix des esprits","",44,346
45,299,"De bien jeunes professeurs","",45,346
46,300,"Les petits démons","",46,346
47,301,"Le cadeau des esprits","",47,346
48,319,"Dur d'oreille","",48,346
49,320,"Le chant des sirènes","",49,346
50,321,"L'île interdite","",50,346
51,359,"Donner forme à la beauté","",51,346
52,360,"La Fleur de F'lhaminn","",52,346
53,361,"Percecœur","",53,346
54,379,"Contrôle qualité","",54,346
55,380,"Le deuxième Atelier","",55,346
56,381,"Evaluation générale","",56,346
57,399,"Acte I : Le rouge","",57,346
58,400,"Acte II : La cendre","",58,346
59,401,"Acte III : Le blanc","",59,346
60,419,"Un sommeil sans fin","",60,346
61,420,"Le garçon et le dragon","",61,346
62,421,"Rêve... ou réalité ?","",62,346
63,439,"Duel aux fourneaux","",63,346
64,440,"Le gourmet disparu","",64,346
65,441,"La soupe empoisonnée","",65,346
66,459,"Un fragment du passé","",66,346
67,460,"Sabotage","",67,346
68,461,"La fugue","",68,346
69,479,"Les racines de Gridania","",69,346
70,480,"La Cité lumière","",70,346
71,481,"Le champ de fleurs des Mogs","",71,346
72,499,"Unis contre les Sahuagins","",72,346
73,500,"Le Maître des viviers","",73,346
74,501,"Opération exceptionnelle","",74,346
75,626,"L'épreuve du feu","",75,345
76,632,"Marchandises égarées à la douane","",76,345
77,633,"Un pont à réparer","",77,345
78,635,"La revanche des Barracudas","",78,345
79,637,"Tout pour mon ragoût","",79,345
80,638,"Un pirate bien distrait","",80,345
81,639,"L'amour d'une mère","",81,345
82,640,"Bon pour le moral","",82,345
83,641,"La plage aux coquillages","",83,345
84,642,"Mauvaise pêche","",84,345
85,643,"Un peu plus près des étoiles","",85,345
86,645,"Un sombre passé","",86,345
87,647,"Une mission taillée sur mesure","",87,345
88,652,"Les petits secrets des pirates","",88,345
89,653,"Mets de l'huile","",89,345
90,654,"Rallumer les feux","",90,345
91,655,"Les légumes de Sandre","",91,345
92,657,"Petit farceur","",92,345
93,658,"Légendaire sicksa","",93,345
94,659,"Tel est pris qui croyait prendre","",94,345
95,661,"Les tourments d'un fils","",95,345
96,662,"Le carnet de Lonsygg","",96,345
97,663,"Dites-le avec des fleurs","",97,345
98,664,"En l'honneur de nos proches","",98,345
99,665,"Pierre muette","",99,345
100,666,"Ceux qui menacent la forêt","",100,345
101,667,"Les fèves du succès","",101,345
102,668,"Perdre le fil","",102,345
103,673,"Les Oracles","",103,345
104,674,"Toc toc toc","",104,345
105,675,"Insomnies","",105,345
106,676,"Le retour du mort-vivant","",106,345
107,678,"Le client est roi","",107,345
108,679,"Les Mille Feuilles","",108,345
109,680,"La tache","",109,345
110,681,"Le kidnapping","",110,345
111,682,"Le bon geôlier","",111,345
112,683,"Y a des jours comme ça","",112,345
113,684,"Chocobos en danger","",113,345
114,685,"Le prix de la liberté","",114,345
115,686,"Pousser comme du minerai","",115,345
116,689,"Concurrence déloyale","",116,345
117,694,"Promesse d'immortalité","",117,345
118,705,"Brebis égarées","",118,345
119,706,"Le prix de la vie","",119,345
