key,0,1
#,,
offset,4,0
Int32,UInt32,String
0,0,""
1,0,""
2,2,"Cherchez un client potentiel !"
3,3,"Inspectez les colonnes de pierre !"
4,4,"Inspectez les colonnes de pierre !"
5,5,"Choisissez un produit !"
6,0,""
7,7,"Interrogez les participants à la vente aux enchères !"
8,8,"Aidez Picot à définir son Prince sénéchal !"
9,9,"Examinez les plantations de la pépinière de Weddingway !"
10,10,"Présentez la ville !"
11,11,"Composez le bon code secret et appuyez sur la touche de confirmation."
12,12,"Inspectez le cadre incrusté de gemmes."
13,13,"Examinez la végétation des Marches iridescentes !"
14,0,""
15,0,""
16,16,"Examinez les particularités du Bâtiment ombré !"
17,0,""
