key,0
#,Text
offset,0
Int32,String
0,""
1,"Vous avez accompli un objectif de la mission cosmique<hex:021D0103>!"
2,"Vous avez accompli tous les objectifs de la mission cosmique<hex:021D0103>!"
3,"[Utilisable uniquement lors des missions cosmiques]"
4,"Toutes les tâches de recherche disponibles pour la classe “<hex:02280EFF09>ClassJob<hex:E8020103>” sont terminées, merci ! Laissez-moi un peu de temps, que je définisse les prochains champs de recherche à étudier !"
5,"La recherche cosmique de la classe “<hex:02280EFF09>ClassJob<hex:E8020103>” a bien avancé<hex:021D0103>! Vous pouvez v'nir me voir au labo pour qu'on fasse le point ?"
6,"Voilà où en est l'analyse de vos données pour la recherche cosmique de la classe “<hex:02280EFF09>ClassJob<hex:E8020103>” !"
7,"Ça... ça va ici... Et donc, ce truc... va là..."
8,"Les modules de recherche dont je me sers ici sont basés sur ceux de l'académie de magie ! Ça vous en bouche un coin, hein ?"
9,"Plus la recherche cosmique progresse, plus nous pourrons concevoir des outils utiles pour le projet ! Alors z'avez intérêt à assurer !"
10,"On a besoin de données ultra précises pour effectuer des recherches toujours plus poussées. C'est vous qui trimez au final, mais c'est pour la bonne cause !"
11,"Effectuer des recherches dans tout un tas de domaines est le meilleur moyen d'améliorer l'efficacité globale du projet, ça j'vous l'garantis !"
12,"Frrrrshhh... C'est... Bshhh... zarre... La connex... Frrrshhh... fonctio... Bshhh... pas bien... Frrshhhh..."
13,"Les ressources qu'on trouve sur Phaenna sont absolument phaenna-scinantes ! La recherche va faire de grands bonds en avant, c'est moi qui vous l'dis !"
14,"Les espèces végétales de Phaenna ont une constitution absolument incroyable ! Z'imaginez ce que ça donne quand on les regarde au microscope ? Elles brillent de mille feux !"
15,"On a essayé de mesurer la profondeur du gouffre aux Capsules. Il y a tellement de boules de verres qu'on en voit pas le fond... Z'avez intérêt à pas tomber dedans !"
16,"Le verre en fusion qu'on trouve à la Cheminée de Fusingway a beau être rouge vif, il devient tout coloré une foid refroidi et solidifié !"
17,"Emplacement prévu pour l'ouvrage collectif “<hex:02280AFF05>Fate<hex:E8020103>”"
18,"M'enfin<hex:021D0103>!? Mes documents s'mettent à voler<hex:021D0103>! Encore la gravité qui part en cacahouète, j'parie<hex:021D0103>!"
19,"Mon jus d'carotte s'est mis à flotter dans les airs après que je l'ai renversé à côté d'un rocher volant<hex:021D0103>! Z'y croyez, vous<hex:021D0103>?"
20,"C'est en partie grâce à mes r'cherches que les générateurs d'gravité ont pu être mis au point. J'dis pas ça pour m'pousser du col, hein<hex:021D0103>!"
21,"Ces fameux vestiges renferment encore des tas d'secrets sur le plan technologique... À nous d'les percer pour faire avancer la recherche cosmique<hex:021D0103>!"
22,"Apparemment, les pionniers s'servaient d'une forme avancée de magie pour manœuvrer leurs ins<hex:02160103>tal<hex:02160103>la<hex:02160103>tions. C'est com<hex:02160103>plè<hex:02160103>te<hex:02160103>ment différent de ce qu'Hydaelyn nous a appris à faire<hex:021D0103>!"
23,"Grâce à vous, on a atteint tous nos objectifs<hex:021D0103>! Ça veut dire que nos recherches sont terminées<hex:021D0103>! Merci beaucoup, z'êtes vraiment <hex:02081DE905FF0D>une artisane<hex:FF0B>un artisan<hex:03> incroyable<hex:021D0103>!"
24,"Toutes les tâches de recherche disponibles pour la classe “<hex:02280EFF09>ClassJob<hex:E8020103>” sont terminées<hex:021D0103>! Y a plus de champs de recherche à étudier, z'avez tout fini<hex:021D0103>! Merci pour tous vos efforts<hex:021D0103>!"
25,"Auxesia a plein d'points communs avec Ætherys, comme sa distance par rapport au soleil ou la composition de son atmosphère. C'est sûrement pour ça qu'il y a aussi beaucoup de plantes similaires."
26,"La technologie qui a donné naissance à c'te ville est surprenante<hex:021D0103>! Ses bâtiments ont plusieurs milliers d'années, mais leur bois ne s'est pas décomposé, et a même conservé sa forme<hex:021D0103>!"
27,"Y a pas à dire, l'abatteur cosmique, c'est vraiment la crème de la crème des mécanos qu'on a développés jusqu'à présent<hex:021D0103>! Alerot en est super fier<hex:021D0103>!"
28,"Il paraît que les trois tours qui assurent le fonc<hex:02160103>tion<hex:02160103>ne<hex:02160103>ment de la ville sont constituées d'organismes vivants<hex:021D0103>! Leur fonc<hex:02160103>tion<hex:02160103>ne<hex:02160103>ment est encore un mystère, mais elles seraient capables d'accumuler et de traiter tout un tas d'in<hex:02160103>for<hex:02160103>ma<hex:02160103>tions<hex:021D0103>!"
29,"Le Laurier-Mère est enfin réactivé<hex:021D0103>! Après analyse, sa base de données sera sans doute la plus grande découverte du projet d'exploration cosmique<hex:021D0103>!"
