key,0,1,2,3,4,5,6
#,Icon,Name,Description,,,,
offset,24,0,4,8,12,16,20
Int32,Int32,String,String,String,String,String,String
0,0,"","","","","",""
1,60201,"Dégagé","radieux","","","",""
2,60202,"Clair","ensoleillé","","","",""
3,60203,"Couvert","couvert","","","",""
4,60204,"Brouillard","brumeux","","","",""
5,60205,"Vent","venteux","","","",""
6,60206,"Vents violents","très venteux","","","",""
7,60207,"Pluie","pluvieux","","","",""
8,60208,"Pluie torrentielle","très pluvieux","","","",""
9,60209,"Orages","orageux","","","",""
10,60210,"Orages violents","très orageux","","","",""
11,60211,"Tempêtes de poussière","tempêteux","","","",""
12,60212,"Tempêtes de sable","tempêteux","","","",""
13,60213,"Chaud","chaud","","","",""
14,60214,"Torride","torride","","","",""
15,60215,"Neige","neigeux","","","",""
16,60216,"Blizzard","au blizzard","","","",""
17,60218,"Nébuleux","nébuleux","","","",""
18,60217,"Aurore","auroral","","","",""
19,60251,"Ténèbres","ténébreux","","","",""
20,60255,"Désespérance","désespérant","","","",""
21,60203,"Couvert","couvert","","","",""
22,60259,"Orageux","menaçant","","","",""
23,60258,"Houle","houleux","","","",""
24,60258,"Houle","houleux","","","",""
25,60257,"Nuageux","nuageux","","","",""
26,60252,"Torride","torride","","","",""
27,60256,"Nébuleux","nébuleux","","","",""
28,60253,"Vents violents","déchaîné avec de violentes rafales","","","",""
29,60254,"Éruptions","éruptif","","","",""
30,60202,"Clair","clair","","","",""
31,60202,"Clair","clair","","","",""
32,60202,"Clair","clair","","","",""
33,60202,"Clair","clair","","","",""
34,60202,"Clair","clair","","","",""
35,60260,"Rayonnement","rayonnant","","","",""
36,60261,"Radiations du Cœur","radioactif","","","",""
37,60261,"Radiations du Cœur","radioactif","","","",""
38,60261,"Radiations du Cœur","radioactif","","","",""
39,60261,"Radiations du Cœur","radioactif","","","",""
40,60262,"Amas nuageux","anormalement couvert","","","",""
41,60262,"Amas nuageux","anormalement couvert","","","",""
42,60262,"Amas nuageux","anormalement couvert","","","",""
43,60262,"Amas nuageux","anormalement couvert","","","",""
44,60264,"Oppression","oppressant","","","",""
45,60264,"Oppression","oppressant","","","",""
46,60264,"Oppression","oppressant","","","",""
47,60264,"Oppression","oppressant","","","",""
48,60264,"Oppression","oppressant","","","",""
49,60219,"Vent ombral","perturbé par des vents ombraux","","","",""
50,60220,"Charges ombrales","perturbé par des charges ombrales","","","",""
51,60263,"Fumées","fumeux","","","",""
52,60202,"Clair","clair","","","",""
53,60226,"Éclairs royaux","perturbé par des éclairs royaux","","","",""
54,60227,"Hyperélectricité","chargé d'hyperélectricité","","","",""
55,60226,"Éclairs royaux","perturbé par des éclairs royaux","","","",""
56,60264,"Oppression","oppressant","","","",""
57,60209,"Orages","orageux","","","",""
58,60209,"Orages","orageux","","","",""
59,0,"","","","","",""
60,60265,"Multiplicité","marqué par la multiplicité","","","",""
61,60265,"Multiplicité","marqué par la multiplicité","","","",""
62,60207,"Pluie","pluvieux","","","",""
63,60202,"Clair","ensoleillé","","","",""
64,60207,"Pluie","pluvieux","","","",""
65,60202,"Clair","ensoleillé","","","",""
66,60266,"Tempête de haine","frappé par une tempête de haine","","","",""
67,60266,"Tempête de haine","frappé par une tempête de haine","","","",""
68,60202,"Souterrain","souterrain","","","",""
69,60267,"Harmonie","harmonieux","","","",""
70,60267,"Harmonie","harmonieux","","","",""
71,60268,"Hors du temps","atemporel","","","",""
72,60268,"Hors du temps","atemporel","","","",""
73,60268,"Hors du temps","atemporel","","","",""
74,60269,"Infini démoniaque","démoniaquement infini","","","",""
75,60269,"Infini démoniaque","démoniaquement infini","","","",""
76,60269,"Infini démoniaque","démoniaquement infini","","","",""
77,60274,"Perturbation dimensionnelle","perturbé sur le plan dimensionnel","","","",""
78,60274,"Perturbation dimensionnelle","perturbé sur le plan dimensionnel","","","",""
79,60274,"Perturbation dimensionnelle","perturbé sur le plan dimensionnel","","","",""
80,60271,"Tempête festive","tempêtueusement festif","","","",""
81,60271,"Tempête festive","tempêtueusement festif","","","",""
82,60270,"Béatitude éternelle","baigné par la béatitude éternelle","","","",""
83,60270,"Béatitude éternelle","baigné par la béatitude éternelle","","","",""
84,60272,"Tempête draconique","anormalement tempêtueux","","","",""
85,60272,"Tempête draconique","anormalement tempêtueux","","","",""
86,60271,"Tempête festive","tempêtueusement festif","","","",""
87,60273,"Vif-orage","vif-orageux","","","",""
88,60209,"Orages","orageux","","","",""
89,60274,"Perturbation dimensionnelle","perturbé sur le plan dimensionnel","","","",""
90,60202,"Clair","ensoleillé","","","",""
91,60201,"Dégagé","radieux","","","",""
92,60275,"Tempête blanche","tempêtueux","","","",""
93,60275,"Tempête blanche","tempêtueux","","","",""
94,60275,"Tempête blanche","tempêtueux","","","",""
95,60277,"Fantasmagorique","fantasmagorique","","","",""
96,60275,"Tempête blanche","tempêtueux","","","",""
97,60276,"Clair de lune","baigné par un beau clair de lune","","","",""
98,60276,"Clair de lune","baigné par un beau clair de lune","","","",""
99,60276,"Clair de lune","baigné par un beau clair de lune","","","",""
100,60276,"Clair de lune","baigné par un beau clair de lune","","","",""
101,60293,"Lune rouge","baigné par le clair d'une lune rougeoyante","","","",""
102,60278,"Vermillon","vermillon","","","",""
103,60278,"Vermillon","vermillon","","","",""
104,60278,"Vermillon","vermillon","","","",""
105,60202,"Clair","ensoleillé","","","",""
106,60202,"Clair","ensoleillé","","","",""
107,60202,"Clair","ensoleillé","","","",""
108,60202,"Clair","ensoleillé","","","",""
109,60279,"Flammes","enflammé","","","",""
110,60280,"Raz-de-marée","détrempé","","","",""
111,60281,"Tornade","tourbillonant","","","",""
112,60282,"Séisme","tremblant","","","",""
113,60283,"Azur","azur","","","",""
114,60283,"Azur","azur","","","",""
115,60283,"Azur","azur","","","",""
116,60284,"Turbulences ombrales","affecté par des turbulences ombrales","","","",""
117,60283,"Azur","azur","","","",""
118,60221,"Clarté éternelle","nimbé de Lumière","","","",""
119,60253,"Vents violents","très venteux","","","",""
120,60287,"Apocalypse","apocalyptique","","","",""
121,60287,"Apocalypse","apocalyptique","","","",""
122,60285,"Rêverie","onirique","","","",""
123,60285,"Rêverie","onirique","","","",""
124,60285,"Rêverie","onirique","","","",""
125,60286,"Radiance divine","divin","","","",""
126,60286,"Radiance divine","divin","","","",""
127,60287,"Apocalypse","apocalyptique","","","",""
128,60287,"Apocalypse","apocalyptique","","","",""
129,60221,"Clarté éternelle","nimbé de Lumière","","","",""
130,60254,"Éruptions","éruptif","","","",""
131,60287,"Apocalypse","apocalyptique","","","",""
132,60202,"Clair","ensoleillé","","","",""
133,60288,"Vent ombral de feu","venteux et nimbé de feu","","","",""
134,60289,"Vent ombral de terre","venteux et nimbé de terre","","","",""
135,60290,"Vent ombral de foudre","venteux et nimbé de foudre","","","",""
136,60291,"Vent ombral des tempêtes","venteux et tempétueux","","","",""
137,60296,"Pluie d'étoiles","météoritique","","","",""
138,60294,"Tempête de souvenirs","bouillonnant de souvenirs","","","",""
139,60203,"Couvert","couvert","","","",""
140,60203,"Couvert","couvert","","","",""
141,60260,"Rayonnement","rayonnant","","","",""
142,60260,"Rayonnement","rayonnant","","","",""
143,60259,"Orageux","menaçant","","","",""
144,60295,"Tempête de feu","tempêteux","","","",""
145,60292,"Courant spectral","spectral","","","",""
146,0,"","","","","",""
147,60297,"Fatidique","fatidique","","","",""
148,60222,"Tempêtes de régolithe","tempêteux","","","",""
149,60223,"Astromagnétique","astromagnétique","","","",""
150,60224,"Apocalypse","apocalyptique","","","",""
151,60298,"Polarisation","polarisé","","","",""
152,60298,"Polarisation","polarisé","","","",""
153,60298,"Polarisation","polarisé","","","",""
154,60298,"Polarisation","polarisé","","","",""
155,60298,"Polarisation","polarisé","","","",""
156,60225,"Virtuel","virtuel","","","",""
157,60228,"Pandæmonium","pandæmoniaque","","","",""
158,60228,"Pandæmonium","pandæmoniaque","","","",""
159,60228,"Pandæmonium","pandæmoniaque","","","",""
160,60299,"Eschatologique","eschatologique","","","",""
161,60229,"Désespoir","désespérant","","","",""
162,60230,"Mythologique","mythologique","","","",""
163,60230,"Mythologique","mythologique","","","",""
164,60230,"Mythologique","mythologique","","","",""
165,60230,"Mythologique","mythologique","","","",""
166,60230,"Mythologique","mythologique","","","",""
167,60230,"Mythologique","mythologique","","","",""
168,60230,"Mythologique","mythologique","","","",""
169,60230,"Mythologique","mythologique","","","",""
170,60266,"Tempête de haine","frappé par une tempête de haine","","","",""
171,60231,"Néant","vide","","","",""
172,60231,"Néant","vide","","","",""
173,60231,"Néant","vide","","","",""
174,60274,"Perturbation dimensionnelle","perturbé sur le plan dimensionnel","","","",""
175,60274,"Perturbation dimensionnelle","perturbé sur le plan dimensionnel","","","",""
176,60274,"Perturbation dimensionnelle","perturbé sur le plan dimensionnel","","","",""
177,60228,"Pandæmonium","pandæmoniaque","","","",""
178,60228,"Pandæmonium","pandæmoniaque","","","",""
179,60232,"Imaginaire","imaginaire","","","",""
180,60231,"Néant","vide","","","",""
181,60233,"Ombrageux","ombrageux","","","",""
182,60233,"Ombrageux","ombrageux","","","",""
183,60234,"Virtuel","virtuel","","","",""
184,60234,"Virtuel","virtuel","","","",""
185,60234,"Virtuel","virtuel","","","",""
186,60234,"Virtuel","virtuel","","","",""
187,60235,"Mémoriel","mémoriel","","","",""
188,60236,"Brume spectrale","fantomatique","","","",""
189,60234,"Virtuel","virtuel","","","",""
190,60238,"Fantasmes","fantasmatique","","","",""
191,60239,"Illusions","illusoire","","","",""
192,60240,"Mirages","miragineux","","","",""
193,60237,"Malsain","malsain","","","",""
194,60241,"Pluie de météorites","météorique","","","",""
195,60241,"Pluie de météorites","météorique","","","",""
196,60223,"Tempête magnétique","astromagnétique","","","",""
197,60242,"Nuages de spores","sporagineux","","","",""
198,60243,"Atmosphère mortifère","mortifère","","","",""
199,60243,"Atmosphère mortifère","mortifère","","","",""
200,60243,"Atmosphère mortifère","mortifère","","","",""
201,60244,"Courants glaciaux","glacial","","","",""
202,60245,"Pluie de verre","frappé par une pluie de débris de verre","","","",""
203,60209,"Orages","orageux","","","",""
204,60209,"Orages","orageux","","","",""
205,60246,"Fluctuations gravitationnelles","affecté par des fluctuations gravitationnelles","","","",""
206,60247,"Tempête de bulles","frappé par une tempête de bulles","","","",""
207,60248,"Ondée lumineuse","éblouissant","","","",""
208,60249,"Brise de pétales","caressé par une brise de pétales","","","",""
209,60201,"Dégagé","radieux","","","",""
210,60208,"Pluie torrentielle","très pluvieux","","","",""
211,0,"","","","","",""
212,0,"","","","","",""
213,0,"","","","","",""
214,0,"","","","","",""
