key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_CMNDEFMATERIASLOT_00174_MUTAMIX_000_000","Pshhh... Pshhh... L'aventuri<hex:02080DE905FF05>ère<hex:FF03>er<hex:03> veut que Mutamix fasse la transmatérialisation pour <hex:02080EE905FF05>elle<hex:FF04>lui<hex:03><hex:021D0103>? <hex:02080DE905FF05>Elle<hex:FF03>Il<hex:03> doit donner cinq matérias à Mutamix pour ça."
1,"TEXT_CMNDEFMATERIASLOT_00174_MUTAMIX_000_020","L'aventuri<hex:02080DE905FF05>ère<hex:FF03>er<hex:03> doit bien regarder<hex:021D0103>! Seul Mutamix peut créer une matéria différente avec la fusion de cinq autres<hex:021D0103>! Mutamix est un vrai génie<hex:021D0103>!"
2,"TEXT_CMNDEFMATERIASLOT_00174_MUTAMIX_000_030","Pshhh... La transmatérialisation a réussi<hex:021D0103>! Mutamix a créé une jolie matéria<hex:021D0103>!"
3,"TEXT_CMNDEFMATERIASLOT_00174_MUTAMIX_000_035","Pshhh<hex:021D0103>! L'aventuri<hex:02080DE905FF05>ère<hex:FF03>er<hex:03> a beaucoup de chance<hex:021D0103>! Mutamix a créé une très jolie matéria<hex:021D0103>!"
4,"TEXT_CMNDEFMATERIASLOT_00174_MUTAMIX_000_040","Elle est très brillante et très lisse<hex:021D0103>! Mutamix est très fier de sa création<hex:021D0103>!"
5,"TEXT_CMNDEFMATERIASLOT_00174_MUTAMIX_000_050","L'aventuri<hex:02080DE905FF05>ère<hex:FF03>er<hex:03> dit merci à Mutamix<hex:021D0103>! La transmatérialisation est un procédé unique et mystérieux. Même Mutamix ne peut pas en prévoir le résultat<hex:021D0103>!"
6,"TEXT_CMNDEFMATERIASLOT_00174_MUTAMIX_000_070","L'aventuri<hex:02080DE905FF05>ère<hex:FF03>er<hex:03> doit faire le tri dans son sac<hex:021D0103>! Sinon, Mutamix ne peut pas faire la transmatérialisation pour <hex:02080EE905FF05>elle<hex:FF04>lui<hex:03>."
