key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_000","Que faites-vous ici<hex:021D0103>? Répondez-moi im<hex:02160103>mé<hex:02160103>dia<hex:02160103>te<hex:02160103>ment<hex:021D0103>!"
1,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_001","Nous nous préparons au combat imminent contre les dragons... Ne nous dérangez pas sans raison."
2,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_002","Oh, c'est vous, noble aventuri<hex:02080DE905FF05>ère<hex:FF03>er<hex:03><hex:021D0103>! Votre présence nous a été d'un grand secours, pendant la bataille. Que puis-je faire pour vous<hex:021D0103>?"
3,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_003","Salutations et bienvenue, mon ami<hex:020808E905FF02>e<hex:FF01><hex:03>. J'ai appris avec joie que vous aviez été autorisé<hex:020808E905FF02>e<hex:FF01><hex:03> à entrer dans la sainte Cité. Si vous voulez mon avis, nul n'était plus digne que vous de cet honneur. Ceci étant dit, en quoi puis-je vous aider<hex:021D0103>?"
4,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_004","Voilà <hex:02084EE905FF28>la plus grande de toutes les héroïnes<hex:FF21>le plus grand de tous les héros<hex:03><hex:021D0103>! Je n'exagère pas, c'est le verdict des Portes du Jugement elles-mêmes<hex:021D0103>! Que puis-je faire pour vous<hex:021D0103>?"
5,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_005","Que Nidhogg et ses sbires viennent s'ils l'osent, nous les attendons de pied ferme<hex:021D0103>! Mais dites-moi, qu'est-ce que vous faites ici dans un moment pareil<hex:021D0103>?"
6,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_010","Je suis Marcelain, chevalier d'Ishgard et gardien des Portes du Jugement. J'ai juré de passer ma vie à défendre cette entrée contre nos ennemis."
7,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_011","Je ne me soucie guère de votre identité. Si votre com<hex:02160103>por<hex:02160103>te<hex:02160103>ment éveille mes soupçons, je n'hésiterai pas à vous couper la tête. Soyez prudent<hex:020808E905FF02>e<hex:FF01><hex:03>, aventuri<hex:02080DE905FF05>ère<hex:FF03>er<hex:03>."
8,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_012","Je suis Marcelain, chevalier d'Ishgard et gardien des Portes du Jugement. J'ai juré de passer ma vie à défendre cette entrée contre nos ennemis."
9,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_013","En raison du risque d'attaque des dragons, nous avons renforcé d'un cran le dispositif de sur<hex:02160103>veil<hex:02160103>lan<hex:02160103>ce de cet endroit. Je ne peux vous accorder du temps que s'il s'agit d'une affaire de la plus haute importance."
10,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_015","M'auriez-vous déjà oublié<hex:021D0103>? Je suis Marcelain, chevalier d'Ishgard et gardien des Portes du Jugement."
11,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_016","Derrière ces portes se trouve l'Avancée de la Foi, qui mène à notre sainte capitale. Comme vous pouvez l'imaginer, ce pont est la clef de voûte de ce qu'on surnomme le collier de Daniffen, la grande barrière magique qui protège Ishgard."
12,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_017","C'est pour cela que la défense de cet endroit est cruciale. C'est également une lourde res<hex:02160103>pon<hex:02160103>sa<hex:02160103>bi<hex:02160103>li<hex:02160103>té pour les templiers qui ont l'honneur de se voir confier ce poste."
13,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_018","Mon devoir n'a pas changé depuis la dernière fois que nous nous sommes parlé. Je suis Marcelain, chevalier d'Ishgard et gardien des Portes du Jugement."
14,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_019","Les dragons ont réussi à percer nos défenses, pourtant réputées inexpugnables, et ont ravagé la cité... Inutile de dire que mes hommes et moi ne pouvons nous permettre un second échec. Nous sommes tous prêts à donner notre vie pour notre pays."
15,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_030","Mon devoir n'a pas changé depuis la dernière fois que nous nous sommes parlé. Je suis Marcelain, chevalier d'Ishgard et gardien des Portes du Jugement."
16,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_031","Sachez que les templiers se sont battus comme un seul homme pour protéger la sainte Cité contre l'assaut du dragon maléfique. Avec vous en première ligne, nous devions plus que jamais nous montrer à la hauteur<hex:021D0103>!"
17,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_020","Vous vous tenez devant les Portes du Jugement, le seul moyen d'accéder à Ishgard. Seuls pourront passer ceux qui en ont été jugés dignes par la Conquérante."
18,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_021","Néanmoins, sur ordre de l'Archevêque, les étrangers ne sont pas admis ici. Disparaissez, avant que je ne vous y aide."
19,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_022","Vous vous tenez devant les Portes du Jugement, le seul moyen d'accéder à Ishgard. Seuls pourront passer ceux qui en ont été jugés dignes par la Conquérante."
20,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_023","Mais maintenant que la guerre contre les dragons point à l'horizon, nous ne sommes pas en mesure d'évaluer ceux qui souhaitent franchir le pont. J'espère que vous comprendrez..."
21,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_025","Vous vous tenez devant les Portes du Jugement, l'unique moyen d'accéder à Ishgard. Seuls pourront passer ceux qui en ont été jugés dignes par la Conquérante."
22,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_026","Hélas, nous nous devons ac<hex:02160103>tu<hex:02160103>el<hex:02160103>le<hex:02160103>ment de refuser tout passage. Mais j'ai foi que tôt ou tard, une personne de votre valeur devrait obtenir l'au<hex:02160103>to<hex:02160103>ri<hex:02160103>sa<hex:02160103>tion d'emprunter ces portes."
23,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_027","Vous vous tenez devant les Portes du Jugement, l'unique moyen d'accéder à Ishgard. Seuls ceux qui en ont été jugés dignes par la Conquérante sont autorisés à passer."
24,"TEXT_REGROCGATESOFJUDGEMENT_00111_MARCELAIN_000_028","Il va sans dire que vos actes de bravoure vous ont valu l'estime de notre protectrice. Vous pouvez désormais franchir ce portail et entrer dans notre belle cité à votre guise."
