key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_CMNGSCCHOCOBORACERENAME_00231_TALK_ACTOR_02","Changer le nom de <hex:022903EA0203><hex:021D0103>? Oui, c'est possible."
1,"TEXT_CMNGSCCHOCOBORACERENAME_00231_ERROR_002_02","Vous devez vous acquitter de 2<hex:021D0103>000 gils de frais pour effectuer cette modification."
2,"TEXT_CMNGSCCHOCOBORACERENAME_00231_RENAME_Q1","Confirmer le nom “<hex:022903EA0203>”<hex:021D0103>?<hex:02100103>(Frais de changement<hex:021D0103>: <hex:022209E803FF05021D010303> gil<hex:02080AE2E80302FF01><hex:FF02>s<hex:03>)"
3,"TEXT_CMNGSCCHOCOBORACERENAME_00231_RENAME_A1","Oui"
4,"TEXT_CMNGSCCHOCOBORACERENAME_00231_RENAME_A2","Non"
5,"TEXT_CMNGSCCHOCOBORACERENAME_00231_RENAME_DONE","Ça lui va très bien, si vous voulez mon avis<hex:021D0103>! J'espère que vous continuerez à prendre grand soin de <hex:022903EA0203><hex:021D0103>!"
6,"TEXT_CMNGSCCHOCOBORACERENAME_00231_TALK_ACTOR","Vous voulez lui donner un nouveau nom, c'est bien cela<hex:021D0103>?"
7,"TEXT_CMNGSCCHOCOBORACERENAME_00231_ERROR_001_01","Tiens<hex:021D0103>? Je ne trouve aucun chocobo de course qui vous soit attribué dans le registre..."
8,"TEXT_CMNGSCCHOCOBORACERENAME_00231_ERROR_001_02","Vous pouvez uniquement modifier le nom d'un animal enregistré en tant que chocobo de course."
9,"TEXT_CMNGSCCHOCOBORACERENAME_00231_ERROR_002_01","Euh<hex:021D0103>! Je suis au regret de vous dire que cette procédure dépasse votre budget..."
10,"TEXT_CMNGSCCHOCOBORACERENAME_00231_ERROR_003_01","... Pardon, mais vous ne pouvez pas appeler votre animal ainsi."
11,"TEXT_CMNGSCCHOCOBORACERENAME_00231_ERROR_003_02","Certaines com<hex:02160103>bi<hex:02160103>nai<hex:02160103>sons de mots sont interdites. Veuillez trouver un autre nom."
12,"TEXT_CMNGSCCHOCOBORACERENAME_00231_ERROR_004_01","... Hum, c'est le même nom qu'avant, si je ne m'abuse. Pas de changement, donc<hex:021D0103>!"
