key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_000_001","<hex:022B22FF20><hex:02281CFF17>TripleTriadCompetition<hex:E8030103><hex:03> se déroule ac<hex:02160103>tu<hex:02160103>el<hex:02160103>le<hex:02160103>ment au squarrre des duellistes<hex:021D0103>! Qui seront les heureux gagnants d'<hex:02330CFF05>Item<hex:02E802020203><hex:021D0103>? Le suspense est à son comble<hex:021D0103>!"
1,"TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_000_002","<hex:02083DE3E90C0DFF1B><hex:020817E3E90C05FF08>Bonsoir<hex:FF08>Bonjour<hex:03><hex:FF1B><hex:020817E3E90C12FF08>Bonjour<hex:FF08>Bonsoir<hex:03><hex:03>rr<hex:021D0103>! Vous êtes <hex:020816E905FF09>nouvelle<hex:FF08>nouveau<hex:03> par ici, n'est-ce pas<hex:021D0103>? Vous avez frappé à la bonne porte<hex:021D0103>! En effet, je suis chargée des ex<hex:02160103>pli<hex:02160103>ca<hex:02160103>tions concernant les tournois de Triple Triade."
2,"TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_000_003","Mais j'y pense... Peut-être devriez-vous vous mesurer à la croupière du guichet principal pour mettre en pratique les rrrègles de base<hex:021D0103>? Ça vous sera cer<hex:02160103>tai<hex:02160103>ne<hex:02160103>ment utile si vous voulez participer aux tournois<hex:021D0103>! Le guichet est juste en bas de l'escalier, vous ne pouvez pas le rater<hex:021D0103>!"
3,"TEXT_CMNGSCTRIPLETRIADCUP_00247_Q1_000_001","Que voulez-vous faire<hex:021D0103>?"
4,"TEXT_CMNGSCTRIPLETRIADCUP_00247_A1_000_001","S'inscrire au tournoi"
5,"TEXT_CMNGSCTRIPLETRIADCUP_00247_A1_000_002","Voir le classement"
6,"TEXT_CMNGSCTRIPLETRIADCUP_00247_A1_000_006","Demander comment vérifier le classement"
7,"TEXT_CMNGSCTRIPLETRIADCUP_00247_A1_000_003","En savoir plus sur les récompenses"
8,"TEXT_CMNGSCTRIPLETRIADCUP_00247_A1_000_004","En savoir plus sur les tournois"
9,"TEXT_CMNGSCTRIPLETRIADCUP_00247_A1_000_005","Annuler"
10,"TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_010_001","Voulez-vous vous inscrire au tourrrnoi “<hex:022B22FF20><hex:02281CFF17>TripleTriadCompetition<hex:E8020103><hex:03>”<hex:021D0103>?"
11,"TEXT_CMNGSCTRIPLETRIADCUP_00247_Q2_000_001","S'inscrire au tournoi “<hex:022B22FF20><hex:02281CFF17>TripleTriadCompetition<hex:E8020103><hex:03>”<hex:021D0103>?"
12,"TEXT_CMNGSCTRIPLETRIADCUP_00247_A2_000_001","Oui"
13,"TEXT_CMNGSCTRIPLETRIADCUP_00247_A2_000_002","Non"
14,"TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_011_001","<hex:020815E905FF09>Chèrrre<hex:FF07>Cherrr<hex:03> <hex:022903EB0203>, votre inscription a été validée<hex:021D0103>! Bonne chance à vous<hex:021D0103>!"
15,"TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_011_002","<hex:022B22FF20><hex:02281CFF17>TripleTriadCompetition<hex:E8020103><hex:03> se déroulera du <hex:020703E80303><hex:02093DDDFF09>dimanche<hex:FF06>lundi<hex:FF06>mardi<hex:FF09>mercredi<hex:FF06>jeudi<hex:FF09>vendredi<hex:FF07>samedi<hex:03> <hex:022002DC03>.<hex:022002DE03>.<hex:022002DF03> à <hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>h au <hex:020703E80403><hex:02093DDDFF09>dimanche<hex:FF06>lundi<hex:FF06>mardi<hex:FF09>mercredi<hex:FF06>jeudi<hex:FF09>vendredi<hex:FF07>samedi<hex:03> <hex:022002DC03>.<hex:022002DE03>.<hex:022002DF03> à <hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>h (temps réel)."
16,"TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_011_103","Les duels de tournoi ne peuvent être joués que dans l'arène Triple Triade. Pour cela veuillez vous adresser sur place à l'une des assistantes du croupier."
17,"TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_011_004","Si vous sortez de l'arène après avoir joué au moins un match de tournoi, vous vous retrouverez au<hex:02160103>to<hex:02160103>ma<hex:02160103>ti<hex:02160103>que<hex:02160103>ment au square des duellistes du Gold Saucer, ce afin de permettre de comptabiliser le résultat dans le classement."
18,"TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_011_005","Vous serez également conduit<hex:020808E905FF02>e<hex:FF01><hex:03> systématiquement au Gold Saucer dès lors qu'il ne restera plus que 15 minutes (temps réel) avant la fin du tournoi en cours."
19,"TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_011_003","Le tournoi suivant commence une semaine après la fin du tournoi en cours (temps réel). Pour ne pas perdre définitivement votre récompense, veillez à la récupérer avant la fin de ce délai."
20,"TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_020_001","Voici le classement prrrovisoire du tournoi en cours."
21,"TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_020_002","Vous pouvez vérifier la place que vous occupez à tout moment en consultant le tableau des classements situé au square des duellistes."
22,"TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_030_000","Les récompenses diffèrent selon le tourrrnoi organisé."
23,"TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_030_001","En ce qui concerne <hex:02281CFF17>TripleTriadCompetition<hex:E8030103>, les laurrréats de la première à la troisième place gagnent <hex:02330CFF05>Item<hex:02E802020203><hex:021D0103>!"
24,"TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_030_101","Et ce n'est pas tout<hex:021D0103>! Chaque joueurrr reçoit également un certain nombre de points du Gold Saucer, ou “PGS”, en fonction de sa position dans le classement. Cette fois-ci, le maximum pouvant être obtenu est de <hex:022209E802FF05021D010303> PGS<hex:021D0103>!"
25,"TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_030_002","Les par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants de la quatrième à la sixième place repartent avec <hex:02330CFF05>Item<hex:02E802020203> ainsi qu'avec le nombre de PGS correspondant à leur rang."
26,"TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_030_007","Les joueurrrs qui se seront positionnés entre les septième et dixième places se verront récompensés avec <hex:02330CFF05>Item<hex:02E802020203> en plus d'un montant de PGS dépendant de leur classement."
27,"TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_030_003","Quant à ceux ayant terminé entre la onzième et la vingtième position, ils auront droit à <hex:02330CFF05>Item<hex:02E802020203> et, vous l'aurez deviné, des PGS<hex:021D0103>!"
