key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_REGDRA2MOGHOME_00287_MOGGIE_000","Bon<hex:020831E3E90C0DFF15><hex:020811E3E90C05FF05>soir<hex:FF05>jour<hex:03><hex:FF15><hex:020811E3E90C12FF05>jour<hex:FF05>soir<hex:03><hex:03><hex:021D0103>! Je suis Moggie, et je peux me vanter d'être le deuxième Mog le plus savant du Nid-Mog<hex:021D0103>! Qu'est-ce que je peux faire pour vous, kuppo<hex:021D0103>?"
1,"TEXT_REGDRA2MOGHOME_00287_MOGGIE_001","J'espère que Sidurgu sera bientôt rétabli... Pour ça, il va avoir besoin de beaucoup d'amour, kuppo<hex:021D0103>!"
2,"TEXT_REGDRA2MOGHOME_00287_MOGGIE_002","Tiens, vous n'êtes pas avec Rielle et Sidurgu, aujourd'hui<hex:021D0103>? Ne soyez pas triste, le deuxième Mog le plus savant du Nid-Mog est là pour vous, kuppopo<hex:021D0103>!"
3,"TEXT_REGDRA2MOGHOME_00287_SCENE00000Q","Que voulez-vous savoir<hex:021D0103>?"
4,"TEXT_REGDRA2MOGHOME_00287_SCENE00000A1","Qui êtes-vous<hex:021D0103>?"
5,"TEXT_REGDRA2MOGHOME_00287_SCENE00000A2","Quel est cet endroit<hex:021D0103>?"
6,"TEXT_REGDRA2MOGHOME_00287_SCENE00000A3","Annuler"
7,"TEXT_REGDRA2MOGHOME_00287_MOGGIE_010","Je m'appelle Moggie et je suis la sentinelle du Nid-Mog, kuppo<hex:021D0103>! Dès qu'il se passe quelque chose de bizarre, j'en avertis im<hex:02160103>mé<hex:02160103>dia<hex:02160103>te<hex:02160103>ment notre chef Moglin et la Garde-pompon."
8,"TEXT_REGDRA2MOGHOME_00287_MOGGIE_011","Rien n'échappe à ma vigilance<hex:021D0103>! Pour être un bon garde, il faut avoir le sens de l'observation, de l'écoute, de l'abnégation et une capacité hors normes à rester au même endroit pendant des heures sans broncher, kuppo<hex:021D0103>! Avec ce métier, on sait tout sur tout. C'est comme ça que je suis le deuxième mieux informé de ce hameau... Après notre chef Moglin, bien entendu."
9,"TEXT_REGDRA2MOGHOME_00287_MOGGIE_012","Si vous avez un problème, venez me voir. Je ne me cacherai pas cette fois, kuppo<hex:021D0103>!"
10,"TEXT_REGDRA2MOGHOME_00287_MOGGIE_020","Ce hameau s'appelle le Nid-Mog<hex:021D0103>! C'est ici que moi et mes frères mogs vivons. Nous nous trouvons au sommet d'une très haute montagne appelée Sohm Al<hex:021D0103>!<hex:02100103>... Hein<hex:021D0103>? La hauteur de Sohm Al<hex:021D0103>? Je ne suis jamais allé jusqu'en bas, alors je n'en sais rien, kuppo<hex:021D0103>!"
11,"TEXT_REGDRA2MOGHOME_00287_MOGGIE_021","C'est un endroit sûr et tranquille, un doux foyer où on se sent chez soi<hex:021D0103>!<hex:02100103>... Si l'on excepte les effroyables hurlements de dragons qu'on entend, et des attaques ponctuelles d'affreux monstres, kuppo."
