key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_CMNDEFSKYISLANDAETHERIALEXCHANGESHOP_00320_A1","Équipement de protecteur"
1,"TEXT_CMNDEFSKYISLANDAETHERIALEXCHANGESHOP_00320_A2","Équipement d'abatteur"
2,"TEXT_CMNDEFSKYISLANDAETHERIALEXCHANGESHOP_00320_A3","Équipement d'agresseur"
3,"TEXT_CMNDEFSKYISLANDAETHERIALEXCHANGESHOP_00320_A4","Équipement de pisteur"
4,"TEXT_CMNDEFSKYISLANDAETHERIALEXCHANGESHOP_00320_A5","Équipement d'éclaireur"
5,"TEXT_CMNDEFSKYISLANDAETHERIALEXCHANGESHOP_00320_A6","Équipement d'incantateur"
6,"TEXT_CMNDEFSKYISLANDAETHERIALEXCHANGESHOP_00320_A7","Équipement de soigneur"
7,"TEXT_CMNDEFSKYISLANDAETHERIALEXCHANGESHOP_00320_A8","Annuler"
8,"TEXT_CMNDEFSKYISLANDAETHERIALEXCHANGESHOP_00320_001","<hex:02084DE3E90C0DFF23><hex:02081FE3E90C05FF08>Bonsoir<hex:FF10>Bonjour à vous<hex:03><hex:FF23><hex:02081FE3E90C12FF10>Bonjour à vous<hex:FF08>Bonsoir<hex:03><hex:03><hex:021D0103>! Je m'occupe de racheter les équipements éthéréens du Diadème. Si jamais vous avez des armes ou des armures de ce genre, venez me voir et je vous les échangerai contre des espoilles."
9,"TEXT_CMNDEFSKYISLANDAETHERIALEXCHANGESHOP_00320_011","<hex:02084DE3E90C0DFF23><hex:02081FE3E90C05FF08>Bonsoir<hex:FF10>Bonjour à vous<hex:03><hex:FF23><hex:02081FE3E90C12FF10>Bonjour à vous<hex:FF08>Bonsoir<hex:03><hex:03><hex:021D0103>! Je m'occupe de racheter les équipements éthéréens du Diadème. Si jamais vous avez des armes ou des armures de ce genre, venez me voir et je vous les échangerai contre des espoilles."
10,"TEXT_CMNDEFSKYISLANDAETHERIALEXCHANGESHOP_00320_021","<hex:02084DE3E90C0DFF23><hex:02081FE3E90C05FF08>Bonsoir<hex:FF10>Bonjour à vous<hex:03><hex:FF23><hex:02081FE3E90C12FF10>Bonjour à vous<hex:FF08>Bonsoir<hex:03><hex:03><hex:021D0103>! Je m'occupe de racheter les équipements éthéréens du Diadème. Si jamais vous avez des armes ou des armures de ce genre, venez me voir et je vous les échangerai contre des espoilles."
11,"TEXT_CMNDEFSKYISLANDAETHERIALEXCHANGESHOP_00320_031","<hex:02084DE3E90C0DFF23><hex:02081FE3E90C05FF08>Bonsoir<hex:FF10>Bonjour à vous<hex:03><hex:FF23><hex:02081FE3E90C12FF10>Bonjour à vous<hex:FF08>Bonsoir<hex:03><hex:03><hex:021D0103>! Je m'occupe de racheter les équipements éthéréens du Diadème. Si jamais vous avez des armes ou des armures de ce genre, venez me voir et je vous les échangerai contre des espoilles."
12,"TEXT_CMNDEFSKYISLANDAETHERIALEXCHANGESHOP_00320_041","<hex:02084DE3E90C0DFF23><hex:02081FE3E90C05FF08>Bonsoir<hex:FF10>Bonjour à vous<hex:03><hex:FF23><hex:02081FE3E90C12FF10>Bonjour à vous<hex:FF08>Bonsoir<hex:03><hex:03><hex:021D0103>! Je m'occupe de racheter les équipements éthéréens du Diadème. Si jamais vous avez des armes ou des armures de ce genre, venez me voir et je vous les échangerai contre des espoilles."
