key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_CMNDEFWEATHERFORECASTINTERRITORY_00310_SKYWATCHER_000_000","<hex:0208F2028AE3E90C0DFFF2013C><hex:0208F20136E3E90C05FF71>Bonsoir, <hex:02081AE905FF0C>chère amie<hex:FF09>cher ami<hex:03>. Vous voulez connaître mes prévisions météo per<hex:02160103>son<hex:02160103>nelles<hex:021D0103>?<hex:FFBF>Saviez-vous que les conditions climatiques influencent directement le com<hex:02160103>por<hex:02160103>te<hex:02160103>ment des créatures du Diadème<hex:021D0103>? Per<hex:02160103>son<hex:02160103>nel<hex:02160103>le<hex:02160103>ment, je trouve ça fa-sci-nant<hex:021D0103>!<hex:03><hex:FFF20142><hex:0208F2013CE3E90C12FFC5>Je ne suis peut-être pas météorologue de formation, mais avec les années j'ai appris à lire dans les nuages et je peux vous assurer que mes prévisions sont tout ce qu'il y a de plus fiables.<hex:FF71>Bonsoir, <hex:02081AE905FF0C>chère amie<hex:FF09>cher ami<hex:03>. Vous voulez connaître mes prévisions météo per<hex:02160103>son<hex:02160103>nelles<hex:021D0103>?<hex:03><hex:03>"
1,"TEXT_CMNDEFWEATHERFORECASTINTERRITORY_00310_SKYWATCHER_000_010","Comme vous le voyez, le temps est ac<hex:02160103>tu<hex:02160103>el<hex:02160103>le<hex:02160103>ment <hex:022F13FF1102280DFF0857656174686572E803030303>. <hex:0208F2021EE4E803E804FFF0DD><hex:0208F0D8E4E804E805FF54>D'après mes observations, ça devrait rester ainsi pendant encore un petit moment.<hex:FF7D>Si mes lectures sont correctes, ça devrait rester ainsi encore un petit moment puis passer à “<hex:022F13FF1102280DFF0857656174686572E805020303>”.<hex:03><hex:FFF20135><hex:0208F2012FE4E804E805FF99>Toutefois, le mouvement des nuages me fait dire que le temps devrait passer à “<hex:022F13FF1102280DFF0857656174686572E804020303>” et rester comme ça pendant un petit moment.<hex:FF8F>Toutefois, si j'en crois mes relevés, ça devrait passer momentanément à “<hex:022F13FF1102280DFF0857656174686572E804020303>” puis à “<hex:022F13FF1102280DFF0857656174686572E805020303>”.<hex:03><hex:03> En espérant vous avoir aidé<hex:020808E905FF02>e<hex:FF01><hex:03>."
2,"TEXT_CMNDEFWEATHERFORECASTINTERRITORY_00310_SKYWATCHER_000_020","<hex:0208F20313E5E803E807FF8E>Hélas, les interférences créées par la Gemme manquante font que je n'arrive plus à deviner quand le temps passera à hyperélectrique...<hex:FFF2027B>Comme vous le voyez, le temps est ac<hex:02160103>tu<hex:02160103>el<hex:02160103>le<hex:02160103>ment <hex:022F13FF1102280DFF0857656174686572E803030303>. <hex:0208F2021EE4E803E804FFF0DD><hex:0208F0D8E4E804E805FF54>D'après mes observations, ça devrait rester ainsi pendant encore un petit moment.<hex:FF7D>Si mes lectures sont correctes, ça devrait rester ainsi encore un petit moment puis passer à “<hex:022F13FF1102280DFF0857656174686572E805020303>”.<hex:03><hex:FFF20135><hex:0208F2012FE4E804E805FF99>Toutefois, le mouvement des nuages me fait dire que le temps devrait passer à “<hex:022F13FF1102280DFF0857656174686572E804020303>” et rester comme ça pendant un petit moment.<hex:FF8F>Toutefois, si j'en crois mes relevés, ça devrait passer momentanément à “<hex:022F13FF1102280DFF0857656174686572E804020303>” puis à “<hex:022F13FF1102280DFF0857656174686572E805020303>”.<hex:03><hex:03><hex:03> En espérant vous avoir aidé<hex:020808E905FF02>e<hex:FF01><hex:03>."
3,"TEXT_CMNDEFWEATHERFORECASTINTERRITORY_00310_EUWATCHER_000_030","Vous voulez écouter mon bulletin météo<hex:021D0103>? Hé hé, on reconnaît l'attention au détail typique des aventuriers chevronnés<hex:021D0103>! Comme vous l'avez sûrement pressenti, certaines espèces indigènes d'Eurêka ne sortent de leur tanière que quand des conditions météorologiques précises sont réunies."
4,"TEXT_CMNDEFWEATHERFORECASTINTERRITORY_00310_EUWATCHER_100_030","Mal<hex:02160103>heu<hex:02160103>reu<hex:02160103>se<hex:02160103>ment, je n'ai pas à ma disposition la technologie nécessaire pour prévoir ces phénomènes si particuliers qu'on appelle “turbulences ombrales”... Restez sur vos gardes<hex:021D0103>!"
5,"TEXT_CMNDEFWEATHERFORECASTINTERRITORY_00310_EUWATCHER_000_040","Comme vous le voyez, le temps est ac<hex:02160103>tu<hex:02160103>el<hex:02160103>le<hex:02160103>ment “<hex:022F13FF1102280DFF0857656174686572E803030303>”. <hex:0208F20248E4E803E804FFF0D9><hex:0208F0D4E4E804E805FF51>D'après mes observations, ce temps devrait se maintenir encore un petit moment.<hex:FF7C>Si j'en crois mes instruments, ça devrait se maintenir encore un petit moment puis passer à “<hex:022F13FF1102280DFF0857656174686572E805020303>”.<hex:03><hex:FFF20163><hex:0208F2015DE4E804E805FFB2>Toutefois, la pression atmosphérique est en train d'évoluer. Je dirais que le temps devrait passer à “<hex:022F13FF1102280DFF0857656174686572E804020303>” et rester comme ça pendant un petit moment.<hex:FFA4>Toutefois, si j'en crois mes statistiques pluviométriques, ça devrait passer momentanément à “<hex:022F13FF1102280DFF0857656174686572E804020303>” puis à “<hex:022F13FF1102280DFF0857656174686572E805020303>”.<hex:03><hex:03> J'espère que mes prévisions vous seront utiles pour votre exploration."
6,"TEXT_CMNDEFWEATHERFORECASTINTERRITORY_00310_000_000","（★未使用／削除予定★）"
7,"TEXT_CMNDEFWEATHERFORECASTINTERRITORY_00310_000_010","（★未使用／削除予定★）"
