key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_ONETIMEGUIDE_000_010","Y a pas à dire<hex:021D0103>: le travail, c'est la santé<hex:021D0103>!"
1,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_ONETIMEGUIDE_000_011","Si jamais tu veux des ren<hex:02160103>sei<hex:02160103>gne<hex:02160103>ments à propos de Solitude, n'hésite pas<hex:021D0103>!<hex:02100103>Je me ferai un immense plaisir de répondre à toutes tes questions<hex:021D0103>!"
2,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_Q1_000_000","Que voulez-vous savoir<hex:021D0103>?"
3,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_A1_000_001","Qu'est-ce que Solitude<hex:021D0103>?"
4,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_A1_000_002","Y a-t-il plusieurs modes de difficulté<hex:021D0103>?"
5,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_A1_000_003","Comment s'entraîner sur un mannequin<hex:021D0103>?"
6,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_A1_000_004","Comment finir un en<hex:02160103>traî<hex:02160103>ne<hex:02160103>ment<hex:021D0103>?"
7,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_A1_100_004","Que faire si je souhaite un défi plus corsé<hex:021D0103>?"
8,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_A1_000_005","Qui êtes-vous<hex:021D0103>?"
9,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_A1_000_006","Annuler"
10,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_ONETIMEGUIDE_000_030","Il s'agit d'une aire d'en<hex:02160103>traî<hex:02160103>ne<hex:02160103>ment qui a été aménagée par la guilde des aventuriers à la demande de ses adhérents. Cette zone a pour but d'aider les vaillants combattants du pays à se préparer à affronter les plus terribles ennemis qui menacent Éorzéa."
11,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_ONETIMEGUIDE_000_031","La règle est on ne peut plus simple<hex:021D0103>: tout ce que t'as à faire, c'est de te déchaîner sur le mannequin de pierre situé au milieu de l'arène. Si t'arrives à le détruire dans le temps imparti, ton en<hex:02160103>traî<hex:02160103>ne<hex:02160103>ment est considéré comme réussi."
12,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_ONETIMEGUIDE_000_032","Vois ça comme un “centre de perfectionnement” qui te permettra de vérifier l'efficacité de tes techniques et de les améliorer avant d'aller au combat."
13,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_ONETIMEGUIDE_000_040","Oui<hex:021D0103>! Nos artisans ont fabriqué des dizaines de mannequins, dont le degré de résistance se rapproche autant que possible de celui des ennemis les plus redoutables qui existent ou ont existé en Éorzéa."
14,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_SYSTEM_000_041","Débloquer certaines missions (défis, raids, etc.) permet d'obtenir de nouveaux mannequins d'en<hex:02160103>traî<hex:02160103>ne<hex:02160103>ment."
15,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_SYSTEM_000_042","Le temps imparti pour vaincre un mannequin est de trois minutes, et ce quel que soit le niveau de difficulté sélectionné."
16,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_SYSTEM_000_043","La quantité de PV du mannequin varie en fonction de la difficulté choisie, ainsi que votre classe/job au moment de commencer l'en<hex:02160103>traî<hex:02160103>ne<hex:02160103>ment."
17,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_ONETIMEGUIDE_000_050","Il suffit de me le demander<hex:021D0103>! Je t'accompagnerai jusqu'à Solitude et demanderai à mes collègues de préparer le mannequin de ton choix."
18,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_SYSTEM_000_051","Les sessions d'en<hex:02160103>traî<hex:02160103>ne<hex:02160103>ment sur un mannequin ne peuvent être effectuées en équipe. Assurez-vous de quitter votre groupe avant de commencer."
19,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_SYSTEM_000_052","Le nombre d'emplacements disponibles étant limité, il peut arriver que l'accès à Solitude soit temporairement suspendu. Si la zone est encombrée, veuillez patienter quelques instants et réessayer d'y accéder ultérieurement."
20,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_SYSTEM_000_053","Lorsque vous arrivez sur un terrain d'en<hex:02160103>traî<hex:02160103>ne<hex:02160103>ment, vous disposez d'un bref délai pour vous préparer. Le compteur s'active lorsque vous attaquez le mannequin ou que le temps d'échauf<hex:02160103>fe<hex:02160103>ment est écoulé."
21,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_SYSTEM_000_054","Notez que le temps de recharge des actions est remis à zéro à votre arrivée. Les compteurs sont cependant tous relancés une fois l'en<hex:02160103>traî<hex:02160103>ne<hex:02160103>ment terminé."
22,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_ONETIMEGUIDE_000_060","Moi, je me contente de t'accompagner jusqu'à ton mannequin. Une fois que t'as terminé ton en<hex:02160103>traî<hex:02160103>ne<hex:02160103>ment, t'es libre de faire ce que tu veux."
23,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_SYSTEM_000_061","L'en<hex:02160103>traî<hex:02160103>ne<hex:02160103>ment prend fin lorsque le mannequin a été détruit ou que le temps imparti est écoulé."
24,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_SYSTEM_000_062","Notez que la session d'en<hex:02160103>traî<hex:02160103>ne<hex:02160103>ment prendra fin au<hex:02160103>to<hex:02160103>ma<hex:02160103>ti<hex:02160103>que<hex:02160103>ment si jamais vous vous téléportez dans une autre zone ou que vous vous éloignez de l'arène de combat pendant plus de dix secondes."
25,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_SYSTEM_000_063","Sachez enfin que vous êtes libre de vous déplacer à votre guise une fois l'en<hex:02160103>traî<hex:02160103>ne<hex:02160103>ment terminé. Vous pouvez quitter Solitude par vos propres moyens ou vous adresser aux guides présents sur place."
26,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_ONETIMEGUIDE_000_070","Jusqu'à récemment encore, je travaillais comme guide à Idyllée. Mal<hex:02160103>heu<hex:02160103>reu<hex:02160103>se<hex:02160103>ment, je me suis retrouvé au chômage technique après l'installation du réseau de transport urbain éthéré..."
27,"TEXT_REGDRA2DPSCHALLENGEENTRANCE_00335_ONETIMEGUIDE_000_071","J'étais tellement désespéré que je suis allé supplier Rowena de me donner du boulot... Mais tu t'imagines même pas à quel point elle est pointilleuse sur les critères de recrutement de ses collaborateurs mâles<hex:021D0103>; c'est juste impossible de remplir toutes les conditions<hex:021D0103>!"
